# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,1.487326720564156532e-02,3.133672103285789490e-02
5.156760215759277344e+00,-3.348184989188457417e-03,4.766657948493957520e-03

5.186999797821044922e+00,1.200603626848554921e-02,8.785746060311794281e-03

5.217249870300292969e+00,2.551156233017947556e-03,2.163124969229102135e-03

5.247489929199218750e+00,-1.024922138569216157e-03,9.413409046828746796e-03

5.277729988098144531e+00,8.214341026103397225e-04,6.545096170157194138e-03

5.307970046997070312e+00,7.138148016450421296e-05,2.793040126562118530e-03

5.338210105895996094e+00,-1.734723475976807094e-18,5.615631584078073502e-03

5.368460178375244141e+00,4.217269007342396708e-03,1.617744565010070801e-04

5.398700237274169922e+00,8.083507164305218928e-05,3.518175217323005199e-04

5.428939819335937500e+00,0.000000000000000000e+00,9.831530041992664337e-04

5.459179878234863281e+00,8.041923020959296231e-03,1.675727777183055878e-03

5.489419937133789062e+00,4.773895234086958372e-03,3.681322850752621889e-04

5.519670009613037109e+00,3.338633435525076645e-03,4.272420890629291534e-03

5.549910068511962891e+00,5.985016138078690096e-03,7.397882640361785889e-03

5.580150127410888672e+00,9.151011069336145026e-04,2.104945480823516846e-03

5.610390186309814453e+00,4.171531922012673699e-03,3.654312342405319214e-03

5.640629768371582031e+00,-4.226808041334871591e-04,3.161672066198661923e-05

5.670879840850830078e+00,-1.891474395276995790e-03,6.507989019155502319e-05

5.701119899749755859e+00,1.099137636881328955e-03,1.759517006576061249e-03

5.731359958648681641e+00,-4.541707539292144657e-04,1.314739696681499481e-03

5.761600017547607422e+00,1.158338577523579382e-04,1.108402502723038197e-03

5.791840076446533203e+00,4.041208703672860558e-03,7.578724995255470276e-03

5.822090148925781250e+00,0.000000000000000000e+00,6.452136207371950150e-03

5.852330207824707031e+00,-2.870330287187590479e-04,5.152687896043062210e-03

5.882569789886474609e+00,1.804954686739475289e-03,1.438293606042861938e-03

5.912809848785400391e+00,2.435623086567650225e-03,2.864148467779159546e-03

5.943049907684326172e+00,1.074568192423866475e-03,1.635949709452688694e-03

5.973299980163574219e+00,2.996843878234969893e-03,7.389816455543041229e-03

6.003540039062500000e+00,1.288919530441502703e-03,5.713324062526226044e-03

6.033780097961425781e+00,9.916517381508449525e-03,1.924945041537284851e-03

6.064020156860351562e+00,3.215898748952471242e-04,1.843861420638859272e-03

6.094260215759277344e+00,2.881616212493678941e-03,5.117833614349365234e-03

6.124509811401367188e+00,6.069076625802038299e-03,4.605462774634361267e-03

6.154749870300292969e+00,1.230248294544507640e-02,5.823491606861352921e-03

6.184989929199218750e+00,9.150602812812300840e-03,1.341447047889232635e-02

6.215229988098144531e+00,2.036383074244332847e-02,7.505018264055252075e-03

6.245470046997070312e+00,9.730219686964303172e-03,7.041656062938272953e-04

6.275720119476318359e+00,2.919651183697840463e-03,6.826445460319519043e-04

6.305960178375244141e+00,8.500278873072388691e-03,5.253510549664497375e-03

6.336200237274169922e+00,5.941337548008719660e-03,6.641334388405084610e-03

6.366439819335937500e+00,7.179974178024191300e-03,5.216579884290695190e-04

6.396679878234863281e+00,7.017000273447357439e-03,1.816103234887123108e-03

6.426929950714111328e+00,5.986730692839933865e-03,1.995509490370750427e-03

6.457170009613037109e+00,6.478980013710423924e-03,3.309749998152256012e-03

6.487410068511962891e+00,4.450270691208964291e-03,2.771786646917462349e-03

6.517650127410888672e+00,9.396864954161025796e-03,3.280762815847992897e-03

6.547890186309814453e+00,4.748986273829441940e-03,8.208642713725566864e-03

6.578139781951904297e+00,1.886457450439339711e-03,2.015871927142143250e-03

6.608379840850830078e+00,-2.010742584916631881e-03,2.056652680039405823e-03

6.638619899749755859e+00,-6.772455470334670657e-04,3.484653308987617493e-03

6.668859958648681641e+00,2.212042748704793477e-03,5.610346328467130661e-03

6.699100017547607422e+00,1.328085148913873970e-03,1.814343035221099854e-03

6.729350090026855469e+00,6.938893903907228378e-18,2.466842532157897949e-03

6.759590148925781250e+00,3.178382838949275063e-03,4.471919033676385880e-03

6.789830207824707031e+00,7.177549101221057659e-03,1.031818101182579994e-03

6.820069789886474609e+00,1.328389344702658043e-02,6.150945089757442474e-03

6.850309848785400391e+00,1.221965643489559064e-02,4.473181441426277161e-03

6.880559921264648438e+00,1.266145557404112221e-02,3.848877036944031715e-03

6.910799980163574219e+00,1.561483994598243663e-02,2.432225272059440613e-03

6.941040039062500000e+00,8.939980158663825283e-03,8.715913281776010990e-04

6.971280097961425781e+00,1.914436295956153944e-03,1.716111000860109925e-04

7.001520156860351562e+00,2.825917831235660871e-03,4.689231864176690578e-04

7.031770229339599609e+00,9.505335875507232857e-03,4.888500086963176727e-03

7.062009811401367188e+00,8.855068181200652366e-03,9.743504226207733154e-03

7.092249870300292969e+00,7.869275486305504774e-03,7.469398900866508484e-03

7.122489929199218750e+00,5.540465259568007339e-03,7.861888734623789787e-04

7.152729988098144531e+00,5.910004047146887041e-03,9.598760516382753849e-04

7.182980060577392578e+00,4.642955622395070203e-03,4.168776329606771469e-03

7.213220119476318359e+00,2.558223855330200858e-03,8.432262577116489410e-03

7.243460178375244141e+00,4.090644394482513546e-03,2.423214493319392204e-03

7.273700237274169922e+00,0.000000000000000000e+00,1.533957757055759430e-02

7.303939819335937500e+00,5.778883559710130957e-03,4.431245848536491394e-03

7.334189891815185547e+00,5.768585230582490286e-03,2.382869599387049675e-03

7.364429950714111328e+00,1.071909206884529703e-02,1.435173791833221912e-03

7.394670009613037109e+00,8.992256536433117231e-03,1.464655739255249500e-03

7.424910068511962891e+00,8.961951958090186299e-03,2.644406864419579506e-03

7.455150127410888672e+00,8.910150833060147268e-03,1.687845331616699696e-03

7.485400199890136719e+00,1.399480822446114853e-02,1.016181334853172302e-02

7.515639781951904297e+00,6.826402978651981146e-03,1.348473969846963882e-02

7.545879840850830078e+00,1.139123973873449464e-02,1.434532832354307175e-02

7.576119899749755859e+00,1.418722131769634132e-02,5.327286198735237122e-03

7.636600017547607422e+00,1.040518686268751547e-02,6.535763386636972427e-03

7.697090148925781250e+00,1.633312371175956595e-02,1.617474714294075966e-03

