# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,-1.657962634891968490e-02,3.133672103285789490e-02
5.156760215759277344e+00,-2.799272965997416651e-02,4.766657948493957520e-03
5.186999797821044922e+00,-6.687738508790286307e-03,8.785746060311794281e-03
5.217249870300292969e+00,-1.099620489959156691e-02,2.163124969229102135e-03
5.247489929199218750e+00,-1.018225941668498766e-02,9.413409046828746796e-03
5.277729988098144531e+00,-4.648974981025611602e-03,6.545096170157194138e-03
5.307970046997070312e+00,-2.363735150326040299e-03,2.793040126562118530e-03
5.338210105895996094e+00,1.734723475976807094e-18,5.615631584078073502e-03
5.368460178375244141e+00,6.104209192509563175e-03,1.617744565010070801e-04
5.398700237274169922e+00,3.356763861481240965e-03,3.518175217323005199e-04
5.428939819335937500e+00,4.219126739318871874e-03,9.831530041992664337e-04
5.459179878234863281e+00,1.280994604295245323e-02,1.675727777183055878e-03
5.489419937133789062e+00,9.747954538302433525e-03,3.681322850752621889e-04
5.519670009613037109e+00,8.227258093499358743e-03,4.272420890629291534e-03
5.549910068511962891e+00,1.054826590346327232e-02,7.397882640361785889e-03
5.580150127410888672e+00,4.964512775560651209e-03,2.104945480823516846e-03
5.610390186309814453e+00,7.570102208393839072e-03,3.654312342405319214e-03
5.640629768371582031e+00,2.239516748754168465e-03,3.161672066198661923e-05
5.670879840850830078e+00,-1.734723475976807094e-18,6.507989019155502319e-05
5.701119899749755859e+00,2.237533902466903174e-03,1.759517006576061249e-03
5.731359958648681641e+00,3.469446951953614189e-18,1.314739696681499481e-03
5.761600017547607422e+00,-5.158214879997374824e-06,1.108402502723038197e-03
5.791840076446533203e+00,3.449327150154224420e-03,7.578724995255470276e-03
5.822090148925781250e+00,-9.746507484899961937e-04,6.452136207371950150e-03
5.852330207824707031e+00,-1.570159436500476180e-03,5.152687896043062210e-03
5.882569789886474609e+00,2.812870815685868109e-04,1.438293606042861938e-03
5.912809848785400391e+00,7.350827455069007532e-04,2.864148467779159546e-03
5.943049907684326172e+00,-7.434305759721517026e-04,1.635949709452688694e-03
5.973299980163574219e+00,1.116530554861813740e-03,7.389816455543041229e-03
6.003540039062500000e+00,-6.027828655271599834e-04,5.713324062526226044e-03
6.033780097961425781e+00,8.060063400331381883e-03,1.924945041537284851e-03
6.064020156860351562e+00,-1.457236674447616454e-03,1.843861420638859272e-03
6.094260215759277344e+00,1.218537641683128947e-03,5.117833614349365234e-03
6.124509811401367188e+00,4.555660185398848622e-03,4.605462774634361267e-03
6.154749870300292969e+00,1.096828883025916662e-02,5.823491606861352921e-03
6.184989929199218750e+00,8.020974815523544688e-03,1.341447047889232635e-02
6.215229988098144531e+00,1.945985418538711056e-02,7.505018264055252075e-03
6.245470046997070312e+00,9.068721422131505172e-03,7.041656062938272953e-04
6.275720119476318359e+00,2.513285659273639672e-03,6.826445460319519043e-04
6.305960178375244141e+00,8.357271980232453684e-03,5.253510549664497375e-03
6.336200237274169922e+00,6.065739317576458733e-03,6.641334388405084610e-03
6.366439819335937500e+00,7.571571981186075995e-03,5.216579884290695190e-04
6.396679878234863281e+00,7.671331493640329985e-03,1.816103234887123108e-03
6.426929950714111328e+00,6.895152212909018419e-03,1.995509490370750427e-03
6.457170009613037109e+00,7.628420849642346402e-03,3.309749998152256012e-03
6.487410068511962891e+00,5.823487179119887780e-03,2.771786646917462349e-03
6.517650127410888672e+00,1.097235495982264511e-02,3.280762815847992897e-03
6.547890186309814453e+00,6.500989192668948924e-03,8.208642713725566864e-03
6.578139781951904297e+00,3.784995224097996436e-03,2.015871927142143250e-03
6.608379840850830078e+00,-3.469446951953614189e-18,2.056652680039405823e-03
6.638619899749755859e+00,1.408722648240479797e-03,3.484653308987617493e-03
6.668859958648681641e+00,4.339789671543064359e-03,5.610346328467130661e-03
6.699100017547607422e+00,3.469254392321451108e-03,1.814343035221099854e-03
6.729350090026855469e+00,2.131319081990518116e-03,2.466842532157897949e-03
6.759590148925781250e+00,5.281029733515532620e-03,4.471919033676385880e-03
6.789830207824707031e+00,9.234552838734550601e-03,1.031818101182579994e-03
6.820069789886474609e+00,1.527948694434146451e-02,6.150945089757442474e-03
6.850309848785400391e+00,1.413927345647790837e-02,4.473181441426277161e-03
6.880559921264648438e+00,1.449170186795752102e-02,3.848877036944031715e-03
6.910799980163574219e+00,1.734358356054592834e-02,2.432225272059440613e-03
6.941040039062500000e+00,1.055626450421665377e-02,8.715913281776010990e-04
6.971280097961425781e+00,3.408507582969788618e-03,1.716111000860109925e-04
7.001520156860351562e+00,4.189225070310838295e-03,4.689231864176690578e-04
7.031770229339599609e+00,1.073048405920345311e-02,4.888500086963176727e-03
7.062009811401367188e+00,9.935959219663316466e-03,9.743504226207733154e-03
7.092249870300292969e+00,8.800964940395651637e-03,7.469398900866508484e-03
7.122489929199218750e+00,6.319213719727864720e-03,7.861888734623789787e-04
7.152729988098144531e+00,6.533274903947956791e-03,9.598760516382753849e-04
7.182980060577392578e+00,5.109363052511813053e-03,4.168776329606771469e-03
7.213220119476318359e+00,2.867689019448310672e-03,8.432262577116489410e-03
7.243460178375244141e+00,4.244239481851937168e-03,2.423214493319392204e-03
7.273700237274169922e+00,-6.938893903907228378e-18,1.533957757055759430e-02
7.303939819335937500e+00,5.628580370149162404e-03,4.431245848536491394e-03
7.334189891815185547e+00,5.471479638977282123e-03,2.382869599387049675e-03
7.364429950714111328e+00,1.027885786797124584e-02,1.435173791833221912e-03
7.394670009613037109e+00,8.412591727838786282e-03,1.464655739255249500e-03
7.424910068511962891e+00,8.246627939621851977e-03,2.644406864419579506e-03
7.455150127410888672e+00,8.063012398861917063e-03,1.687845331616699696e-03
7.485400199890136719e+00,1.301973187094348366e-02,1.016181334853172302e-02
7.515639781951904297e+00,5.727425242401204541e-03,1.348473969846963882e-02
7.545879840850830078e+00,1.017242364051461345e-02,1.434532832354307175e-02
7.576119899749755859e+00,1.285270525998927910e-02,5.327286198735237122e-03
7.636600017547607422e+00,8.851979678642762916e-03,6.535763386636972427e-03
7.697090148925781250e+00,1.457862792111137840e-02,1.617474714294075966e-03
7.757569789886474609e+00,8.867632122380675330e-03,6.376936216838657856e-04
7.818049907684326172e+00,9.507493983497122825e-03,3.155478043481707573e-03
7.878540039062500000e+00,1.017141920481879486e-02,3.142604837194085121e-03
7.939020156860351562e+00,1.201187597323744721e-02,1.366838841931894422e-04
7.999509811401367188e+00,1.416703032570930387e-02,3.475102421361953020e-04
8.059989929199218750e+00,1.278636792578108361e-02,1.261309604160487652e-03
8.120470046997070312e+00,9.065733532580527720e-03,1.214595860801637173e-03
8.180959701538085938e+00,6.803173316244887081e-03,1.729618059471249580e-03
8.241439819335937500e+00,6.105764207126204712e-03,4.130460321903228760e-03
8.301919937133789062e+00,5.350048403428731003e-03,3.979802131652832031e-03
8.362409591674804688e+00,8.228527576332918259e-03,4.719758406281471252e-03
8.422889709472656250e+00,9.656224191269255352e-03,1.206958480179309845e-02
8.483369827270507812e+00,6.528156312662153349e-03,1.037859590724110603e-03
8.543860435485839844e+00,7.287119759785160023e-03,3.554066061042249203e-04
8.604339599609375000e+00,5.695647178689172696e-03,4.689759109169244766e-03
8.664830207824707031e+00,8.374600640000152973e-03,1.250026980414986610e-03
8.725310325622558594e+00,7.093322185006099845e-03,1.313699642196297646e-03
8.785790443420410156e+00,5.374014219356633426e-03,1.771121867932379246e-03
8.846280097961425781e+00,-1.387778780781445676e-17,2.067811787128448486e-03
8.906760215759277344e+00,3.304912077529184589e-03,2.083782106637954712e-03
8.967240333557128906e+00,3.462883052145940277e-03,1.902527757920324802e-03
9.027729988098144531e+00,4.246954008776698819e-03,4.111029207706451416e-03
9.088210105895996094e+00,5.735254087913185805e-03,8.149414206854999065e-04
9.148690223693847656e+00,2.004903919524375633e-03,2.044524764642119408e-03
