# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,4.022225693613863673e-02,1.183927617967128754e-02
5.156760215759277344e+00,3.335972137004111077e-02,9.157862514257431030e-03
5.186999797821044922e+00,2.698335060113479442e-02,6.476487033069133759e-03
5.217249870300292969e+00,2.106557054600695714e-02,3.794183023273944855e-03
5.247489929199218750e+00,1.592376600422427263e-02,7.739193970337510109e-04
5.277729988098144531e+00,1.006561163625693811e-02,8.004488772712647915e-04
5.307970046997070312e+00,3.057689432127218276e-03,2.369202906265854836e-03
5.338210105895996094e+00,-1.734723475976807094e-18,3.477061865851283073e-03
5.368460178375244141e+00,1.543100444822843864e-03,2.408398315310478210e-03
5.398700237274169922e+00,2.432191249750451437e-03,2.788697369396686554e-03
5.428939819335937500e+00,1.450640427548884753e-03,3.513015573844313622e-03
5.459179878234863281e+00,5.204170427930421283e-18,3.200338920578360558e-03
5.489419937133789062e+00,-7.230956195762583416e-04,2.029252704232931137e-03
5.519670009613037109e+00,3.390203736491591291e-04,5.469348398037254810e-04
5.549910068511962891e+00,1.463790807787399006e-04,1.043272088281810284e-03
5.580150127410888672e+00,1.181461123462741736e-04,2.322962245671078563e-04
5.610390186309814453e+00,2.434489832001202059e-03,3.767031594179570675e-04
5.640629768371582031e+00,4.430704505344967847e-03,3.481929597910493612e-04
5.670879840850830078e+00,3.970691007162092251e-03,1.222034217789769173e-03
5.701119899749755859e+00,5.093430709830502889e-03,4.678147961385548115e-04
5.731359958648681641e+00,4.275585895864197211e-03,4.282989830244332552e-04
5.761600017547607422e+00,3.569700208577625961e-03,7.174699567258358002e-04
5.791840076446533203e+00,1.786219496275633783e-03,1.151707954704761505e-03
5.822090148925781250e+00,-1.183108160084170302e-04,5.277002346701920033e-04
5.852330207824707031e+00,0.000000000000000000e+00,3.519415040500462055e-04
5.882569789886474609e+00,1.416776588068144327e-03,8.479612879455089569e-04
5.912809848785400391e+00,2.475959524538478423e-03,1.100994180887937546e-03
5.943049907684326172e+00,2.490982948209614217e-03,3.423269663471728563e-04
5.973299980163574219e+00,4.411807590738222457e-03,2.943991567008197308e-04
6.003540039062500000e+00,7.621211856070713581e-03,2.822802052833139896e-04
6.033780097961425781e+00,9.204385225094119383e-03,2.637427533045411110e-04
6.064020156860351562e+00,9.706918978731063352e-03,3.020568110514432192e-04
6.094260215759277344e+00,1.408827549248859931e-02,8.113952353596687317e-04
6.124509811401367188e+00,2.727453448324763940e-02,1.835540984757244587e-03
6.154749870300292969e+00,5.009071434509590470e-02,1.193804433569312096e-03
6.184989929199218750e+00,7.655336088773609382e-02,7.636061054654419422e-04
6.215229988098144531e+00,9.134053781779002956e-02,8.473069756291806698e-04
6.245470046997070312e+00,8.512921086471812726e-02,2.329473354620859027e-04
6.275720119476318359e+00,6.709323091215216306e-02,6.858506239950656891e-04
6.305960178375244141e+00,4.997530530354137024e-02,2.049664908554404974e-04
6.336200237274169922e+00,3.683625213404054938e-02,1.968775643035769463e-03
6.366439819335937500e+00,2.706961547975048066e-02,2.309379167854785919e-03
6.396679878234863281e+00,2.112440039562989841e-02,2.211394254118204117e-03
6.426929950714111328e+00,1.674583053984497055e-02,2.322034910321235657e-03
6.457170009613037109e+00,1.060559473144481735e-02,2.052758587524294853e-03
6.487410068511962891e+00,4.278892929586310123e-03,3.085795324295759201e-03
6.517650127410888672e+00,8.279213751568453850e-04,4.498103633522987366e-03
6.547890186309814453e+00,3.265043109720727754e-04,3.842852544039487839e-03
6.578139781951904297e+00,7.934427047459613469e-04,2.912705531343817711e-03
6.608379840850830078e+00,0.000000000000000000e+00,3.304258687421679497e-03
6.638619899749755859e+00,-1.273468547285397379e-03,2.831456251442432404e-03
6.668859958648681641e+00,-1.861556932654585828e-03,1.755703240633010864e-03
6.699100017547607422e+00,-2.086044772952884430e-03,1.549911219626665115e-03
6.729350090026855469e+00,-1.358797722036203526e-03,1.469131559133529663e-03
6.759590148925781250e+00,4.201379575678731992e-04,1.039212802425026894e-03
6.789830207824707031e+00,2.788054982798798820e-03,1.369388482999056578e-04
6.820069789886474609e+00,6.972168803696041084e-03,4.419504548422992229e-04
6.850309848785400391e+00,1.180833557857048632e-02,7.587567088194191456e-04
6.880559921264648438e+00,1.371522761933104129e-02,1.643629657337442040e-04
6.910799980163574219e+00,1.390538703717433822e-02,1.390745281241834164e-03
6.941040039062500000e+00,1.232585303554048495e-02,1.609679893590509892e-03
6.971280097961425781e+00,1.173660729814796078e-02,4.110424197278916836e-04
7.001520156860351562e+00,9.178550941355292925e-03,1.445099478587508202e-03
7.031770229339599609e+00,6.166264515085242981e-03,2.500468632206320763e-03
7.062009811401367188e+00,3.557925598705574677e-03,4.114719107747077942e-03
7.092249870300292969e+00,1.389718530345182557e-03,3.966679330915212631e-03
7.122489929199218750e+00,1.147077231250237528e-04,2.708633895963430405e-03
7.152729988098144531e+00,1.387778780781445676e-17,3.060866380110383034e-03
7.182980060577392578e+00,6.672934265698621248e-04,5.215253680944442749e-03
7.213220119476318359e+00,6.058715979189027712e-03,5.362528376281261444e-03
7.243460178375244141e+00,1.670187024436896317e-02,3.707644529640674591e-03
7.273700237274169922e+00,2.224679644116993316e-02,3.281535115092992783e-03
7.303939819335937500e+00,2.100274801756485399e-02,2.122409874573349953e-03
7.334189891815185547e+00,2.269683467020697232e-02,1.251334790140390396e-03
7.364429950714111328e+00,3.004669098116068138e-02,3.099625464528799057e-03
7.394670009613037109e+00,4.098994014384063633e-02,4.108992870897054672e-03
7.424910068511962891e+00,5.247171680775367109e-02,3.201556624844670296e-03
7.455150127410888672e+00,6.027242870943137765e-02,2.678606892004609108e-03
7.485400199890136719e+00,6.568885745012717492e-02,2.064061118289828300e-03
7.515639781951904297e+00,7.171512801340608478e-02,1.352375373244285583e-03
7.576119899749755859e+00,9.505656398681265606e-02,2.129608532413840294e-03
7.636600017547607422e+00,9.243306563609139659e-02,3.944615600630640984e-04
7.697090148925781250e+00,9.112905452874353607e-02,9.004736784845590591e-04
7.757569789886474609e+00,8.877858676084195155e-02,3.940403985325247049e-04
7.818049907684326172e+00,8.941283233362432026e-02,7.441416382789611816e-04
7.878540039062500000e+00,8.463918284461052766e-02,1.320198178291320801e-03
7.939020156860351562e+00,7.416534933865975843e-02,9.881779551506042480e-04
7.999509811401367188e+00,6.002801260270547445e-02,4.032924771308898926e-04
8.059989929199218750e+00,4.671603916662681044e-02,1.635342836380004883e-03
8.120470046997070312e+00,3.799028151408491427e-02,6.241872906684875488e-04
8.180959701538085938e+00,3.413279368236539490e-02,1.395888626575469971e-03
8.241439819335937500e+00,3.237617747985209460e-02,8.088424801826477051e-04
8.301919937133789062e+00,3.385049973582845984e-02,6.056353449821472168e-04
8.362409591674804688e+00,3.460090751478850368e-02,2.840213477611541748e-03
8.422889709472656250e+00,3.731677482385040157e-02,3.139989275950938463e-04
8.483369827270507812e+00,4.733572340566769010e-02,6.262034876272082329e-04
8.543860435485839844e+00,5.460715780942562714e-02,2.293449360877275467e-03
8.604339599609375000e+00,5.394165789924991461e-02,6.134585477411746979e-03
8.664830207824707031e+00,4.534633417691180668e-02,8.399275131523609161e-03
8.725310325622558594e+00,3.188420695664369309e-02,6.657863035798072815e-03
8.785790443420410156e+00,1.867844800318189946e-02,4.728576168417930603e-03
8.846280097961425781e+00,8.738406809478252435e-03,5.306466948240995407e-03
8.906760215759277344e+00,2.464131211428341461e-03,6.352073512971401215e-03
8.967240333557128906e+00,0.000000000000000000e+00,5.722436588257551193e-03
9.027729988098144531e+00,-4.411754520275423808e-05,4.546681884676218033e-03
9.088210105895996094e+00,1.845379180300810162e-04,4.170706029981374741e-03
9.148690223693847656e+00,-2.775557561562891351e-17,4.069979768246412277e-03
9.209179878234863281e+00,-5.398543449277037887e-04,3.819387406110763550e-03
9.269659996032714844e+00,-1.235673964287586912e-03,3.565356601029634476e-03
9.330149650573730469e+00,-1.821134935900331486e-03,3.448487725108861923e-03
9.390629768371582031e+00,-1.600605896685258767e-03,3.594182198867201805e-03
9.451109886169433594e+00,0.000000000000000000e+00,3.252219175919890404e-03
9.511599540710449219e+00,2.201697503667360278e-03,2.375935204327106476e-03
9.572079658508300781e+00,3.590928452915226332e-03,1.703360932879149914e-03
9.632559776306152344e+00,3.931916436055810093e-03,1.899549271911382675e-03
9.693050384521484375e+00,3.734380473713327930e-03,3.100165864452719688e-03
9.753529548645019531e+00,2.607656663784541085e-03,3.758859355002641678e-03
9.814009666442871094e+00,0.000000000000000000e+00,4.080004058778285980e-03
9.874500274658203125e+00,-2.640057050380395509e-03,5.308729130774736404e-03
9.934980392456054688e+00,-3.383834369829114008e-03,5.760725121945142746e-03
9.995470046997070312e+00,-2.869019159605162850e-03,4.163554403930902481e-03
1.005595016479492188e+01,-2.746206793140054669e-03,2.610042225569486618e-03
1.011643028259277344e+01,-3.388593526426536551e-03,3.193103708326816559e-03
1.017691993713378906e+01,-3.963490478072512202e-03,5.234566051512956619e-03
1.023740005493164062e+01,-3.277790773728556095e-03,6.449708715081214905e-03
1.029788017272949219e+01,-1.272769950925400906e-03,6.076008547097444534e-03
1.035836982727050781e+01,0.000000000000000000e+00,6.006183102726936340e-03
1.041884994506835938e+01,-4.542784495910334730e-04,7.561369333416223526e-03
1.047933006286621094e+01,-7.162741974764963437e-04,8.243211545050144196e-03
1.053981971740722656e+01,5.197102406051534729e-05,6.522910203784704208e-03
1.060029983520507812e+01,5.551115123125782702e-17,4.892794881016016006e-03
1.066079044342041016e+01,-9.733245462520134783e-04,4.444094374775886536e-03
1.072126960754394531e+01,-1.137030849002740318e-03,4.935179837048053741e-03
1.078174972534179688e+01,0.000000000000000000e+00,5.950483027845621109e-03
1.084224033355712891e+01,4.148801400889495783e-03,6.186286453157663345e-03
1.090272045135498047e+01,1.437351136256295736e-02,5.404471885412931442e-03
1.096319961547851562e+01,2.914378132602588045e-02,4.972559865564107895e-03
1.102369022369384766e+01,4.315811453422169208e-02,5.504489876329898834e-03
1.108417034149169922e+01,6.488931580847362435e-02,3.533084178343415260e-03
1.114465045928955078e+01,1.035731065097079684e-01,5.488164722919464111e-03
1.120514011383056641e+01,1.503899348877172915e-01,1.005534455180168152e-02
1.126562023162841797e+01,1.767854346904311758e-01,9.704078547656536102e-03
1.132610988616943359e+01,1.641320885421832521e-01,1.006369851529598236e-02
1.138659000396728516e+01,1.300890236169999215e-01,1.229918561875820160e-02
1.144707012176513672e+01,9.734416888459429540e-02,1.413433440029621124e-02
1.150755977630615234e+01,7.179836992479932123e-02,1.362444460391998291e-02
1.156803989410400391e+01,4.853101160005934833e-02,1.166243664920330048e-02
1.162852001190185547e+01,2.662174790939475510e-02,1.078067533671855927e-02
1.168900966644287109e+01,1.141991791874857887e-02,1.059713400900363922e-02
1.174948978424072266e+01,3.916224491420206011e-03,1.000545173883438110e-02
1.180996990203857422e+01,0.000000000000000000e+00,9.610634297132492065e-03
1.187045955657958984e+01,-9.710474147276992873e-04,8.319341577589511871e-03
1.193093967437744141e+01,1.662680242809855269e-03,6.084407214075326920e-03
1.199143028259277344e+01,4.040039467495482040e-03,5.457954946905374527e-03
1.205191040039062500e+01,3.312576128425781530e-03,6.060680840164422989e-03
