# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,-7.241467286530287040e-04,5.869843531399965286e-03

5.156760215759277344e+00,-1.910266289676110230e-04,4.566108807921409607e-03
5.186999797821044922e+00,2.759384452293602019e-04,3.262395039200782776e-03
5.217249870300292969e+00,6.788564441457872398e-04,1.958230277523398399e-03
5.247489929199218750e+00,1.673912369805389926e-03,6.829120684415102005e-04
5.277729988098144531e+00,1.001285765828869266e-03,3.037089772988110781e-04
5.307970046997070312e+00,2.962420925417021123e-04,1.176903606392443180e-03
5.338210105895996094e+00,-8.673617379884035472e-19,2.746575977653264999e-03
5.368460178375244141e+00,2.192824616901786067e-04,1.672795391641557217e-03
5.398700237274169922e+00,5.178106148380576951e-04,1.225598389282822609e-04
5.428939819335937500e+00,7.909606192614869816e-04,6.104455678723752499e-04
5.459179878234863281e+00,0.000000000000000000e+00,2.105855848640203476e-03
5.489419937133789062e+00,1.642188162647042690e-03,7.897727773524820805e-04
5.519670009613037109e+00,6.130038426457118730e-04,6.228754646144807339e-04
5.549910068511962891e+00,3.026981589396710026e-04,1.573088229633867741e-03
5.580150127410888672e+00,9.482889873113891505e-04,1.826824620366096497e-03
5.610390186309814453e+00,9.695863379687377770e-04,1.683348906226456165e-03
5.640629768371582031e+00,3.574012768736752749e-04,1.883089658804237843e-03
5.670879840850830078e+00,-2.461014897325586315e-04,1.201636157929897308e-03
5.701119899749755859e+00,-1.190800124846172134e-03,4.984606057405471802e-04
5.731359958648681641e+00,-6.215227889355620650e-04,9.836752433329820633e-04
5.761600017547607422e+00,-2.085843951732772872e-03,2.431011758744716644e-03
5.791840076446533203e+00,-1.401279688597397918e-03,1.110379234887659550e-03
5.822090148925781250e+00,0.000000000000000000e+00,1.018083305098116398e-03
5.852330207824707031e+00,1.334487032294533887e-04,1.593675813637673855e-03
5.882569789886474609e+00,-7.961540131776155549e-04,8.661605534143745899e-04
5.912809848785400391e+00,-4.482974793140210440e-04,5.104820011183619499e-04
5.943049907684326172e+00,1.306868407108998514e-04,4.471108550205826759e-04
5.973299980163574219e+00,2.425176250891645374e-03,9.281060192734003067e-04
6.003540039062500000e+00,4.454537624256457023e-03,1.510056667029857635e-03
6.033780097961425781e+00,4.087279470971615092e-03,1.258292584680020809e-03
6.064020156860351562e+00,3.040371597566930012e-03,9.986008517444133759e-04
6.094260215759277344e+00,3.471949451522383934e-03,1.414057915098965168e-03
6.124509811401367188e+00,5.988535222222170912e-03,1.449885894544422626e-04
6.154749870300292969e+00,1.030067008958437599e-02,2.543498063459992409e-03
6.184989929199218750e+00,1.564117578832120020e-02,3.395000239834189415e-03
6.215229988098144531e+00,1.995568351312124872e-02,1.791259623132646084e-03
6.245470046997070312e+00,2.224179055960427004e-02,4.540071240626275539e-04
6.275720119476318359e+00,2.291909572865595893e-02,4.420828481670469046e-04
6.305960178375244141e+00,2.239757105143023314e-02,2.464605495333671570e-04
6.336200237274169922e+00,1.956790136074573749e-02,1.211946364492177963e-03
6.366439819335937500e+00,1.581841318468078447e-02,2.222896320745348930e-03
6.396679878234863281e+00,1.183736769496305380e-02,2.719032811000943184e-03
6.426929950714111328e+00,1.127835792095400677e-02,3.036696230992674828e-03
6.457170009613037109e+00,7.987507060062421643e-03,6.924595218151807785e-04
6.487410068511962891e+00,7.018890000319404077e-03,2.007852308452129364e-04
6.517650127410888672e+00,5.430978678286312034e-03,6.435982068069279194e-04
6.547890186309814453e+00,4.743865033509521434e-03,6.090609822422266006e-04
6.578139781951904297e+00,2.252950055692759523e-03,2.240255271317437291e-04
6.608379840850830078e+00,1.753946575561736443e-03,9.108954109251499176e-04
6.638619899749755859e+00,6.815491615897589783e-04,9.053138201124966145e-04
6.668859958648681641e+00,3.276757225424350994e-04,7.860134355723857880e-04
6.699100017547607422e+00,1.012055157995753185e-03,9.797114180400967598e-04
6.729350090026855469e+00,-1.387778780781445676e-17,1.801790436729788780e-03
6.759590148925781250e+00,-1.080030163610939953e-03,8.432624163106083870e-04
6.789830207824707031e+00,-3.261318737564772308e-04,3.162451321259140968e-04
6.820069789886474609e+00,2.254834936141481005e-03,1.409160555340349674e-03
6.850309848785400391e+00,4.676657829981362147e-03,2.965716645121574402e-03
6.880559921264648438e+00,5.213907057292098413e-03,4.060906358063220978e-03
6.910799980163574219e+00,5.707359150848537177e-03,4.121870268136262894e-03
6.941040039062500000e+00,7.612383141171658041e-03,3.830588422715663910e-03
6.971280097961425781e+00,8.674803663248215058e-03,3.703545546159148216e-03
7.001520156860351562e+00,6.904680192934900540e-03,2.226703101769089699e-03
7.031770229339599609e+00,3.691988470925312849e-03,2.554689708631485701e-04
7.062009811401367188e+00,1.911934512230574479e-03,8.699541795067489147e-04
7.092249870300292969e+00,0.000000000000000000e+00,1.186656299978494644e-04
7.122489929199218750e+00,8.776723109827286318e-04,2.016156679019331932e-03
7.152729988098144531e+00,1.361545270356270820e-03,1.822213060222566128e-03
7.182980060577392578e+00,1.565122476145028307e-03,5.876585491932928562e-04
7.213220119476318359e+00,1.002826734690015487e-03,3.939482849091291428e-04
7.243460178375244141e+00,2.252681633185094068e-03,7.808512309566140175e-04
7.273700237274169922e+00,3.459766086228749371e-03,2.576364204287528992e-03
7.303939819335937500e+00,2.344529783752880014e-03,3.824877785518765450e-03
7.334189891815185547e+00,2.595240689793276712e-03,3.302212571725249290e-03
7.364429950714111328e+00,5.646784131540794061e-03,1.339483540505170822e-03
7.394670009613037109e+00,8.552350220173185469e-03,1.826142077334225178e-03
7.424910068511962891e+00,6.355266661983577370e-03,4.133460111916065216e-03
7.455150127410888672e+00,7.179145162708192029e-03,5.502693355083465576e-03
7.485400199890136719e+00,1.053430524158945059e-02,3.305622376501560211e-03
7.515639781951904297e+00,1.400858352147092700e-02,2.732991706579923630e-03
7.576119899749755859e+00,1.557964193904551320e-02,2.935202792286872864e-03
7.636600017547607422e+00,1.891707427584660151e-02,6.631012656725943089e-04
7.697090148925781250e+00,2.320188275577367287e-02,1.627011690288782120e-03
7.757569789886474609e+00,2.770957135821423833e-02,3.985004033893346786e-03
7.818049907684326172e+00,3.245785589979138797e-02,2.438806928694248199e-03
7.878540039062500000e+00,3.352106892696468665e-02,3.001073608174920082e-03
7.939020156860351562e+00,3.249044023589427177e-02,1.033918699249625206e-03
7.999509811401367188e+00,2.952324612880981303e-02,1.741074607707560062e-03
8.059989929199218750e+00,2.591066736822823791e-02,5.008868174627423286e-04
8.120470046997070312e+00,2.284694032647449635e-02,7.128470460884273052e-04
8.180959701538085938e+00,2.156841948228464811e-02,2.130074717570096254e-04
8.241439819335937500e+00,2.141333199890989303e-02,1.080022193491458893e-03
8.301919937133789062e+00,2.085361461785711912e-02,1.566484919749200344e-03
8.362409591674804688e+00,1.930148931262092027e-02,1.257003750652074814e-03
8.422889709472656250e+00,1.924571771682490051e-02,1.957560889422893524e-03
8.483369827270507812e+00,1.913710182162020601e-02,1.758352736942470074e-03
8.543860435485839844e+00,2.007128007069511333e-02,1.582391792908310890e-03
8.604339599609375000e+00,2.055006707390241716e-02,1.285028527490794659e-03
8.664830207824707031e+00,1.886517106934965105e-02,1.005668891593813896e-03
8.725310325622558594e+00,1.493268033647668358e-02,1.005253754556179047e-03
8.785790443420410156e+00,1.013779552817367646e-02,4.644212312996387482e-04
8.846280097961425781e+00,5.968609691091669722e-03,1.825254730647429824e-04
8.906760215759277344e+00,2.656834649018752215e-03,8.203978068195283413e-04
8.967240333557128906e+00,5.681714323668568545e-04,1.607234822586178780e-03
9.027729988098144531e+00,0.000000000000000000e+00,2.386107807978987694e-03
9.088210105895996094e+00,1.181280043825311266e-04,2.953782677650451660e-03
9.148690223693847656e+00,3.903537340931989563e-04,2.246420131996273994e-03
9.209179878234863281e+00,-2.775557561562891351e-17,1.229820773005485535e-03
9.269659996032714844e+00,-9.066888058281430407e-04,8.867816650308668613e-04
9.330149650573730469e+00,-7.089644849690018846e-04,3.345026925671845675e-04
9.390629768371582031e+00,1.760996716997642597e-04,1.309779821895062923e-03
9.451109886169433594e+00,6.422724391166034774e-04,2.009107964113354683e-03
9.511599540710449219e+00,0.000000000000000000e+00,8.020596578717231750e-04
9.572079658508300781e+00,9.305658216918338832e-04,2.277711755596101284e-04
9.632559776306152344e+00,1.048561278766332872e-03,2.873679331969469786e-04
9.693050384521484375e+00,1.263175685809678206e-03,1.669378398219123483e-04
9.753529548645019531e+00,1.831723937855619933e-03,1.679515553405508399e-04
9.814009666442871094e+00,1.757303192923539981e-03,4.894979647360742092e-04
9.874500274658203125e+00,1.357572066118944987e-03,1.420996384695172310e-03
9.934980392456054688e+00,0.000000000000000000e+00,3.322430420666933060e-03
9.995470046997070312e+00,2.903210070893003092e-03,7.961359806358814240e-03
1.005595016479492188e+01,-2.434386405471625214e-03,3.854013513773679733e-03
1.011643028259277344e+01,8.108276065879743699e-04,1.236492069438099861e-03
1.017691993713378906e+01,-1.997580714423741188e-04,1.484861364588141441e-03
1.023740005493164062e+01,-3.438925225486694215e-04,4.273919039405882359e-04
1.029788017272949219e+01,-1.387778780781445676e-17,1.810070825740695000e-04
1.035836982727050781e+01,5.767697032408314328e-04,3.096154832746833563e-04
1.041884994506835938e+01,5.933218402654899526e-04,7.251686765812337399e-04
1.047933006286621094e+01,5.595072111920645908e-04,1.053561572916805744e-03
1.053981971740722656e+01,8.130056444020095086e-04,7.047872059047222137e-04
1.060029983520507812e+01,2.775557561562891351e-17,1.655764295719563961e-03
1.066079044342041016e+01,-8.597190477773186679e-04,6.527514196932315826e-04
1.072126960754394531e+01,-4.399108582173322235e-04,2.688202657736837864e-04
1.078174972534179688e+01,-2.683739892053033094e-04,2.451339096296578646e-04
1.084224033355712891e+01,1.387778780781445676e-17,2.247291267849504948e-04
1.090272045135498047e+01,2.683134149828209081e-03,3.850555513054132462e-04
1.096319961547851562e+01,8.246130275451513114e-03,8.354752790182828903e-04
1.102369022369384766e+01,1.528479128536008869e-02,2.769469865597784519e-04
1.108417034149169922e+01,2.330784060520560419e-02,2.250942168757319450e-03
1.114465045928955078e+01,3.421706712170446973e-02,2.322351792827248573e-03
1.120514011383056641e+01,4.770716909240613202e-02,3.668441495392471552e-04
1.126562023162841797e+01,5.905442031474550379e-02,1.499015954323112965e-03
1.132610988616943359e+01,6.434187026555968081e-02,4.570980381686240435e-04
1.138659000396728516e+01,6.306381186899245872e-02,4.250906931702047586e-04
1.144707012176513672e+01,5.702990440936961392e-02,5.529558984562754631e-04
1.150755977630615234e+01,4.877740609755723544e-02,1.072250306606292725e-03
1.156803989410400391e+01,3.856644749668175498e-02,4.051868745591491461e-04
1.162852001190185547e+01,2.596248333510889350e-02,1.565895508974790573e-03
1.168900966644287109e+01,1.448282346907328599e-02,1.842869212850928307e-03
1.174948978424072266e+01,5.932464986988073008e-03,3.696441708598285913e-04
1.180996990203857422e+01,5.551115123125782702e-17,5.320303025655448437e-04
1.187045955657958984e+01,-1.395921867221816548e-03,3.745781432371586561e-04
1.193093967437744141e+01,2.775557561562891351e-17,1.198698417283594608e-03
1.199143028259277344e+01,7.520019089488072517e-04,9.409254416823387146e-04
1.205191040039062500e+01,1.237850055360589785e-04,3.997813619207590818e-04
