# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,-1.315975301792778746e-03,3.290343447588384151e-04

5.156760215759277344e+00,-1.080653974540484764e-03,3.301839751657098532e-04
5.186999797821044922e+00,-8.812075268360866458e-04,3.313334600534290075e-04
5.217249870300292969e+00,-7.160455985776950118e-04,3.324833523947745562e-04
5.247489929199218750e+00,-6.087046059999627265e-04,3.585919039323925972e-04
5.277729988098144531e+00,-4.338293366896112460e-04,2.824724942911416292e-04
5.307970046997070312e+00,-2.795465286082195709e-04,9.039652650244534016e-05
5.338210105895996094e+00,-1.553350565975273809e-04,4.433818103279918432e-04
5.368460178375244141e+00,-6.573363135040002220e-06,3.678507928270846605e-04
5.398700237274169922e+00,-4.336808689942017736e-19,9.414253145223483443e-05
5.428939819335937500e+00,2.302434891573740955e-05,2.292970202688593417e-05
5.459179878234863281e+00,8.673617379884035472e-19,1.402617926942184567e-04
5.489419937133789062e+00,1.281643194680145981e-04,1.916268374770879745e-04
5.519670009613037109e+00,1.243035975059406453e-04,7.658641698071733117e-05
5.549910068511962891e+00,2.043729441343240805e-04,3.190819697920233011e-04
5.580150127410888672e+00,4.237563192570539122e-04,4.887752584181725979e-04
5.610390186309814453e+00,3.213772300932771914e-04,2.988859778270125389e-04
5.640629768371582031e+00,4.310105199958540016e-04,2.490044280420988798e-04
5.670879840850830078e+00,4.280158423687549507e-04,1.568566221976652741e-04
5.701119899749755859e+00,4.036746604186118581e-04,1.911943218146916479e-05
5.731359958648681641e+00,2.744605000507788044e-04,4.527129567577503622e-05
5.761600017547607422e+00,1.223736463151206197e-04,3.131579069304279983e-05
5.791840076446533203e+00,1.347821248777057897e-04,5.292689820635132492e-05
5.822090148925781250e+00,1.105587296369118372e-04,4.622265259968116879e-05
5.852330207824707031e+00,-8.673617379884035472e-19,3.741903128684498370e-05
5.882569789886474609e+00,4.855904286348543264e-05,1.423653884558007121e-04
5.912809848785400391e+00,2.386484264317247257e-04,2.460264659021049738e-04
5.943049907684326172e+00,3.145236676065504833e-04,1.757322606863453984e-04
5.973299980163574219e+00,5.291927628773107455e-04,1.491461734985932708e-04
6.003540039062500000e+00,9.660930211333918112e-04,1.987695140996947885e-04
6.033780097961425781e+00,1.251360063005559076e-03,1.684324815869331360e-04
6.064020156860351562e+00,1.498795461968757334e-03,1.447381364414468408e-04
6.094260215759277344e+00,1.964890120138628599e-03,9.537034929962828755e-05
6.124509811401367188e+00,2.716983874120160874e-03,1.545616978546604514e-04
6.154749870300292969e+00,3.735480585556045716e-03,4.061519575770944357e-04
6.184989929199218750e+00,4.641030617804634689e-03,3.896706621162593365e-04
6.215229988098144531e+00,5.046058501957914437e-03,1.780121820047497749e-04
6.245470046997070312e+00,5.016091171496921998e-03,1.553649926790967584e-04
6.275720119476318359e+00,4.802658400971921912e-03,5.590470755123533309e-05
6.305960178375244141e+00,4.358783176704678422e-03,1.586803846294060349e-04
6.336200237274169922e+00,3.619122016906856781e-03,1.691938086878508329e-04
6.366439819335937500e+00,2.719361177595651727e-03,1.101331581594422460e-04
6.396679878234863281e+00,1.844566272140937130e-03,4.578617226798087358e-04
6.426929950714111328e+00,1.820777284865709132e-03,6.049816147424280643e-04
6.457170009613037109e+00,1.327911228584383388e-03,6.238542846404016018e-05
6.487410068511962891e+00,1.059121964047353773e-03,1.831127010518684983e-04
6.517650127410888672e+00,8.715683654879260306e-04,9.427209442947059870e-05
6.547890186309814453e+00,5.376407920591914913e-04,5.497459278558380902e-05
6.578139781951904297e+00,3.245115284202298653e-04,1.767119247233495116e-04
6.608379840850830078e+00,1.734723475976807094e-18,2.455736103001981974e-04
6.638619899749755859e+00,-1.326911786982175670e-04,2.100722667819354683e-05
6.668859958648681641e+00,-4.460396946315628441e-06,2.627780777402222157e-04
6.699100017547607422e+00,3.295043540296532444e-04,2.712439745664596558e-04
6.729350090026855469e+00,5.764639578730145625e-04,5.801782026537694037e-05
6.759590148925781250e+00,7.911599507958305688e-04,1.448807888664305210e-04
6.789830207824707031e+00,1.388080289615262197e-03,7.675511733395978808e-05
6.820069789886474609e+00,2.366622534011602816e-03,2.280128865095321089e-05
6.850309848785400391e+00,3.383425575548477601e-03,1.218857360072433949e-04
6.880559921264648438e+00,3.584161114408200566e-03,7.100504008121788502e-04
6.910799980163574219e+00,3.360876467584312036e-03,9.169192635454237461e-04
6.941040039062500000e+00,3.300735814878268115e-03,2.165039331885054708e-04
6.971280097961425781e+00,2.448521960278202819e-03,1.282271259697154164e-04
7.001520156860351562e+00,1.507283186681255410e-03,2.450449392199516296e-04
7.031770229339599609e+00,9.180680738595896340e-04,5.806957487948238850e-04
7.062009811401367188e+00,3.196824905523868582e-04,4.898255574516952038e-04
7.092249870300292969e+00,1.395033007153823057e-05,1.288023195229470730e-04
7.122489929199218750e+00,-1.295499651305948713e-04,3.484059707261621952e-04
7.152729988098144531e+00,-1.734723475976807094e-18,1.000382108031772077e-04
7.182980060577392578e+00,2.653583589701559442e-04,5.192330572754144669e-04
7.213220119476318359e+00,8.331578936581884171e-04,5.213853437453508377e-04
7.243460178375244141e+00,1.448047511857713382e-03,4.480935749597847462e-04
7.273700237274169922e+00,1.916881096648953217e-03,4.719028074759989977e-04
7.303939819335937500e+00,2.102063844874340129e-03,4.244958690833300352e-04
7.334189891815185547e+00,1.972897784931620935e-03,2.401799429208040237e-04
7.364429950714111328e+00,1.818645041937131529e-03,3.164629379170946777e-05
7.394670009613037109e+00,1.896831011998232133e-03,1.221481652464717627e-04
7.424910068511962891e+00,2.046017386570501972e-03,1.381244219373911619e-04
7.455150127410888672e+00,2.455617422708977413e-03,1.683386362856253982e-04
7.485400199890136719e+00,3.225124005227279766e-03,8.746410458115860820e-05
7.515639781951904297e+00,4.102328945811910266e-03,6.278008368099108338e-05
7.576119899749755859e+00,6.577827346999494743e-03,1.047366997227072716e-03
7.636600017547607422e+00,6.250352565416443518e-03,1.140843844041228294e-03
7.697090148925781250e+00,6.781057572140068018e-03,1.114135375246405602e-03
7.757569789886474609e+00,6.325216928803237271e-03,3.124931827187538147e-04
7.818049907684326172e+00,6.301482919191404158e-03,7.195957005023956299e-05
7.878540039062500000e+00,6.341906657706959660e-03,1.716129481792449951e-04
7.939020156860351562e+00,6.312433554453069501e-03,9.901090525090694427e-04
7.999509811401367188e+00,6.017568731657669395e-03,7.677078247070312500e-05
8.059989929199218750e+00,5.586523981864009725e-03,1.183850690722465515e-04
8.120470046997070312e+00,5.351659624436632540e-03,2.056062221527099609e-04
8.180959701538085938e+00,5.418677990985519555e-03,1.187845831736922264e-03
8.241439819335937500e+00,5.515098634076745499e-03,1.700455322861671448e-04
8.301919937133789062e+00,5.384583103601278675e-03,9.888783097267150879e-05
8.362409591674804688e+00,5.158523768188632425e-03,8.888076990842819214e-05
8.422889709472656250e+00,4.815073804848669925e-03,3.818600671365857124e-04
8.483369827270507812e+00,4.672280257210940924e-03,5.022734985686838627e-04
8.543860435485839844e+00,4.556036686452644147e-03,6.370763876475393772e-04
8.604339599609375000e+00,4.388913043245751960e-03,6.772251217626035213e-04
8.664830207824707031e+00,3.836336441926085222e-03,6.812350475229322910e-04
8.725310325622558594e+00,2.793684664643428239e-03,6.924550398252904415e-04
8.785790443420410156e+00,1.737506123853614637e-03,6.919714505784213543e-04
8.846280097961425781e+00,9.583519542826907101e-04,6.389483460225164890e-04
8.906760215759277344e+00,4.817273032422103585e-04,6.023154128342866898e-04
8.967240333557128906e+00,2.165443506947153929e-04,5.590335931628942490e-04
9.027729988098144531e+00,-3.469446951953614189e-18,4.588476440403610468e-04
9.088210105895996094e+00,-8.851633208570991451e-05,6.590327247977256775e-04
9.148690223693847656e+00,3.469446951953614189e-18,1.032228465192019939e-03
9.209179878234863281e+00,1.057448570636505825e-04,1.125392271205782890e-03
9.269659996032714844e+00,1.718774235215138335e-04,1.018609735183417797e-03
9.330149650573730469e+00,2.685845002064410347e-04,8.858022629283368587e-04
9.390629768371582031e+00,1.997478825606600894e-04,8.091800264082849026e-04
9.451109886169433594e+00,3.469446951953614189e-18,8.793471497483551502e-04
9.511599540710449219e+00,-2.718664336881851384e-05,9.841111022979021072e-04
9.572079658508300781e+00,1.040837890198022253e-04,1.022450625896453857e-03
9.632559776306152344e+00,2.681649743074311643e-04,9.669327409937977791e-04
9.693050384521484375e+00,5.491412679882526349e-04,1.032360480166971684e-03
9.753529548645019531e+00,8.174208388891934796e-04,1.323783071711659431e-03
9.814009666442871094e+00,5.832580254633359940e-04,1.326461671851575375e-03
9.874500274658203125e+00,3.469446951953614189e-18,1.043639029376208782e-03
9.934980392456054688e+00,-4.019166766937101731e-04,1.122099463827908039e-03
9.995470046997070312e+00,-6.525966609992467360e-04,1.529029686935245991e-03
1.005595016479492188e+01,-6.436193377231634594e-04,1.627995865419507027e-03
1.011643028259277344e+01,-4.390665379988868688e-04,1.298762392252683640e-03
1.017691993713378906e+01,-5.414225729051813651e-04,9.998382302001118660e-04
1.023740005493164062e+01,-7.238253033094860234e-04,9.314648923464119434e-04
1.029788017272949219e+01,-4.892346520417242828e-04,9.282722021453082561e-04
1.035836982727050781e+01,0.000000000000000000e+00,8.672851836308836937e-04
1.041884994506835938e+01,3.523374997510889117e-04,9.165391093119978905e-04
1.047933006286621094e+01,3.960437074547150382e-04,1.074310857802629471e-03
1.053981971740722656e+01,1.893225765262664118e-04,1.063551171682775021e-03
1.060029983520507812e+01,3.469446951953614189e-18,1.082599861547350883e-03
1.066079044342041016e+01,-1.107272384119409314e-04,1.324902754276990891e-03
1.072126960754394531e+01,-3.562751008140338516e-04,1.438043895177543163e-03
1.078174972534179688e+01,-5.930137395872593642e-04,1.424491754733026028e-03
1.084224033355712891e+01,-5.374786865797107072e-04,1.601944561116397381e-03
1.090272045135498047e+01,-3.469446951953614189e-18,1.874780165962874889e-03
1.096319961547851562e+01,1.160895808295221016e-03,2.073996933177113533e-03
1.102369022369384766e+01,2.821915619599969782e-03,2.201432595029473305e-03
1.108417034149169922e+01,5.362332859495382020e-03,2.353050978854298592e-03
1.114465045928955078e+01,9.044772412170144771e-03,2.473901724442839622e-03
1.120514011383056641e+01,1.302756638545513046e-02,2.599281491711735725e-03
1.126562023162841797e+01,1.580525825915510274e-02,2.807881450280547142e-03
1.132610988616943359e+01,1.627072508370338427e-02,2.986439503729343414e-03
1.138659000396728516e+01,1.471066924727789521e-02,3.131453413516283035e-03
1.144707012176513672e+01,1.209670791626644981e-02,3.134850878268480301e-03
1.150755977630615234e+01,8.997020161019511630e-03,2.819721121340990067e-03
