# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,-7.078642531140835747e-03,2.392049646005034447e-03

5.156760215759277344e+00,-5.374362321254932962e-03,2.035698853433132172e-03
5.186999797821044922e+00,-3.837603735431585616e-03,1.679358421824872494e-03
5.217249870300292969e+00,-2.458506450263429899e-03,1.322895870544016361e-03
5.247489929199218750e+00,-1.293135871448344854e-03,9.020800353027880192e-04
5.277729988098144531e+00,0.000000000000000000e+00,7.527145207859575748e-04
5.307970046997070312e+00,8.584065937789694956e-04,5.625147605314850807e-04
5.338210105895996094e+00,7.296140957790755999e-04,1.937531487783417106e-04
5.368460178375244141e+00,5.933000838017413181e-04,6.648412090726196766e-04
5.398700237274169922e+00,1.262991583530270745e-03,1.210442045703530312e-03
5.428939819335937500e+00,1.853159594905569307e-03,1.062139868736267090e-03
5.459179878234863281e+00,3.166179353253098516e-03,1.710275973891839385e-04
5.489419937133789062e+00,2.000145530906875802e-03,3.753879282157868147e-04
5.519670009613037109e+00,1.838406753083512979e-03,9.739248198457062244e-04
5.549910068511962891e+00,4.189611615709812331e-04,5.348908598534762859e-04
5.580150127410888672e+00,6.938893903907228378e-18,1.677362452028319240e-04
5.610390186309814453e+00,6.547159598877944076e-04,7.631317566847428679e-05
5.640629768371582031e+00,1.367613351330808358e-03,2.915463410317897797e-04
5.670879840850830078e+00,8.856585123767357626e-04,8.349231211468577385e-04
5.701119899749755859e+00,3.625933686795396182e-04,1.035697408951818943e-03
5.731359958648681641e+00,-6.874077002425038607e-05,6.290690507739782333e-04
5.761600017547607422e+00,4.203443050185967644e-05,3.948027442675083876e-04
5.791840076446533203e+00,3.704206715340191414e-05,4.257312102708965540e-04
5.822090148925781250e+00,0.000000000000000000e+00,8.301108755404129624e-05
5.852330207824707031e+00,-6.720710641593130585e-05,4.032535362057387829e-04
5.882569789886474609e+00,-9.966676542550595430e-05,4.459558113012462854e-04
5.912809848785400391e+00,4.564784399276669569e-04,4.142314428463578224e-04
5.943049907684326172e+00,3.270632130309009122e-04,8.087659953162074089e-04
5.973299980163574219e+00,3.860860822151868099e-04,4.937688354402780533e-04
6.003540039062500000e+00,3.150147865556909843e-04,4.635638033505529165e-04
6.033780097961425781e+00,9.664621750938642841e-04,6.707060965709388256e-04
6.064020156860351562e+00,8.113189246385793529e-04,7.125600823201239109e-04
6.094260215759277344e+00,7.366617466781147372e-04,6.366345332935452461e-04
6.124509811401367188e+00,9.425984577475024495e-04,6.302534602582454681e-04
6.154749870300292969e+00,2.157702943578580779e-03,9.073495748452842236e-04
6.184989929199218750e+00,4.401094404788377656e-03,1.062195282429456711e-03
6.215229988098144531e+00,6.423198126311459311e-03,9.413106599822640419e-04
6.245470046997070312e+00,7.271225820580269616e-03,7.458684849552810192e-04
6.275720119476318359e+00,6.861302081495955496e-03,3.193382290191948414e-04
6.305960178375244141e+00,4.732327799842346583e-03,4.287117335479706526e-04
6.336200237274169922e+00,3.892686645452739236e-03,7.093740860000252724e-04
6.366439819335937500e+00,3.221354427326170167e-03,3.773514181375503540e-04
6.396679878234863281e+00,2.413672386378053203e-03,6.293545011430978775e-04
6.426929950714111328e+00,2.124349343832085402e-03,4.339499864727258682e-04
6.457170009613037109e+00,1.934515615678207567e-03,4.234869848005473614e-04
6.487410068511962891e+00,1.487423683252490914e-03,9.657512418925762177e-05
6.517650127410888672e+00,1.667944886186531472e-03,3.946688666474074125e-04
6.547890186309814453e+00,1.675074164833284529e-03,6.069269729778170586e-04
6.578139781951904297e+00,1.621101471767839863e-03,5.074400105513632298e-04
6.608379840850830078e+00,2.545124128252793105e-03,4.599494568537920713e-04
6.638619899749755859e+00,3.081730851501554569e-03,1.397085434291511774e-04
6.668859958648681641e+00,2.787510922906737132e-03,1.323358155786991119e-04
6.699100017547607422e+00,1.856465695088974077e-03,3.382557770237326622e-04
6.729350090026855469e+00,9.662010498653061941e-04,3.024950274266302586e-04
6.759590148925781250e+00,6.938893903907228378e-18,1.869994594017043710e-04
6.789830207824707031e+00,-1.045265892308383515e-04,3.546587249729782343e-04
6.820069789886474609e+00,-5.933926357865049184e-06,7.638520910404622555e-04
6.850309848785400391e+00,1.045381077383056301e-04,9.114743443205952644e-04
6.880559921264648438e+00,7.005432617050999511e-04,7.413267157971858978e-04
6.910799980163574219e+00,1.311038107280684817e-03,5.436815554276108742e-04
6.941040039062500000e+00,4.508269818202653711e-04,8.030848694033920765e-04
6.971280097961425781e+00,5.475790581639661259e-04,1.713539473712444305e-03
7.001520156860351562e+00,1.015449526855900786e-03,1.938530476763844490e-03
7.031770229339599609e+00,1.772970849513756664e-03,1.407607924193143845e-03
7.062009811401367188e+00,2.523403987038978780e-03,7.775107515044510365e-04
7.092249870300292969e+00,2.188967147851758610e-03,6.780651165172457695e-04
7.122489929199218750e+00,1.417689190910322028e-03,9.091429528780281544e-04
7.152729988098144531e+00,9.777938244436845672e-04,1.071773120202124119e-03
7.182980060577392578e+00,6.891798773672810907e-04,9.297645301558077335e-04
7.213220119476318359e+00,6.571064327996617438e-04,8.368040435016155243e-04
7.243460178375244141e+00,2.937145374023175659e-04,9.558087331242859364e-04
7.273700237274169922e+00,8.854344063718294633e-04,1.090834412025287747e-04
7.303939819335937500e+00,1.308893849568996959e-03,7.535567856393754482e-04
7.334189891815185547e+00,1.027680836206239234e-03,2.759104536380618811e-04
7.364429950714111328e+00,9.591999388309999097e-04,1.685335882939398289e-04
7.394670009613037109e+00,6.974356417952243259e-04,8.944655419327318668e-04
7.424910068511962891e+00,6.938893903907228378e-18,9.096935391426086426e-04
7.455150127410888672e+00,2.134021498147245510e-04,1.121821769629605114e-04
7.485400199890136719e+00,4.455385257602986759e-04,7.695449166931211948e-04
7.515639781951904297e+00,7.635234902125184742e-04,2.111522044287994504e-04
7.576119899749755859e+00,2.644016599162253567e-03,8.002928225323557854e-04
7.636600017547607422e+00,2.096110486873289935e-03,9.040223085321485996e-04
7.697090148925781250e+00,3.336451140206121713e-03,3.767918387893587351e-04
7.757569789886474609e+00,4.558013374750244373e-03,5.323365330696105957e-04
7.818049907684326172e+00,5.467138601889943994e-03,8.427686989307403564e-04
7.878540039062500000e+00,5.967032747932234094e-03,1.031689345836639404e-03
7.939020156860351562e+00,6.148005480161512770e-03,8.699037134647369385e-04
7.999509811401367188e+00,6.244850234287439850e-03,2.008005976676940918e-04
8.059989929199218750e+00,5.158723311300517089e-03,1.221873098984360695e-03
8.120470046997070312e+00,4.664096030695660811e-03,3.434456884860992432e-04
8.180959701538085938e+00,4.018889988787355261e-03,3.300644457340240479e-04
