# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,-3.888154937367977945e-04,5.839535035192966461e-03

5.156760215759277344e+00,4.951077634026742474e-04,4.374356474727392197e-03
5.186999797821044922e+00,1.403275163872117100e-03,2.909198170527815819e-03
5.217249870300292969e+00,2.333389258990370765e-03,1.443532528355717659e-03
5.247489929199218750e+00,3.257978185987521307e-03,4.715140094049274921e-04
5.277729988098144531e+00,4.349497510654655626e-03,1.605814439244568348e-03
5.307970046997070312e+00,2.506340562853089787e-03,3.842867910861968994e-03
5.338210105895996094e+00,4.443508132823724768e-03,1.778740203008055687e-03
5.368460178375244141e+00,2.181685433377746064e-03,1.481350627727806568e-04
5.398700237274169922e+00,0.000000000000000000e+00,5.768482224084436893e-04
5.428939819335937500e+00,5.313514702188198296e-04,1.712788827717304230e-03
5.459179878234863281e+00,-1.734723475976807094e-18,3.194427408743649721e-04
5.489419937133789062e+00,-8.366039405593994616e-05,2.487209858372807503e-04
5.519670009613037109e+00,3.886249313654870779e-04,2.185388933867216110e-03
5.549910068511962891e+00,9.224591116771905380e-04,2.591229276731610298e-03
5.580150127410888672e+00,6.088738329483658895e-04,5.437869695015251637e-04
5.610390186309814453e+00,1.571595810209826596e-03,4.627727321349084377e-04
5.640629768371582031e+00,1.601007501772140976e-03,1.576480688527226448e-03
5.670879840850830078e+00,3.267450974654764750e-04,1.272847177460789680e-03
5.701119899749755859e+00,8.220681233408969751e-04,8.094156510196626186e-04
5.731359958648681641e+00,4.246619991219967305e-04,1.819473458454012871e-03
5.761600017547607422e+00,7.324324395019832928e-04,1.891170162707567215e-03
5.791840076446533203e+00,1.488231220248794479e-03,8.951411582529544830e-04
5.822090148925781250e+00,1.347449504594065012e-03,2.968857588712126017e-04
5.852330207824707031e+00,9.902457574606920998e-04,2.457078953739255667e-04
5.882569789886474609e+00,0.000000000000000000e+00,6.758774397894740105e-04
5.912809848785400391e+00,-6.440758253563258484e-04,1.411104691214859486e-03
5.943049907684326172e+00,-7.939069068203206958e-04,1.295855036005377769e-03
5.973299980163574219e+00,-5.010835860695325716e-05,9.401253773830831051e-04
6.003540039062500000e+00,2.117780134242578521e-03,1.933172228746116161e-03
6.033780097961425781e+00,-6.006324310492729135e-04,4.558579996228218079e-03
6.064020156860351562e+00,8.245253500720854667e-04,2.590278862044215202e-03
6.094260215759277344e+00,6.152430947419275375e-04,3.577138704713433981e-04
6.124509811401367188e+00,4.395559970361683638e-03,1.489455346018075943e-03
6.154749870300292969e+00,1.072199097275663288e-02,1.404730835929512978e-03
6.184989929199218750e+00,1.786530200687508688e-02,1.569524174556136131e-03
6.215229988098144531e+00,2.114175505005797331e-02,2.151769353076815605e-03
6.245470046997070312e+00,2.257431367125711796e-02,1.188126771012321115e-04
6.275720119476318359e+00,1.839733524908987450e-02,9.205995011143386364e-04
6.305960178375244141e+00,1.367170440430548126e-02,1.577161019667983055e-04
6.336200237274169922e+00,9.322708209904738419e-03,4.064275999553501606e-04
6.366439819335937500e+00,4.976688885188824962e-03,7.283419836312532425e-05
6.396679878234863281e+00,1.605389803506544755e-03,3.439328866079449654e-04
6.426929950714111328e+00,-5.219399573220470656e-04,7.536648190580308437e-04
6.457170009613037109e+00,-1.714752287093959660e-03,1.256851362995803356e-03
6.487410068511962891e+00,-1.662669044540328323e-03,1.964362803846597672e-03
6.517650127410888672e+00,-7.103125581549782352e-04,4.034536890685558319e-03
6.547890186309814453e+00,9.971915896314562100e-04,5.577222909778356552e-03
6.578139781951904297e+00,1.645491274287140537e-03,4.388372879475355148e-03
6.608379840850830078e+00,3.229562391521972886e-05,2.940931124612689018e-03
6.638619899749755859e+00,-6.433706445778536454e-04,2.553795697167515755e-03
6.668859958648681641e+00,0.000000000000000000e+00,9.664926910772919655e-04
6.699100017547607422e+00,1.226101702069368193e-03,8.039950043894350529e-04
6.729350090026855469e+00,3.262739578045598110e-03,1.186598237836733460e-04
6.759590148925781250e+00,7.852856676068907527e-03,7.978078210726380348e-04
6.789830207824707031e+00,1.393815655160342976e-02,5.502594285644590855e-04
6.820069789886474609e+00,2.415948830624221194e-02,2.230881946161389351e-03
6.850309848785400391e+00,3.665888891957432005e-02,2.541668480262160301e-03
6.880559921264648438e+00,4.473861159754197181e-02,1.594228902831673622e-03
6.910799980163574219e+00,4.440774806348199433e-02,3.919185546692460775e-04
6.941040039062500000e+00,3.846786422629969171e-02,1.971339341253042221e-03
6.971280097961425781e+00,3.265685586865066381e-02,2.253180602565407753e-03
7.001520156860351562e+00,2.757743275663081250e-02,1.681006047874689102e-03
7.031770229339599609e+00,2.001293433580100811e-02,4.737309063784778118e-04
7.062009811401367188e+00,8.815515067587750830e-03,2.753250999376177788e-03
7.092249870300292969e+00,0.000000000000000000e+00,7.355459965765476227e-03
7.122489929199218750e+00,7.856471063138019406e-03,9.475620463490486145e-03
7.152729988098144531e+00,8.176207091592668785e-03,1.383970840834081173e-03
7.182980060577392578e+00,1.366983707045474339e-02,1.539128134027123451e-03
7.213220119476318359e+00,1.852603877752585781e-02,2.889840689022094011e-04
7.243460178375244141e+00,2.383485631142498451e-02,2.365089952945709229e-03
7.273700237274169922e+00,2.646113132542582402e-02,2.109362278133630753e-03
7.303939819335937500e+00,2.506919552911137522e-02,1.150012132711708546e-03
7.334189891815185547e+00,2.365112223889088983e-02,3.004696452990174294e-03
7.364429950714111328e+00,2.377863138701658691e-02,4.001512192189693451e-03
7.394670009613037109e+00,2.267009612659912077e-02,2.567108720541000366e-03
7.424910068511962891e+00,2.255246273542203111e-02,1.832950860261917114e-03
7.455150127410888672e+00,2.465345032509298068e-02,2.659291261807084084e-03
7.485400199890136719e+00,2.505563220472532826e-02,2.835240680724382401e-03
7.515639781951904297e+00,2.641941669033665008e-02,2.087850123643875122e-03
7.576119899749755859e+00,2.968211886792886806e-02,2.655480348039418459e-04
7.636600017547607422e+00,3.252118482325076082e-02,2.261984627693891525e-03
7.697090148925781250e+00,3.321208241335769223e-02,2.254988939967006445e-04
7.757569789886474609e+00,3.076276906198577299e-02,3.695225808769464493e-03
7.818049907684326172e+00,2.837845032818859387e-02,5.140997469425201416e-03
7.878540039062500000e+00,2.890744467187549710e-02,5.046247504651546478e-03
7.939020156860351562e+00,2.859193531949621309e-02,5.922644864767789841e-03
7.999509811401367188e+00,3.108923258350350383e-02,1.143968314863741398e-03
8.059989929199218750e+00,3.153732226832617336e-02,3.520652535371482372e-04
8.120470046997070312e+00,2.967151872585639671e-02,1.223849598318338394e-03
8.180959701538085938e+00,2.769157068078245687e-02,1.894709770567715168e-03
8.241439819335937500e+00,2.563794467794099086e-02,1.335519831627607346e-03
8.301919937133789062e+00,2.288203906793033482e-02,1.513871597126126289e-03
8.362409591674804688e+00,2.099504586191029698e-02,1.276884577237069607e-03
8.422889709472656250e+00,1.726763866551347948e-02,9.813128272071480751e-04
8.483369827270507812e+00,1.578686274283191970e-02,2.468022285029292107e-04
8.543860435485839844e+00,1.448395264713475683e-02,9.050105581991374493e-04
8.604339599609375000e+00,1.355046949500168796e-02,4.894288140349090099e-04
8.664830207824707031e+00,1.198574293582420347e-02,1.899042690638452768e-04
8.725310325622558594e+00,9.074268443754390789e-03,2.266553929075598717e-04
8.785790443420410156e+00,6.153030922031801908e-03,1.677493128227069974e-04
8.846280097961425781e+00,3.872052816699916855e-03,1.663325092522427440e-04
8.906760215759277344e+00,2.771861002895711912e-03,1.079448848031461239e-03
8.967240333557128906e+00,1.513029540895383107e-03,1.297330018132925034e-03
9.027729988098144531e+00,4.274517835285707168e-05,6.665231194347143173e-04
9.088210105895996094e+00,-1.778107309107213041e-04,6.704593542963266373e-04
9.148690223693847656e+00,-1.387778780781445676e-17,6.726749707013368607e-04
9.209179878234863281e+00,5.104035496437953068e-04,5.277037271298468113e-04
9.269659996032714844e+00,5.666696157969192127e-04,2.047201851382851601e-03
9.330149650573730469e+00,2.187717240887954162e-04,2.222474198788404465e-03
9.390629768371582031e+00,1.430518194436569690e-04,1.772476709447801113e-03
9.451109886169433594e+00,0.000000000000000000e+00,1.683026668615639210e-03
9.511599540710449219e+00,-3.611577130317178419e-04,1.508898800238966942e-03
9.572079658508300781e+00,-6.785433076970798227e-04,8.739264449104666710e-04
9.632559776306152344e+00,-6.247346646695434158e-04,2.591709489934146404e-04
9.693050384521484375e+00,-1.276673196760752527e-04,6.636622129008173943e-04
9.753529548645019531e+00,4.446273454040972073e-05,2.430810709483921528e-04
9.814009666442871094e+00,0.000000000000000000e+00,1.085270079784095287e-03
9.874500274658203125e+00,-6.233267225994459926e-04,2.131859306246042252e-03
9.934980392456054688e+00,-2.040377813396498929e-03,2.822588430717587471e-03
9.995470046997070312e+00,-3.145375348128351400e-03,2.041395055130124092e-03
1.005595016479492188e+01,-3.057247406755350672e-03,1.085951807908713818e-03
1.011643028259277344e+01,-2.415809796979265234e-03,8.595652179792523384e-04
1.017691993713378906e+01,-2.213931910792540925e-03,4.578293592203408480e-04
1.023740005493164062e+01,-1.451548043135755806e-03,2.429746527923271060e-04
1.029788017272949219e+01,-3.649858535784145097e-04,2.541187568567693233e-04
1.035836982727050781e+01,0.000000000000000000e+00,2.952748036477714777e-04
1.041884994506835938e+01,3.417896798915687206e-04,9.122418705374002457e-04
1.047933006286621094e+01,5.657977550939385925e-04,4.428960091900080442e-04
1.053981971740722656e+01,4.968769795778149589e-04,3.017986600752919912e-04
1.060029983520507812e+01,0.000000000000000000e+00,4.988311557099223137e-04
1.066079044342041016e+01,-9.994939566679295062e-04,3.203844826202839613e-04
1.072126960754394531e+01,-1.401509591278188305e-03,3.285530838184058666e-04
1.078174972534179688e+01,-1.716113105508038084e-03,3.359405091032385826e-04
1.084224033355712891e+01,-1.699227474956266359e-03,8.678962476551532745e-04
1.090272045135498047e+01,2.775557561562891351e-17,5.624034674838185310e-04
1.096319961547851562e+01,1.674943053021071826e-03,3.632915904745459557e-04
1.102369022369384766e+01,4.143153904077101490e-03,3.744450805243104696e-04
1.108417034149169922e+01,1.182699740451684245e-02,3.957573790103197098e-04
1.114465045928955078e+01,2.469601634585519290e-02,1.356306485831737518e-03
1.120514011383056641e+01,3.952818017246795268e-02,1.641753013245761395e-03
1.126562023162841797e+01,5.276563001824444155e-02,4.938247147947549820e-04
1.132610988616943359e+01,5.999346247351577954e-02,1.000178279355168343e-03
1.138659000396728516e+01,5.871664600739248674e-02,5.151333753019571304e-04
1.144707012176513672e+01,5.066455955826126845e-02,6.648349808529019356e-04
1.150755977630615234e+01,3.983942565538534097e-02,4.856606246903538704e-04
1.156803989410400391e+01,2.885461503098887825e-02,4.955685581080615520e-04
1.162852001190185547e+01,1.898477460207370626e-02,6.244986434467136860e-04
1.168900966644287109e+01,1.123969887424697278e-02,4.387454246170818806e-04
1.174948978424072266e+01,4.448190218766134851e-03,9.566523949615657330e-04
1.180996990203857422e+01,2.775557561562891351e-17,2.900460269302129745e-03
1.187045955657958984e+01,-4.708257273281113431e-03,1.978070242330431938e-03
1.193093967437744141e+01,-3.440396489924585355e-03,1.115148887038230896e-03
1.199143028259277344e+01,-9.803220565731129987e-04,5.361970979720354080e-04
1.205191040039062500e+01,0.000000000000000000e+00,5.848919972777366638e-04
