# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.247489929199218750e+00,9.449665058080701160e-04,1.706075971014797688e-03

5.277729988098144531e+00,3.681923627957160369e-04,2.589541021734476089e-03
5.307970046997070312e+00,9.294437451632811889e-04,1.674446277320384979e-03
5.338210105895996094e+00,1.835716058724747544e-03,1.759801176376640797e-03
5.368460178375244141e+00,5.991587020708726008e-04,1.201632665470242500e-03
5.398700237274169922e+00,-8.673617379884035472e-19,2.145634731277823448e-03
5.428939819335937500e+00,1.150995008653785297e-03,1.253931201063096523e-03
5.459179878234863281e+00,1.734723475976807094e-18,1.370337558910250664e-03
5.489419937133789062e+00,5.076951159634825878e-04,2.178941620513796806e-03
5.519670009613037109e+00,7.335398825247035556e-04,1.934026018716394901e-03
5.549910068511962891e+00,7.911558052682591755e-04,1.207286026328802109e-03
5.580150127410888672e+00,2.095902530281756188e-04,1.177191967144608498e-03
5.610390186309814453e+00,3.912926634329966756e-03,2.107152482494711876e-03
5.640629768371582031e+00,4.506728390881929031e-03,1.927711768075823784e-03
5.670879840850830078e+00,3.451261207753584907e-03,1.685019931755959988e-03
5.701119899749755859e+00,3.821197952150507879e-03,1.964337192475795746e-03
5.731359958648681641e+00,2.172875019501516181e-03,1.900840899907052517e-03
5.761600017547607422e+00,1.581638109107896123e-03,1.832902664318680763e-03
5.791840076446533203e+00,-6.289255005330687820e-06,2.438569907099008560e-03
5.822090148925781250e+00,0.000000000000000000e+00,1.894816057756543159e-03
5.852330207824707031e+00,-5.348718850852821061e-04,1.504521467722952366e-03
5.882569789886474609e+00,2.856466760921896886e-04,1.242556842043995857e-03
5.912809848785400391e+00,-6.364752810951567613e-04,2.006011083722114563e-03
5.943049907684326172e+00,-5.996252053556312689e-04,1.612189575098454952e-03
5.973299980163574219e+00,5.313836924252645505e-04,1.283526653423905373e-03
6.003540039062500000e+00,1.393694193250910943e-03,1.351121347397565842e-03
6.033780097961425781e+00,1.891429263677628370e-03,3.173133591189980507e-03
6.064020156860351562e+00,2.698416216163497180e-03,1.476924750022590160e-03
6.094260215759277344e+00,3.634088895859532986e-03,1.649024081416428089e-03
6.124509811401367188e+00,9.461184019759975861e-03,1.791140763089060783e-03
6.154749870300292969e+00,2.018305282090819552e-02,2.433760324493050575e-03
6.184989929199218750e+00,2.927586803144936051e-02,2.271791920065879822e-03
6.215229988098144531e+00,5.018381729954922432e-02,2.576039405539631844e-03
6.245470046997070312e+00,4.714126257881255666e-02,3.088567173108458519e-03
6.275720119476318359e+00,3.613561525277907138e-02,2.910156734287738800e-03
6.305960178375244141e+00,2.610379310498373712e-02,2.769456477835774422e-03
6.336200237274169922e+00,1.817351235517474656e-02,2.443100558593869209e-03
6.366439819335937500e+00,1.419467329047875703e-02,2.874844707548618317e-03
6.396679878234863281e+00,1.182967977507577706e-02,2.900531748309731483e-03
6.426929950714111328e+00,9.252988004340809147e-03,2.424193546175956726e-03
6.457170009613037109e+00,7.661368686601170014e-03,2.131752902641892433e-03
6.487410068511962891e+00,6.884724429137595303e-03,2.372602000832557678e-03
6.517650127410888672e+00,5.027004070530270707e-03,3.488173941150307655e-03
6.547890186309814453e+00,6.245468199652152996e-03,4.436263814568519592e-03
6.578139781951904297e+00,5.664777002489265051e-03,2.363519277423620224e-03
6.608379840850830078e+00,6.308011238696668854e-03,2.850971650332212448e-03
6.638619899749755859e+00,5.265058685914189573e-03,2.463523298501968384e-03
6.668859958648681641e+00,4.208971960130619694e-03,1.783479470759630203e-03
6.699100017547607422e+00,2.722234091772985504e-03,1.782017527148127556e-03
6.729350090026855469e+00,2.585143320915757326e-03,3.532865317538380623e-03
6.759590148925781250e+00,8.225421958876245887e-04,2.306021284312009811e-03
6.789830207824707031e+00,0.000000000000000000e+00,2.356824930757284164e-03
6.820069789886474609e+00,2.398920151613106316e-03,2.105871681123971939e-03
6.850309848785400391e+00,1.828472487291930154e-03,2.688863547518849373e-03
6.880559921264648438e+00,1.667152194195459930e-03,3.739368403330445290e-03
6.910799980163574219e+00,1.959561949983666673e-03,4.506987519562244415e-03
6.941040039062500000e+00,1.534553503868781033e-03,4.738246556371450424e-03
6.971280097961425781e+00,3.555168387351020226e-03,3.184943227097392082e-03
7.001520156860351562e+00,1.366112136852525027e-03,2.388730179518461227e-03
7.031770229339599609e+00,2.699390450011385223e-04,3.012567292898893356e-03
7.062009811401367188e+00,-3.469446951953614189e-18,2.592707518488168716e-03
7.092249870300292969e+00,1.482483345882766590e-03,3.443823894485831261e-03
7.122489929199218750e+00,8.623277367517147296e-04,2.866134047508239746e-03
7.152729988098144531e+00,1.563506758976380973e-03,3.337676636874675751e-03
7.182980060577392578e+00,2.216074597050032846e-03,4.024398978799581528e-03
7.213220119476318359e+00,3.796636345601352158e-03,7.608973886817693710e-03
7.243460178375244141e+00,4.124832802544622923e-03,3.424225375056266785e-03
7.273700237274169922e+00,4.617231349310503552e-03,3.560507204383611679e-03
7.303939819335937500e+00,7.476357858654067434e-03,4.290458746254444122e-03
7.455150127410888672e+00,2.038946625095346826e-02,4.811336286365985870e-03
