# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.307970046997070312e+00,3.261101883622865606e-03,4.194658249616622925e-04
5.338210105895996094e+00,2.348241155580538947e-03,6.807607715018093586e-04
5.368460178375244141e+00,2.602085213965210642e-18,4.856941231992095709e-04
5.398700237274169922e+00,5.557584001041841054e-05,3.226921253371983767e-04
5.428939819335937500e+00,0.000000000000000000e+00,4.122003447264432907e-04
5.459179878234863281e+00,-7.491251199724657805e-05,5.897570517845451832e-04
5.489419937133789062e+00,-2.084233975598766275e-04,8.556304383091628551e-04
5.519670009613037109e+00,-6.829031640312923507e-04,9.632785804569721222e-04
5.549910068511962891e+00,-2.784973001020932953e-04,8.271737024188041687e-04
5.580150127410888672e+00,7.131745601303678822e-04,7.417152519337832928e-04
5.610390186309814453e+00,1.715925590405707052e-03,5.533011280931532383e-04
5.640629768371582031e+00,3.280437315618852864e-03,4.581600951496511698e-04
5.670879840850830078e+00,4.132202005576290915e-03,4.970197333022952080e-04
5.701119899749755859e+00,3.716754693380270799e-03,6.944090127944946289e-04
5.731359958648681641e+00,3.130134319425442388e-03,6.565665826201438904e-04
5.761600017547607422e+00,1.632959334024111989e-03,2.787406556308269501e-04
5.791840076446533203e+00,3.117228588285936991e-04,2.552527002990245819e-04
5.822090148925781250e+00,1.734723475976807094e-18,3.685459087137132883e-04
5.852330207824707031e+00,-2.593188606415594566e-04,4.416400333866477013e-04
5.882569789886474609e+00,3.560289488453542706e-05,8.685984648764133453e-04
5.912809848785400391e+00,1.020500344715274260e-04,8.633293327875435352e-04
5.943049907684326172e+00,-4.631527995603654940e-04,4.879146872553974390e-04
5.973299980163574219e+00,1.186226163391385785e-03,6.412383518181741238e-04
6.003540039062500000e+00,2.808714154383058770e-03,9.060376323759555817e-04
6.033780097961425781e+00,5.410836325184308765e-03,7.452022400684654713e-04
6.064020156860351562e+00,5.326027069502792949e-03,3.413948288653045893e-04
6.094260215759277344e+00,5.825217145162816385e-03,4.762649768963456154e-04
6.124509811401367188e+00,8.899347973392032068e-03,8.174325339496135712e-04
6.154749870300292969e+00,1.976192022410373783e-02,9.437003172934055328e-04
6.184989929199218750e+00,3.700140315652677286e-02,1.140120322816073895e-03
6.215229988098144531e+00,5.290655496481337650e-02,1.257046707905828953e-03
6.245470046997070312e+00,5.918256339257144116e-02,1.474113320000469685e-03
6.275720119476318359e+00,5.064966712196779242e-02,1.668347395025193691e-03
6.305960178375244141e+00,3.420175703784221477e-02,1.158774713985621929e-03
6.336200237274169922e+00,2.370255926625697979e-02,4.598575469572097063e-04
6.366439819335937500e+00,1.870442484861075533e-02,3.552921989466995001e-04
6.396679878234863281e+00,1.427164456847506216e-02,5.621631280519068241e-04
6.426929950714111328e+00,1.079591011289212504e-02,5.074950749985873699e-04
