# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.247489929199218750e+00,5.988914135930912489e-04,6.868657656013965607e-04
5.277729988098144531e+00,1.174956798865693652e-03,5.443540867418050766e-04
5.307970046997070312e+00,7.936792374824550760e-04,6.505231140181422234e-04
5.338210105895996094e+00,5.421010862427522170e-20,5.827940767630934715e-04
5.368460178375244141e+00,2.755175724926313971e-04,6.975065334700047970e-04
5.398700237274169922e+00,-1.600739055421885400e-04,3.889836079906672239e-04
5.428939819335937500e+00,-1.084202172485504434e-19,5.166311748325824738e-04
5.459179878234863281e+00,4.489187490629522638e-05,6.992272683419287205e-04
5.489419937133789062e+00,-4.607715508756632383e-06,4.079183563590049744e-04
5.519670009613037109e+00,8.738149157800267821e-05,4.151273751631379128e-04
5.549910068511962891e+00,-1.284186823030230434e-04,3.228926507290452719e-04
5.580150127410888672e+00,-2.235702982515984155e-04,3.754670615307986736e-04
5.610390186309814453e+00,-2.236695353867115430e-04,3.622114600148051977e-04
5.640629768371582031e+00,-5.198586868409378527e-05,3.134731668978929520e-04
5.670879840850830078e+00,8.198108781725299467e-05,4.190866602584719658e-04
5.701119899749755859e+00,-2.264402058933462705e-04,3.102204937022179365e-04
5.731359958648681641e+00,9.654424025816541605e-05,5.235238932073116302e-04
5.761600017547607422e+00,7.079824306825709991e-06,7.829029345884919167e-04
5.791840076446533203e+00,9.426642667904557883e-06,6.945572677068412304e-04
5.822090148925781250e+00,1.922138604423927893e-04,4.255772219039499760e-04
5.852330207824707031e+00,3.232256123281926092e-04,3.880244621541351080e-04
5.882569789886474609e+00,2.797059564625811127e-05,5.477019585669040680e-04
5.912809848785400391e+00,3.192637263783340779e-04,6.349434843286871910e-04
5.943049907684326172e+00,1.084202172485504434e-19,4.616447840817272663e-04
5.973299980163574219e+00,6.571397383102514211e-04,5.713137798011302948e-04
6.003540039062500000e+00,7.605601962248065544e-04,5.715875886380672455e-04
6.033780097961425781e+00,4.603380970292506513e-04,5.108597106300294399e-04
6.064020156860351562e+00,8.287282570979446431e-04,1.063231378793716431e-03
6.094260215759277344e+00,7.620119973367517514e-04,8.289358811452984810e-04
6.124509811401367188e+00,5.804889969948397567e-04,3.701631503645330667e-04
6.154749870300292969e+00,1.083322875312953040e-03,5.407867720350623131e-04
6.184989929199218750e+00,1.240010244729528033e-03,5.849882145412266254e-04
6.215229988098144531e+00,3.578931793828593610e-03,4.757316200993955135e-04
6.245470046997070312e+00,4.237885673915646641e-03,5.236598663032054901e-04
6.275720119476318359e+00,4.083983153128047799e-03,5.389408906921744347e-04
6.305960178375244141e+00,2.755171239877559925e-03,4.608996969182044268e-04
6.336200237274169922e+00,1.981648700676135952e-03,4.688253975473344326e-04
6.366439819335937500e+00,1.754917855459644897e-03,5.505205481313169003e-04
6.396679878234863281e+00,1.121942399435731791e-03,4.077220801264047623e-04
6.426929950714111328e+00,9.892189353059199948e-04,5.397974164225161076e-04
6.457170009613037109e+00,1.118683200956011470e-03,3.821904247161000967e-04
6.487410068511962891e+00,9.651604103205184025e-04,6.919780280441045761e-04
6.517650127410888672e+00,1.067981065744286716e-03,1.363036106340587139e-03
6.547890186309814453e+00,1.107959004396604982e-03,6.970954709686338902e-04
6.578139781951904297e+00,7.515609750726188597e-04,5.296804592944681644e-04
6.608379840850830078e+00,1.059485791972105935e-03,6.992993294261395931e-04
6.638619899749755859e+00,9.025950776585612905e-04,7.570683374069631100e-04
6.668859958648681641e+00,1.034635169693472493e-03,7.894845330156385899e-04
6.699100017547607422e+00,5.210109119200012368e-04,7.698277477174997330e-04
6.729350090026855469e+00,3.508524598110289005e-04,4.436292510945349932e-04
6.759590148925781250e+00,3.722582686045789943e-04,8.034045458771288395e-04
6.789830207824707031e+00,5.067578678754768202e-04,5.811012815684080124e-04
6.820069789886474609e+00,0.000000000000000000e+00,7.753173122182488441e-04
6.850309848785400391e+00,1.502835455841925946e-04,8.702255436219274998e-04
6.880559921264648438e+00,2.024316234356987772e-04,5.844489205628633499e-04
6.910799980163574219e+00,3.094443364322387036e-04,1.154932659119367599e-03
6.941040039062500000e+00,3.253312779232244659e-04,1.282959012314677238e-03
6.971280097961425781e+00,1.942867268382912713e-04,8.659078157506883144e-04
7.001520156860351562e+00,2.678259914497822629e-04,1.099219312891364098e-03
7.031770229339599609e+00,2.654654148635132195e-04,1.445867936126887798e-03
7.062009811401367188e+00,5.604443918208966945e-05,6.192654836922883987e-04
7.092249870300292969e+00,1.415518952992849723e-04,5.185685004107654095e-04
7.122489929199218750e+00,5.776454740625237231e-04,8.804336539469659328e-04
7.152729988098144531e+00,6.642625114959537641e-04,8.780860807746648788e-04
7.182980060577392578e+00,3.804362696652448337e-04,8.361156214959919453e-04
7.213220119476318359e+00,0.000000000000000000e+00,6.074690027162432671e-04
7.243460178375244141e+00,2.706387077680240047e-04,8.937122765928506851e-04
7.273700237274169922e+00,5.608597966043197582e-04,9.618879994377493858e-04
7.303939819335937500e+00,5.500710865933644902e-04,1.509744790382683277e-03
7.455150127410888672e+00,1.153433308116469554e-03,5.931989289820194244e-04
7.515639781951904297e+00,1.793246901101431395e-03,5.604433827102184296e-04
7.576119899749755859e+00,2.156975012087998782e-03,6.402261205948889256e-04
7.636600017547607422e+00,3.040091587728283983e-03,1.225943793542683125e-03
7.697090148925781250e+00,3.927094373530749631e-03,7.566061103716492653e-04
7.757569789886474609e+00,5.355185430824699853e-03,5.382056115195155144e-04
7.818049907684326172e+00,6.631006341733613682e-03,1.030599116347730160e-03
7.878540039062500000e+00,6.420350610915917695e-03,1.026401645503938198e-03
7.939020156860351562e+00,5.913658222878233686e-03,6.236837361939251423e-04
7.999509811401367188e+00,4.618930564200858166e-03,4.923804663121700287e-04
8.059989929199218750e+00,3.179829174202228499e-03,5.449243471957743168e-04
8.120470046997070312e+00,2.041132369384687523e-03,3.578248724807053804e-04
8.180959701538085938e+00,1.643078214606071268e-03,4.976283526048064232e-04
8.241439819335937500e+00,1.520891019348079472e-03,4.399678728077560663e-04
8.301919937133789062e+00,1.478200567302192462e-03,6.398209370672702789e-04
8.362409591674804688e+00,1.361961353261240213e-03,3.722280089277774096e-04
8.422889709472656250e+00,1.408423437610882654e-03,3.020920557901263237e-04
8.483369827270507812e+00,1.534296593580421024e-03,3.458710853010416031e-04
8.543860435485839844e+00,1.815714947138224143e-03,5.390610895119607449e-04
8.604339599609375000e+00,2.525001908204857048e-03,5.980305722914636135e-04
8.664830207824707031e+00,3.207017109682021219e-03,3.733444609679281712e-04
8.725310325622558594e+00,3.026201199971340332e-03,3.495699784252792597e-04
8.785790443420410156e+00,2.394740952010734371e-03,3.683631657622754574e-04
8.846280097961425781e+00,1.446064807593423068e-03,6.616716273128986359e-04
8.906760215759277344e+00,1.054437813144749533e-03,3.278569492977112532e-04
8.967240333557128906e+00,9.069161345569699655e-04,3.017385315615683794e-04
9.027729988098144531e+00,9.058962345809429967e-04,7.579982047900557518e-04
9.088210105895996094e+00,6.325651415350014642e-04,3.929065424017608166e-04
9.148690223693847656e+00,4.207708131488763562e-04,3.697877982631325722e-04
9.209179878234863281e+00,4.301256504437352829e-04,3.384234732948243618e-04
9.269659996032714844e+00,2.822944117592228463e-04,4.296444822102785110e-04
9.330149650573730469e+00,1.956993714302109402e-04,3.132802958134561777e-04
9.390629768371582031e+00,4.791866110131419269e-04,5.075511871837079525e-04
9.451109886169433594e+00,0.000000000000000000e+00,3.409263736102730036e-04
9.511599540710449219e+00,6.852061820647762855e-05,4.543852992355823517e-04
9.572079658508300781e+00,1.986297102614018560e-04,3.732338082045316696e-04
9.632559776306152344e+00,5.845621332622246650e-04,3.242519451305270195e-04
9.693050384521484375e+00,2.659424303217822454e-04,4.275007231626659632e-04
9.753529548645019531e+00,2.168404344971008868e-19,2.133378293365240097e-03
9.814009666442871094e+00,3.051993526235615654e-04,9.116029832512140274e-04
9.874500274658203125e+00,9.412133701854909738e-05,3.316207730676978827e-04
9.934980392456054688e+00,2.612726989274685285e-04,2.871855394914746284e-04
9.995470046997070312e+00,3.459174979514288446e-04,4.072930023539811373e-04
1.005595016479492188e+01,2.816912559187930310e-04,4.442570789251476526e-04
1.011643028259277344e+01,2.388194709205839188e-04,4.119436198379844427e-04
1.017691993713378906e+01,2.884661716961501622e-05,4.702706355601549149e-04
1.023740005493164062e+01,0.000000000000000000e+00,3.748498857021331787e-04
1.029788017272949219e+01,-2.564344833305091248e-05,6.471956148743629456e-04
1.035836982727050781e+01,1.218791725362947977e-04,6.196809117682278156e-04
1.041884994506835938e+01,-3.042562884220376997e-04,4.674487572629004717e-04
1.047933006286621094e+01,3.611753638365727999e-03,7.958038477227091789e-04
1.053981971740722656e+01,6.250297962045827695e-03,7.294559618458151817e-04
1.060029983520507812e+01,1.017724853151639845e-03,7.120712543837726116e-04
1.066079044342041016e+01,4.336808689942017736e-19,4.604747518897056580e-04
1.072126960754394531e+01,1.985453625218645823e-04,4.540909139905124903e-04
1.078174972534179688e+01,2.037058258822247933e-04,3.979053581133484840e-04
1.084224033355712891e+01,4.336808689942017736e-19,4.999756347388029099e-04
1.090272045135498047e+01,-4.364790759862208214e-05,3.829970082733780146e-04
1.096319961547851562e+01,8.573802055907757749e-05,6.678177742287516594e-04
1.102369022369384766e+01,8.769100780756178617e-04,3.928950463887304068e-04
1.108417034149169922e+01,1.591585854586268899e-03,5.501395789906382561e-04
1.114465045928955078e+01,2.705594937577225894e-03,6.660484359599649906e-04
1.120514011383056641e+01,5.619295323560745750e-03,7.417699089273810387e-04
1.126562023162841797e+01,6.962657088900413641e-03,6.975909927859902382e-04
1.132610988616943359e+01,5.381783917370704801e-03,5.441261455416679382e-04
1.138659000396728516e+01,3.564931387597906377e-03,5.228838417679071426e-04
1.144707012176513672e+01,2.105720963087895619e-03,4.150907334405928850e-04
1.150755977630615234e+01,9.372426289958940213e-04,4.470551793929189444e-04
1.156803989410400391e+01,7.731380101254005550e-04,9.520734311081469059e-04
1.162852001190185547e+01,4.078726879994751947e-04,5.253048148006200790e-04
1.168900966644287109e+01,-1.154825075363958078e-04,6.076258141547441483e-04
1.174948978424072266e+01,0.000000000000000000e+00,5.240327445790171623e-04
1.180996990203857422e+01,1.801291450022491497e-04,6.276525091379880905e-04
1.187045955657958984e+01,1.815867896994257172e-04,5.085521843284368515e-04
1.193093967437744141e+01,1.633941209734906391e-04,4.914134042337536812e-04
1.199143028259277344e+01,5.894644347644324017e-04,6.606467068195343018e-04
1.205191040039062500e+01,6.226224283863469877e-04,5.352852167561650276e-04
1.211238956451416016e+01,1.139584138977441444e-04,5.306412931531667709e-04
1.217288017272949219e+01,-2.390169955046751032e-04,5.986190517432987690e-04
1.223336029052734375e+01,-8.673617379884035472e-19,5.112605867907404900e-04
1.229384040832519531e+01,5.326285255753395939e-04,6.815847591497004032e-04
1.235433006286621094e+01,8.282295516198485280e-04,6.243450334295630455e-04
1.241481018066406250e+01,8.767430277261904076e-04,9.154147119261324406e-04
1.247529029846191406e+01,1.132477026445539992e-03,4.924176610074937344e-04
1.253577995300292969e+01,1.994285527597098109e-03,5.665200878866016865e-04
1.259626007080078125e+01,2.150788041582974309e-03,5.505671142600476742e-04
1.265674972534179688e+01,2.396224091752803022e-03,5.704702925868332386e-04
1.271722984313964844e+01,2.445535218620139770e-03,6.305433344095945358e-04
1.277770996093750000e+01,2.336179544536703782e-03,5.500502884387969971e-04
1.283819961547851562e+01,1.735685577881442183e-03,5.344220553524792194e-04
1.289867973327636719e+01,7.045577677291005314e-04,5.834202747792005539e-04
1.295915985107421875e+01,2.479887787338180827e-04,6.399075500667095184e-04
1.301965045928955078e+01,0.000000000000000000e+00,5.703046917915344238e-04
1.308012962341308594e+01,5.557165108388850173e-04,8.022402762435376644e-04
1.314060974121093750e+01,3.655900673374267058e-04,1.097800675779581070e-03
1.320110034942626953e+01,2.948681310386597372e-04,6.828785990364849567e-04
1.326158046722412109e+01,1.395592908018080183e-04,5.918490933254361153e-04
1.332205963134765625e+01,2.716570668447829823e-04,6.908325594849884510e-04
1.338255023956298828e+01,3.888980460318696569e-04,9.590241825208067894e-04
1.344303035736083984e+01,1.864378644294345175e-04,9.394909138791263103e-04
1.350352001190185547e+01,8.107400406368557577e-05,1.382932648994028568e-03
1.356400012969970703e+01,0.000000000000000000e+00,6.296886713244020939e-04
1.362448024749755859e+01,-7.577232691952703186e-05,6.299283704720437527e-04
1.368496990203857422e+01,-2.381668757675033804e-04,8.329795091412961483e-04
1.374545001983642578e+01,5.150101107227736050e-04,9.726409916765987873e-04
1.380593013763427734e+01,2.225632246251104535e-04,9.853236842900514603e-04
1.386641979217529297e+01,0.000000000000000000e+00,1.058554276823997498e-03
