# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.900079999999999991e+00,-7.816811973262986157e+00,3.889650000000000052e-01
4.901709999999999567e+00,-7.801367768861412699e+00,3.666150000000000242e-01

4.903349999999999653e+00,-6.927373012550007481e+00,4.592249999999999943e-01

4.904980000000000118e+00,-6.748613601119885175e+00,4.249330000000000052e-01

4.906620000000000203e+00,-7.369864741523729279e+00,3.099959999999999938e-01

4.908249999999999780e+00,-7.178290063519551012e+00,3.417160000000000197e-01

4.909889999999999866e+00,-7.197767040727808485e+00,2.801270000000000149e-01

4.911529999999999951e+00,-6.410047197934146901e+00,3.331339999999999857e-01

4.913160000000000416e+00,-5.740429790705829483e+00,3.465869999999999784e-01

4.914799999999999613e+00,-5.827665694758739967e+00,3.739689999999999959e-01

4.916439999999999699e+00,-6.656034733693220851e+00,3.640909999999999980e-01

4.918079999999999785e+00,-6.082466892439870598e+00,3.592350000000000265e-01

4.919719999999999871e+00,-5.901462155929210418e+00,3.847979999999999734e-01

4.921359999999999957e+00,-6.041820509091788693e+00,4.227159999999999807e-01

4.923000000000000043e+00,-4.943071936858142834e+00,4.353250000000000175e-01

4.924640000000000128e+00,-5.358696424158804206e+00,4.985120000000000107e-01

4.926280000000000214e+00,-7.043593955924330352e+00,3.966529999999999778e-01

4.927920000000000300e+00,-6.263394517085262514e+00,4.440359999999999863e-01

4.929570000000000007e+00,-6.096854497213364255e+00,5.301339999999999941e-01

4.931210000000000093e+00,-5.453921638979144504e+00,4.294870000000000076e-01

4.932859999999999800e+00,-4.901489306890839615e+00,4.544340000000000046e-01

4.934499999999999886e+00,-6.062952968615508809e+00,4.559400000000000119e-01

4.936139999999999972e+00,-5.711489584204535674e+00,3.829600000000000226e-01

4.937789999999999679e+00,-5.573048384332709659e+00,3.444949999999999957e-01

4.939440000000000275e+00,-6.559221244764374070e+00,2.988399999999999945e-01

4.941080000000000361e+00,-5.726997764469034635e+00,2.785009999999999986e-01

4.942730000000000068e+00,-5.515128129637099086e+00,3.322390000000000065e-01

4.944379999999999775e+00,-6.555022509161282152e+00,3.804409999999999736e-01

4.946030000000000371e+00,-6.927870887694749236e+00,3.674930000000000141e-01

4.947680000000000078e+00,-6.759113249890718045e+00,3.652380000000000071e-01

4.949329999999999785e+00,-5.662919580402366648e+00,3.902680000000000038e-01

4.950980000000000381e+00,-4.783019863882908673e+00,3.547759999999999803e-01

4.952630000000000088e+00,-5.379584084985554959e+00,3.605340000000000211e-01

4.954279999999999795e+00,-4.799032228363473429e+00,4.373960000000000070e-01

4.955930000000000391e+00,-5.287334278669858278e+00,4.766920000000000046e-01

4.957580000000000098e+00,-5.522330220557936542e+00,4.606950000000000212e-01

4.959229999999999805e+00,-6.432890038680887379e+00,4.601049999999999862e-01

4.960890000000000022e+00,-6.450000935199290630e+00,4.266369999999999885e-01

4.962539999999999729e+00,-6.176439028465644299e+00,3.906129999999999880e-01

4.964199999999999946e+00,-5.433879310121861650e+00,4.700900000000000079e-01

4.965849999999999653e+00,-5.204465616771803305e+00,5.055920000000000414e-01

4.967509999999999870e+00,-5.179225221431718040e+00,4.702219999999999733e-01

4.969159999999999577e+00,-6.137829679705428809e+00,3.832169999999999743e-01

4.970819999999999794e+00,-5.537848545234906439e+00,4.231039999999999801e-01

4.972480000000000011e+00,-4.838612303697519934e+00,4.780639999999999890e-01

4.974129999999999718e+00,-5.190339157637509970e+00,4.971769999999999801e-01

4.975789999999999935e+00,-5.456822083674647494e+00,4.358500000000000152e-01

4.977450000000000152e+00,-5.879299855856459978e+00,4.208830000000000071e-01

4.979110000000000369e+00,-5.455562458555393235e+00,4.551569999999999783e-01

4.980769999999999698e+00,-4.656499876143946004e+00,4.200479999999999769e-01

4.982429999999999914e+00,-5.427072092994562169e+00,3.963420000000000276e-01

4.984090000000000131e+00,-4.377729093479730160e+00,4.635130000000000083e-01

4.985750000000000348e+00,-3.985950861971897297e+00,4.097259999999999791e-01

4.987420000000000186e+00,-4.388253733308624227e+00,3.275620000000000198e-01

4.989080000000000403e+00,-4.721945561588205109e+00,3.944639999999999813e-01

4.990739999999999732e+00,-5.586372110898070176e+00,4.798169999999999935e-01

4.992409999999999570e+00,-4.930401431197500628e+00,5.677259999999999529e-01

4.994069999999999787e+00,-4.444507946058304348e+00,5.709710000000000063e-01

4.995739999999999625e+00,-4.734678344646418680e+00,5.616210000000000369e-01

4.997399999999999842e+00,-4.544244762170898788e+00,4.790309999999999846e-01

4.999069999999999681e+00,-5.097996175781619677e+00,4.025270000000000237e-01

5.000729999999999897e+00,-4.911652433082515756e+00,5.009749999999999481e-01

5.002399999999999736e+00,-5.487034798449728079e+00,4.746029999999999971e-01

5.004069999999999574e+00,-6.036942902589664151e+00,4.513039999999999830e-01

5.005740000000000300e+00,-5.102166729590705607e+00,4.903970000000000273e-01

5.007410000000000139e+00,-4.466616263541165921e+00,4.711520000000000152e-01

5.009079999999999977e+00,-4.663181488529378527e+00,4.518110000000000182e-01

5.010749999999999815e+00,-4.802862388643699632e+00,4.601859999999999840e-01

5.012419999999999654e+00,-4.505568947972468763e+00,5.107639999999999958e-01

5.014090000000000380e+00,-4.141981150604001627e+00,3.974489999999999967e-01

5.015760000000000218e+00,-4.615778980626672912e+00,3.790819999999999745e-01

5.017430000000000057e+00,-4.581132422128801451e+00,3.640849999999999920e-01

5.019099999999999895e+00,-4.774841459198720273e+00,3.705800000000000205e-01

5.020780000000000243e+00,-4.717013876447938792e+00,4.226289999999999769e-01

5.022450000000000081e+00,-3.860704629108554720e+00,3.725229999999999930e-01

5.024119999999999919e+00,-4.173150929506714846e+00,4.933569999999999900e-01

5.025800000000000267e+00,-4.649832281963114156e+00,5.957400000000000473e-01

5.027479999999999727e+00,-4.291650297565350769e+00,4.825369999999999937e-01

5.029149999999999565e+00,-3.749584289322337227e+00,3.809250000000000136e-01

5.030829999999999913e+00,-4.438055007483449721e+00,4.207929999999999726e-01

5.032510000000000261e+00,-4.157952340289187809e+00,5.214490000000000514e-01

5.034180000000000099e+00,-4.014893879054426407e+00,4.386909999999999976e-01

5.035859999999999559e+00,-3.406393817705309246e+00,3.973639999999999950e-01

5.037539999999999907e+00,-3.113280322499580421e+00,4.143049999999999788e-01

5.039220000000000255e+00,-4.111943377238016062e+00,3.550340000000000162e-01

5.040899999999999714e+00,-3.572762965721409500e+00,4.340959999999999819e-01

5.042580000000000062e+00,-3.535519071750537812e+00,5.506499999999999728e-01

5.044260000000000410e+00,-3.803811679126197554e+00,4.977079999999999838e-01

5.045939999999999870e+00,-4.085820771649172123e+00,4.299160000000000204e-01

5.047629999999999839e+00,-4.076753321677437647e+00,3.464610000000000190e-01

5.049310000000000187e+00,-3.732415909972392143e+00,2.855199999999999960e-01

5.050989999999999647e+00,-3.352664934720610113e+00,3.676059999999999883e-01

5.052679999999999616e+00,-3.740069093631456454e+00,3.758099999999999774e-01

5.054359999999999964e+00,-3.986001516473685058e+00,3.798830000000000262e-01

5.056049999999999933e+00,-3.951700191872121515e+00,3.365779999999999883e-01

5.057730000000000281e+00,-3.360705947625234558e+00,2.895090000000000163e-01

5.059420000000000250e+00,-3.854629073940142092e+00,3.285509999999999819e-01

5.061099999999999710e+00,-3.875968097421028880e+00,4.108620000000000050e-01

5.062789999999999679e+00,-3.773205609081274226e+00,4.248819999999999819e-01

5.064479999999999649e+00,-3.833820577133229435e+00,3.910410000000000275e-01

5.066169999999999618e+00,-3.440362985086676595e+00,4.271739999999999982e-01

5.067859999999999587e+00,-3.634142816451398694e+00,4.053340000000000276e-01

5.069549999999999557e+00,-3.178860054737195462e+00,3.944880000000000053e-01

5.071240000000000414e+00,-3.220644683453842028e+00,3.929059999999999775e-01

5.072930000000000383e+00,-2.919896686111141726e+00,3.753600000000000270e-01

5.074620000000000353e+00,-2.848406046218883603e+00,3.770479999999999943e-01

5.076310000000000322e+00,-3.633682747286846926e+00,4.755710000000000215e-01

5.078000000000000291e+00,-4.135936772824821084e+00,5.053060000000000329e-01

5.079699999999999882e+00,-4.476516036933475107e+00,4.852190000000000114e-01

5.081389999999999851e+00,-3.764765237581062962e+00,5.002990000000000492e-01

5.083079999999999821e+00,-4.421741713130457718e+00,5.223989999999999467e-01

5.084780000000000300e+00,-3.601255107714929515e+00,5.271850000000000147e-01

