# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,1.962668771736106876e-01,2.346709668636322021e-01
5.156760215759277344e+00,5.289202968333162058e-02,2.205068618059158325e-02
5.186999797821044922e+00,6.535654295946324854e-03,1.903246855363249779e-03
5.217249870300292969e+00,4.253007579503099989e-02,1.182308327406644821e-02
5.247489929199218750e+00,6.269038904677244617e-02,1.137082581408321857e-03
5.277729988098144531e+00,4.681907859702535979e-02,6.306951865553855896e-03
5.307970046997070312e+00,3.153678901292614190e-02,3.513575764372944832e-03
5.338210105895996094e+00,2.914289189236535238e-02,0.000000000000000000e+00
5.368460178375244141e+00,3.158233343966121431e-02,5.516764242202043533e-03
5.398700237274169922e+00,2.353091743141483283e-02,8.192953537218272686e-04
5.428939819335937500e+00,9.643074180062632950e-03,5.161536391824483871e-04
5.459179878234863281e+00,0.000000000000000000e+00,1.987742725759744644e-03
5.489419937133789062e+00,2.242831768265424186e-03,4.206550773233175278e-03
5.519670009613037109e+00,-1.893850039194483470e-03,5.340621573850512505e-04
5.549910068511962891e+00,-1.449889175865276547e-03,2.231654245406389236e-03
5.580150127410888672e+00,1.097865343884840694e-03,7.205962319858372211e-04
5.610390186309814453e+00,5.153946069560877419e-03,3.735713544301688671e-04
5.640629768371582031e+00,6.713476201075874172e-03,8.179839933291077614e-04
5.670879840850830078e+00,1.226990809915168290e-02,1.301248092204332352e-03
5.701119899749755859e+00,1.668288835731915332e-02,4.296299302950501442e-04
5.731359958648681641e+00,1.629880441785286349e-02,7.399830967187881470e-03
5.761600017547607422e+00,8.171590256573019184e-03,2.949368674308061600e-03
5.791840076446533203e+00,5.145389023456126143e-03,3.207658883184194565e-03
5.822090148925781250e+00,0.000000000000000000e+00,2.883803099393844604e-03
5.852330207824707031e+00,3.159744358780774975e-03,9.384798468090593815e-04
5.882569789886474609e+00,5.690919539094091428e-03,1.165763707831501961e-03
5.912809848785400391e+00,1.370504867394925497e-02,3.060723422095179558e-03
5.943049907684326172e+00,1.472082438185981501e-02,5.856683710590004921e-04
5.973299980163574219e+00,2.967636988342989279e-02,6.444593891501426697e-03
6.003540039062500000e+00,6.464091373225641646e-02,5.050997249782085419e-03
6.033780097961425781e+00,8.249558679287991025e-02,1.211499562487006187e-03
6.064020156860351562e+00,7.671862549988389679e-02,8.155291434377431870e-04
6.094260215759277344e+00,5.339832924466167419e-02,4.918448161333799362e-03
6.124509811401367188e+00,5.135533037872230810e-02,4.137752577662467957e-03
6.154749870300292969e+00,7.958330147321041048e-02,1.790992566384375095e-03
6.184989929199218750e+00,1.649243430110579056e-01,3.987881820648908615e-03
6.215229988098144531e+00,2.352274624773013634e-01,9.618074633181095123e-03
6.245470046997070312e+00,3.059489914803599775e-01,5.099858622997999191e-03
6.275720119476318359e+00,3.503742042844818494e-01,3.268764587119221687e-03
6.305960178375244141e+00,3.023600060442248050e-01,4.173264838755130768e-03
6.336200237274169922e+00,2.156785990321445357e-01,9.358678944408893585e-03
6.366439819335937500e+00,1.408934114138362115e-01,8.377467282116413116e-03
6.396679878234863281e+00,8.655732289036327520e-02,0.000000000000000000e+00
6.426929950714111328e+00,5.309079743599387502e-02,5.190964322537183762e-03
6.457170009613037109e+00,3.876412869923420712e-02,5.793885793536901474e-03
6.487410068511962891e+00,2.854159461242194995e-02,5.823390092700719833e-03
6.517650127410888672e+00,1.894684152797210253e-02,3.639126196503639221e-03
6.547890186309814453e+00,1.657647724792252197e-02,4.016044549643993378e-04
6.578139781951904297e+00,1.114463663419165695e-02,1.381398178637027740e-03
6.608379840850830078e+00,8.791082620763224220e-03,1.277187024243175983e-03
6.638619899749755859e+00,1.301233688826397561e-03,3.160924417898058891e-03
6.668859958648681641e+00,0.000000000000000000e+00,4.461402539163827896e-03
6.699100017547607422e+00,2.282452744281626700e-04,2.978842705488204956e-03
6.729350090026855469e+00,-2.195027284843914517e-03,4.141701851040124893e-03
6.759590148925781250e+00,2.114029884301177331e-03,9.414302767254412174e-04
6.789830207824707031e+00,9.465430222391962856e-03,7.046089158393442631e-04
6.820069789886474609e+00,1.029324293823641323e-02,3.945652861148118973e-03
6.850309848785400391e+00,1.927990352543032526e-02,5.588246043771505356e-03
6.880559921264648438e+00,2.071957106022684347e-02,8.117164485156536102e-03
6.910799980163574219e+00,1.985032363382380205e-02,7.063975092023611069e-03
6.941040039062500000e+00,2.387986196883509771e-02,6.660723593086004257e-03
6.971280097961425781e+00,1.362815141267884056e-02,6.000989116728305817e-03
7.001520156860351562e+00,1.215133642616078591e-02,4.161104559898376465e-03
7.031770229339599609e+00,1.106466841929229505e-02,2.662847051396965981e-03
7.062009811401367188e+00,4.588584385186333936e-03,1.495017320849001408e-03
7.092249870300292969e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.122489929199218750e+00,1.266415651171245993e-02,7.631834014318883419e-04
7.152729988098144531e+00,2.219403106741579812e-02,3.455718047916889191e-03
7.182980060577392578e+00,3.139187211778418640e-02,1.998530467972159386e-03
7.213220119476318359e+00,3.164020626944194503e-02,7.118409499526023865e-03
7.243460178375244141e+00,4.303648625164033237e-02,6.496024434454739094e-04
7.273700237274169922e+00,4.262452753713497078e-02,7.085901219397783279e-03
7.303939819335937500e+00,4.825938633469817329e-02,9.846944361925125122e-03
7.334189891815185547e+00,3.286886344179129615e-02,9.033961221575737000e-03
7.364429950714111328e+00,3.616190318281703453e-02,9.664534591138362885e-03
7.394670009613037109e+00,4.391279083484622703e-02,9.269906440749764442e-04
7.424910068511962891e+00,5.136052395567208828e-02,1.315337140113115311e-03
7.455150127410888672e+00,8.367111540765304056e-02,2.023500204086303711e-02
7.485400199890136719e+00,1.018193315137735921e-01,2.095068991184234619e-02
7.515639781951904297e+00,9.904150717518894753e-02,4.558424465358257294e-03
7.545879840850830078e+00,1.221536112335386282e-01,1.100332289934158325e-02
7.576119899749755859e+00,1.406936929188917218e-01,1.139296591281890869e-02
7.636600017547607422e+00,0.000000000000000000e+00,2.842276357114315033e-02
7.697090148925781250e+00,2.543855743654166446e-02,1.287699490785598755e-01
7.757569789886474609e+00,1.537236500128174033e-01,6.475763767957687378e-02
7.818049907684326172e+00,2.237824000896199150e-01,3.637002035975456238e-02
7.878540039062500000e+00,2.595960519694223145e-01,1.572783477604389191e-02
7.939020156860351562e+00,2.372407568213295570e-01,2.453552745282649994e-02
7.999509811401367188e+00,2.309947875362104441e-01,9.666634723544120789e-03
8.059989929199218750e+00,2.207654058854697232e-01,2.825920935720205307e-03
8.120470046997070312e+00,1.985253454028505504e-01,3.675639629364013672e-03
8.180959701538085938e+00,1.883408545805533851e-01,2.795945852994918823e-02
8.241439819335937500e+00,1.537972530357279988e-01,2.923551201820373535e-02
8.301919937133789062e+00,1.113685302545212030e-01,1.934264600276947021e-02
8.362409591674804688e+00,1.048845804112272240e-01,3.798889368772506714e-02
8.422889709472656250e+00,1.219699389964763458e-01,1.419174075126647949e-01
8.483369827270507812e+00,1.178947539451133397e-01,1.430760025978088379e-01
8.543860435485839844e+00,1.243165941453927559e-01,1.249008327722549438e-01
8.604339599609375000e+00,1.808081391283870021e-01,1.393350511789321899e-01
8.664830207824707031e+00,1.974305911074731856e-01,1.111870482563972473e-01
8.725310325622558594e+00,1.328843685729511614e-01,7.842711359262466431e-02
8.785790443420410156e+00,1.473973063971998898e-01,9.562653303146362305e-02
8.846280097961425781e+00,1.073537202103717059e-01,1.161633208394050598e-01
8.906760215759277344e+00,5.917420310917942405e-02,4.214160889387130737e-02
8.967240333557128906e+00,4.766158479607146559e-02,1.085437014698982239e-01
9.027729988098144531e+00,0.000000000000000000e+00,1.637598425149917603e-01
9.088210105895996094e+00,6.191403697324998623e-02,8.938797563314437866e-02
9.148690223693847656e+00,1.924904545167671621e-02,1.355746388435363770e-01
9.209179878234863281e+00,8.597303469381251118e-02,3.222631663084030151e-02
9.269659996032714844e+00,1.338096337445421335e-02,1.310436278581619263e-01
9.330149650573730469e+00,4.157888655684971457e-02,6.830592453479766846e-02
9.390629768371582031e+00,7.425889231705112836e-02,1.111373603343963623e-01
9.451109886169433594e+00,1.197293834756873454e-01,1.356674730777740479e-01
9.511599540710449219e+00,3.387811664809536882e-02,1.963103860616683960e-01
9.572079658508300781e+00,0.000000000000000000e+00,1.683522909879684448e-01
9.632559776306152344e+00,1.291456198336011219e-01,8.800295740365982056e-02
9.693050384521484375e+00,3.701912995816214469e-02,1.902671307325363159e-01
9.753529548645019531e+00,2.165625678863070114e-02,1.782134473323822021e-01
9.814009666442871094e+00,6.959043246363993962e-02,1.436816900968551636e-01
9.874500274658203125e+00,4.603144192711361438e-02,1.735170930624008179e-01
9.934980392456054688e+00,-1.110223024625156540e-16,1.860238015651702881e-01
9.995470046997070312e+00,9.057392163079547309e-03,1.462619304656982422e-01
1.005595016479492188e+01,5.248300910119918505e-02,1.953072696924209595e-01
1.011643028259277344e+01,4.716636610283064801e-02,1.942171603441238403e-01
1.017691993713378906e+01,-3.213060378404186679e-05,1.652262955904006958e-01
1.023740005493164062e+01,-5.610404898002685492e-03,1.555579453706741333e-01
1.029788017272949219e+01,1.110223024625156540e-16,1.681971251964569092e-01
1.035836982727050781e+01,8.765909147822936731e-03,1.796738803386688232e-01
1.041884994506835938e+01,4.001925706353737233e-02,1.644168049097061157e-01
1.047933006286621094e+01,2.628320024845687275e-02,1.845333129167556763e-01
1.053981971740722656e+01,-2.377090827234551451e-02,2.306855022907257080e-01
1.060029983520507812e+01,1.423665365067439126e-03,1.775959581136703491e-01
1.066079044342041016e+01,3.567657504037580196e-02,2.153490185737609863e-01
1.072126960754394531e+01,1.110223024625156540e-16,2.276070415973663330e-01
1.078174972534179688e+01,2.637359606720168781e-02,1.575245410203933716e-01
1.084224033355712891e+01,5.067877026082578951e-03,2.324206531047821045e-01
1.090272045135498047e+01,6.542199256529845908e-02,1.975501775741577148e-01
1.096319961547851562e+01,1.102179960891702670e-01,1.114765703678131104e-01
1.102369022369384766e+01,1.733498915222420056e-01,1.669180989265441895e-01
1.108417034149169922e+01,2.264945204312536209e-01,2.380169481039047241e-01
1.114465045928955078e+01,3.848761983947048826e-01,3.116078674793243408e-01
1.120514011383056641e+01,6.186638854864723314e-01,1.928611099720001221e-01
1.126562023162841797e+01,8.333651777583384046e-01,2.606936171650886536e-02
1.132610988616943359e+01,7.089579987440739473e-01,9.710419178009033203e-02
1.138659000396728516e+01,5.983620144698023058e-01,2.451629191637039185e-02
1.144707012176513672e+01,3.913049047159595784e-01,5.186379700899124146e-02
1.150755977630615234e+01,3.018558054264941504e-01,9.733533859252929688e-02
1.156803989410400391e+01,2.027293234847780123e-01,2.114606089890003204e-02
1.162852001190185547e+01,1.089412651231211893e-01,3.499769419431686401e-02
1.168900966644287109e+01,4.631596379807856323e-02,3.213701769709587097e-02
1.174948978424072266e+01,4.440892098500626162e-16,2.954984828829765320e-02
1.180996990203857422e+01,2.466726184030210156e-02,1.257462799549102783e-01
1.187045955657958984e+01,-2.918423321861984832e-02,1.142902597784996033e-01
1.193093967437744141e+01,-2.220446049250313081e-16,1.624548733234405518e-01
1.199143028259277344e+01,-1.482779678281120894e-02,5.549558624625205994e-02
1.205191040039062500e+01,-3.045600417922633696e-02,4.750482272356748581e-03
1.211238956451416016e+01,-4.346380927406912065e-03,1.062338873744010925e-01
1.217288017272949219e+01,3.188166347977050563e-02,2.031601965427398682e-01
1.223336029052734375e+01,-6.058962236224352260e-02,1.441898196935653687e-01
1.229384040832519531e+01,6.048732069368289999e-03,2.122305780649185181e-01
1.235433006286621094e+01,5.567795827431454292e-02,3.356608748435974121e-01
1.241481018066406250e+01,5.677416689873582278e-02,2.623421549797058105e-01
1.247529029846191406e+01,8.995420624159367051e-02,2.167979627847671509e-01
1.253577995300292969e+01,1.258677557925069745e-01,2.397345304489135742e-01
1.259626007080078125e+01,1.199520177191648607e-01,3.051944971084594727e-01
1.265674972534179688e+01,1.889548044383353442e-01,4.301257133483886719e-01
1.271722984313964844e+01,2.057373928432812971e-01,4.025677442550659180e-01
1.277770996093750000e+01,2.276513045819283931e-01,4.709536731243133545e-01
1.283819961547851562e+01,2.166828478042228667e-01,4.845821857452392578e-01
1.289867973327636719e+01,1.159338076607445700e-01,4.781272411346435547e-01
1.295915985107421875e+01,0.000000000000000000e+00,5.327628850936889648e-01
1.301965045928955078e+01,3.031377530835488443e-03,4.674085676670074463e-01
1.308012962341308594e+01,4.968414473979709811e-02,5.474629998207092285e-01
1.314060974121093750e+01,2.435699971291005461e-02,6.281806826591491699e-01
1.320110034942626953e+01,-4.275397466131147794e-03,6.064273118972778320e-01
1.326158046722412109e+01,7.219086615442127375e-02,6.631084084510803223e-01
1.332205963134765625e+01,8.447483732032345927e-02,6.532075405120849609e-01
1.338255023956298828e+01,7.199481579838229450e-02,7.372148633003234863e-01
1.344303035736083984e+01,5.967992890767348513e-02,6.759488582611083984e-01
1.350352001190185547e+01,0.000000000000000000e+00,6.525608301162719727e-01
1.356400012969970703e+01,-3.430954992014356719e-02,6.011881232261657715e-01
1.362448024749755859e+01,1.081064844421675275e-02,7.064535617828369141e-01
1.368496990203857422e+01,5.265552249955618436e-02,7.285616397857666016e-01
1.374545001983642578e+01,-1.882037612099018986e-02,6.953373551368713379e-01
1.380593013763427734e+01,0.000000000000000000e+00,8.182387351989746094e-01
1.386641979217529297e+01,1.112512926143383041e-01,7.605527639389038086e-01
