# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.900850000000000151e+00,6.488689019367605226e+01,9.984720000000000262e-01

4.902120000000000033e+00,6.440651097180329998e+01,9.225970000000000004e-01
4.903389999999999915e+00,6.448403695234695476e+01,8.108340000000000547e-01
4.904530000000000278e+00,6.356923950943837553e+01,7.183859999999999690e-01
4.905809999999999782e+00,6.328996510717352919e+01,7.336449999999999916e-01
4.907099999999999795e+00,6.370109900309843454e+01,1.183589999999999920e+00
4.908220000000000027e+00,6.587866574675052789e+01,1.135979999999999990e+00
4.909489999999999910e+00,6.670751973080206199e+01,8.080030000000000268e-01
4.910610000000000142e+00,6.467757624983379117e+01,7.373009999999999842e-01
4.911900000000000155e+00,6.228415630876949649e+01,6.375060000000000171e-01
4.913179999999999659e+00,5.981413218482798300e+01,7.360039999999999916e-01
4.914329999999999643e+00,5.848707931081521849e+01,6.253429999999999822e-01
4.915589999999999904e+00,5.979869536338524938e+01,5.546809999999999796e-01
4.916870000000000296e+00,6.183228180731357781e+01,5.220409999999999773e-01
4.917989999999999640e+00,6.228691052135985728e+01,5.787870000000000514e-01
4.919290000000000163e+00,6.195730926329699173e+01,3.178119999999999834e-01
4.920580000000000176e+00,6.141606873953503509e+01,5.591359999999999664e-01
4.921710000000000029e+00,6.125855367737831614e+01,6.817940000000000111e-01
4.922979999999999912e+00,5.978886243272535239e+01,6.633660000000000112e-01
4.924260000000000304e+00,5.825864070585616616e+01,5.857890000000000041e-01
4.925379999999999647e+00,5.794680537509211149e+01,6.032210000000000072e-01
4.926669999999999661e+00,5.923786013196462363e+01,8.061770000000000325e-01
4.927970000000000184e+00,6.062942834051790442e+01,6.314520000000000133e-01
4.929100000000000037e+00,5.984846819566014631e+01,4.217210000000000125e-01
4.930380000000000429e+00,5.965550932542208784e+01,5.012229999999999741e-01
4.931639999999999802e+00,5.975718212482435376e+01,6.133600000000000163e-01
4.932780000000000165e+00,5.982410203668365511e+01,1.100179999999999936e+00
4.934059999999999668e+00,5.840969042892106700e+01,1.070540000000000047e+00
4.935360000000000191e+00,5.776845762290479058e+01,9.452850000000000419e-01
4.936490000000000045e+00,5.739000955226198641e+01,7.031190000000000495e-01
4.937770000000000437e+00,5.706815379089404416e+01,6.965069999999999872e-01
4.939040000000000319e+00,5.755550934638652905e+01,7.831489999999999840e-01
4.940310000000000201e+00,5.662572876314717973e+01,4.901190000000000269e-01
4.941449999999999676e+00,5.567095950959898687e+01,1.813120000000000009e-01
4.942750000000000199e+00,5.585087640050949176e+01,6.067569999999999908e-01
4.943889999999999674e+00,5.624959104896203144e+01,7.586960000000000370e-01
4.945170000000000066e+00,5.596479667312047468e+01,5.470699999999999452e-01
4.946439999999999948e+00,5.512416575329667978e+01,5.253299999999999637e-01
4.947720000000000340e+00,5.454510423010400189e+01,3.791390000000000038e-01
4.948859999999999815e+00,5.450282684318194981e+01,5.305090000000000083e-01
4.950149999999999828e+00,5.492913115676950042e+01,3.745149999999999868e-01
4.951450000000000351e+00,5.423804744503385677e+01,4.770499999999999741e-01
4.952580000000000204e+00,5.247327517376268702e+01,8.368710000000000315e-01
4.953870000000000218e+00,5.156910863958509594e+01,5.476999999999999647e-01
4.955129999999999590e+00,5.324255732477706715e+01,9.341369999999999951e-01
4.956400000000000361e+00,5.430359811339445741e+01,9.302070000000000061e-01
4.957550000000000345e+00,5.340829273047891945e+01,7.846060000000000256e-01
4.958849999999999980e+00,5.141025819131709795e+01,9.329269999999999508e-01
4.959990000000000343e+00,5.039564604023182426e+01,7.291579999999999728e-01
4.961269999999999847e+00,5.038269549025524441e+01,4.097310000000000119e-01
4.962539999999999729e+00,4.945480557996452831e+01,5.102830000000000421e-01
4.963820000000000121e+00,4.793055139972986467e+01,4.810280000000000111e-01
4.964949999999999974e+00,4.771907979648584330e+01,5.516539999999999777e-01
4.966249999999999609e+00,5.014204500791109353e+01,1.292210000000000081e+00
4.967550000000000132e+00,5.330688345014932850e+01,1.120489999999999986e+00
4.968679999999999986e+00,5.250058970522060520e+01,8.242949999999999999e-01
4.969960000000000377e+00,5.127039640995970160e+01,9.721819999999999906e-01
4.971250000000000391e+00,4.851088197163090854e+01,9.294080000000000119e-01
