# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,1.754923178730543043e-01,1.128097772598266602e-01
5.156760215759277344e+00,1.781110820167208786e-02,2.238208055496215820e-02
5.186999797821044922e+00,7.111629874909697335e-02,5.883460864424705505e-02
5.217249870300292969e+00,1.414171955681422510e-01,4.871333017945289612e-02
5.247489929199218750e+00,2.208877603796706168e-01,2.681856788694858551e-02
5.277729988098144531e+00,1.727124281319736276e-01,3.690650686621665955e-02
5.307970046997070312e+00,9.143417051343982749e-02,4.898182302713394165e-02
5.338210105895996094e+00,5.837946369853908024e-02,4.155869036912918091e-02
5.368460178375244141e+00,7.974726819206523487e-04,3.777268528938293457e-02
5.398700237274169922e+00,-4.440892098500626162e-16,2.671242319047451019e-02
5.428939819335937500e+00,1.097019438074564590e-02,2.490385994315147400e-02
5.459179878234863281e+00,2.360619195129132208e-02,5.279123783111572266e-03
5.489419937133789062e+00,-3.520232154844649131e-03,4.277120158076286316e-02
5.519670009613037109e+00,4.440892098500626162e-16,4.464440420269966125e-02
5.549910068511962891e+00,6.564550466913399163e-03,3.963350504636764526e-02
5.580150127410888672e+00,6.627486334106125199e-02,4.846470430493354797e-02
5.610390186309814453e+00,2.223462049275299890e-01,5.022032931447029114e-02
5.640629768371582031e+00,3.670125467261402541e-01,6.556357443332672119e-02
5.670879840850830078e+00,3.803961335102545860e-01,5.122258886694908142e-02
5.701119899749755859e+00,3.953676310965836826e-01,7.798060029745101929e-02
5.731359958648681641e+00,3.398727455904206884e-01,4.050049930810928345e-02
5.761600017547607422e+00,2.725593395035197375e-01,3.049420937895774841e-02
5.791840076446533203e+00,1.759560908536119683e-01,1.430424395948648453e-02
5.822090148925781250e+00,1.372848862673978765e-01,2.350504882633686066e-02
5.852330207824707031e+00,1.774738925783663213e-01,1.872453838586807251e-02
5.882569789886474609e+00,2.424075196496393581e-01,1.185622066259384155e-02
5.912809848785400391e+00,2.420745203439578219e-01,1.524472329765558243e-02
5.943049907684326172e+00,1.784238835614826435e-01,0.000000000000000000e+00
5.973299980163574219e+00,2.395142105074685723e-01,2.130361087620258331e-02
6.003540039062500000e+00,3.872857418401736140e-01,2.428426779806613922e-02
6.033780097961425781e+00,3.982516787277550208e-01,4.133156500756740570e-03
6.064020156860351562e+00,3.049792753140447843e-01,2.471864968538284302e-02
6.094260215759277344e+00,3.842035904608924746e-01,1.917225681245326996e-02
6.124509811401367188e+00,9.438991685840587564e-01,1.527765579521656036e-02
6.154749870300292969e+00,2.307604390898217783e+00,6.425090879201889038e-02
6.184989929199218750e+00,3.929985863593454809e+00,8.238062262535095215e-02
6.215229988098144531e+00,4.636616784111941669e+00,4.389321804046630859e-02
6.245470046997070312e+00,4.433379645550148851e+00,6.659237295389175415e-02
6.275720119476318359e+00,3.464178717528169305e+00,4.116009920835494995e-02
6.305960178375244141e+00,2.346013609546409029e+00,0.000000000000000000e+00
6.336200237274169922e+00,1.553585484020676866e+00,2.537620998919010162e-02
6.366439819335937500e+00,1.049552445416656710e+00,3.364292904734611511e-02
6.396679878234863281e+00,7.034154416218081352e-01,8.826845325529575348e-03
6.426929950714111328e+00,4.193842300644203824e-01,1.855837926268577576e-02
6.457170009613037109e+00,2.091332997188763976e-01,3.998364880681037903e-02
6.487410068511962891e+00,9.127290953092748182e-02,5.515338853001594543e-02
6.517650127410888672e+00,-1.332267629550187849e-15,3.681628406047821045e-02
6.547890186309814453e+00,-7.620433812999483081e-03,4.100060835480690002e-02
6.578139781951904297e+00,3.986110823224020550e-02,2.818077430129051208e-02
6.608379840850830078e+00,6.102803952297142231e-02,2.048343047499656677e-02
6.638619899749755859e+00,6.028645844929414466e-02,3.883033292368054390e-03
6.668859958648681641e+00,2.905777858573710404e-02,0.000000000000000000e+00
6.699100017547607422e+00,2.606373317845633863e-02,4.020750988274812698e-03
6.729350090026855469e+00,4.195583376455314095e-02,1.911142654716968536e-02
6.759590148925781250e+00,1.238886077993135437e-01,0.000000000000000000e+00
6.789830207824707031e+00,1.975102825938059858e-01,4.766357596963644028e-03
6.820069789886474609e+00,2.368897192144303609e-01,2.189761959016323090e-02
6.850309848785400391e+00,2.696032566888288962e-01,2.536409720778465271e-02
6.880559921264648438e+00,2.338014524087799195e-01,2.553270570933818817e-02
6.910799980163574219e+00,1.727968670503843285e-01,1.745541393756866455e-02
6.941040039062500000e+00,1.008103458705793543e-01,5.078943446278572083e-03
6.971280097961425781e+00,3.287842428532128380e-02,8.387700654566287994e-03
7.001520156860351562e+00,-4.440892098500626162e-16,2.605322934687137604e-02
7.031770229339599609e+00,7.264741327417434391e-02,2.228355407714843750e-02
7.062009811401367188e+00,1.878422435047286676e-01,1.422150433063507080e-02
7.092249870300292969e+00,2.820665086127522869e-01,2.439109422266483307e-02
7.122489929199218750e+00,4.256272524604307606e-01,3.732605651021003723e-02
7.152729988098144531e+00,6.472617272662519738e-01,5.708048120141029358e-02
7.182980060577392578e+00,8.111502594035067126e-01,2.080526947975158691e-02
7.213220119476318359e+00,9.605267587180890132e-01,6.722026970237493515e-03
7.243460178375244141e+00,1.177222014632982372e+00,2.904559113085269928e-02
7.273700237274169922e+00,1.343970271477882505e+00,1.333818025887012482e-02
7.303939819335937500e+00,1.486456036845391626e+00,2.309734001755714417e-02
7.334189891815185547e+00,1.701427917228239828e+00,7.779675070196390152e-03
7.364429950714111328e+00,2.019120665914282409e+00,3.196868300437927246e-02
7.394670009613037109e+00,2.405249140643306305e+00,1.807582378387451172e-02
7.424910068511962891e+00,2.855273797292857019e+00,0.000000000000000000e+00
7.455150127410888672e+00,3.442854001500002870e+00,2.130293101072311401e-02
7.485400199890136719e+00,3.999985906836659666e+00,3.518082201480865479e-02
7.515639781951904297e+00,4.554257455713482727e+00,1.373173668980598450e-02
7.545879840850830078e+00,5.045052931977924260e+00,3.865233436226844788e-02
7.576119899749755859e+00,5.527935991978611519e+00,3.690446540713310242e-02
7.636600017547607422e+00,5.906080864250170315e+00,9.265951067209243774e-02
7.697090148925781250e+00,6.006495422994136746e+00,8.367844671010971069e-02
7.757569789886474609e+00,6.250607297593708367e+00,1.929378509521484375e-02
7.818049907684326172e+00,6.508269988580023480e+00,2.233839035034179688e-02
7.878540039062500000e+00,6.273750076699412759e+00,4.045057296752929688e-02
7.939020156860351562e+00,5.668603029393117332e+00,6.619119644165039062e-02
7.999509811401367188e+00,4.977619301272326879e+00,4.175806045532226562e-02
8.059989929199218750e+00,4.274447688822303526e+00,4.488992691040039062e-02
8.120470046997070312e+00,3.569850042746593566e+00,3.904581069946289062e-02
8.180959701538085938e+00,2.965692373389217984e+00,2.013254165649414062e-02
8.241439819335937500e+00,2.554180593780849939e+00,4.156589508056640625e-02
8.301919937133789062e+00,2.363371344742698277e+00,4.919052124023437500e-02
8.362409591674804688e+00,2.330087758440874346e+00,7.004427909851074219e-02
8.422889709472656250e+00,2.301033420304618993e+00,4.258883744478225708e-02
8.483369827270507812e+00,2.570427700127843273e+00,3.316605091094970703e-02
8.543860435485839844e+00,3.047391028879496311e+00,5.223581939935684204e-02
8.604339599609375000e+00,3.365060458835825052e+00,6.324302405118942261e-02
8.664830207824707031e+00,3.161664711654492699e+00,4.974623769521713257e-02
8.725310325622558594e+00,2.406834330008774003e+00,7.266284897923469543e-03
8.785790443420410156e+00,1.535443853342416176e+00,2.263834513723850250e-02
8.846280097961425781e+00,8.313960279672922837e-01,3.709338605403900146e-02
8.906760215759277344e+00,4.087262217574956225e-01,1.883668825030326843e-02
8.967240333557128906e+00,1.672841597778944589e-01,3.792867809534072876e-02
9.027729988098144531e+00,5.080710783067132752e-02,3.285938873887062073e-02
9.088210105895996094e+00,0.000000000000000000e+00,4.285327717661857605e-02
9.148690223693847656e+00,7.882811456222604818e-03,3.945976123213768005e-02
9.209179878234863281e+00,2.567407460049508927e-02,3.364110365509986877e-02
9.269659996032714844e+00,3.367048421555463023e-02,2.109639905393123627e-02
9.330149650573730469e+00,1.203502826702429473e-02,2.581285499036312103e-02
9.390629768371582031e+00,8.881784197001252323e-16,2.403560280799865723e-02
9.451109886169433594e+00,-1.046237306872388473e-02,2.867156639695167542e-02
9.511599540710449219e+00,8.881784197001252323e-16,2.855082787573337555e-02
9.572079658508300781e+00,8.089141263358357037e-03,1.829793117940425873e-02
9.632559776306152344e+00,1.145199850670497455e-02,2.867897413671016693e-02
9.693050384521484375e+00,4.049596525082144183e-02,4.086565971374511719e-02
9.753529548645019531e+00,5.323472093845893482e-02,2.993302419781684875e-02
9.814009666442871094e+00,3.263741678990594863e-02,3.481392189860343933e-02
9.874500274658203125e+00,-8.881784197001252323e-16,2.876539155840873718e-02
9.934980392456054688e+00,7.145163751280492193e-03,2.697554789483547211e-02
9.995470046997070312e+00,6.900460745011827157e-03,5.131756421178579330e-03
1.005595016479492188e+01,3.281344337262748212e-02,3.424800559878349304e-02
1.011643028259277344e+01,9.564154297830729234e-02,9.108275175094604492e-02
1.017691993713378906e+01,5.077571225806298827e-02,3.558946400880813599e-02
1.023740005493164062e+01,1.194518921526910304e-02,0.000000000000000000e+00
1.029788017272949219e+01,0.000000000000000000e+00,9.954630397260189056e-03
1.035836982727050781e+01,-3.609175369130657174e-02,0.000000000000000000e+00
1.041884994506835938e+01,-5.293932167543768941e-02,8.285525254905223846e-03
1.047933006286621094e+01,-2.916491261117570843e-02,8.950698189437389374e-03
1.053981971740722656e+01,2.433671269505577328e-02,1.366320345550775528e-02
1.060029983520507812e+01,1.115608851008405011e-01,1.408220734447240829e-02
1.066079044342041016e+01,8.370905872053135965e-02,1.309333741664886475e-02
1.072126960754394531e+01,-8.881784197001252323e-16,0.000000000000000000e+00
1.078174972534179688e+01,-5.838601718830016551e-02,2.639704011380672455e-02
1.084224033355712891e+01,-7.714935330785976930e-02,3.726251795887947083e-02
1.090272045135498047e+01,6.504472245439352207e-02,3.812595829367637634e-02
1.096319961547851562e+01,4.711398513862192772e-01,5.147706717252731323e-02
1.102369022369384766e+01,1.017725732481124190e+00,2.754442766308784485e-02
1.108417034149169922e+01,1.492463298300377161e+00,1.266465336084365845e-01
1.114465045928955078e+01,3.271390552799630314e+00,9.541353583335876465e-02
1.120514011383056641e+01,6.485777953171310450e+00,1.393035799264907837e-01
1.126562023162841797e+01,6.797943334160289730e+00,8.288487792015075684e-02
1.132610988616943359e+01,4.763095757703897704e+00,1.213854029774665833e-01
1.138659000396728516e+01,2.924639039457582079e+00,4.215872287750244141e-02
1.144707012176513672e+01,1.806691386015879530e+00,1.963617838919162750e-02
1.150755977630615234e+01,1.121859359300911407e+00,0.000000000000000000e+00
1.156803989410400391e+01,6.725098367198771854e-01,2.437436208128929138e-02
1.162852001190185547e+01,3.127450721657831778e-01,3.141744062304496765e-02
1.168900966644287109e+01,6.932122430668918867e-02,4.185700044035911560e-02
1.174948978424072266e+01,0.000000000000000000e+00,2.497854828834533691e-02
1.180996990203857422e+01,-5.075302943590820348e-03,3.271050378680229187e-02
1.187045955657958984e+01,1.951291021335510578e-02,2.192156761884689331e-02
1.193093967437744141e+01,1.325539840543461523e-01,3.549391031265258789e-02
1.199143028259277344e+01,1.749851926626391219e-01,4.357450082898139954e-02
1.205191040039062500e+01,1.206771796442538403e-01,4.988178983330726624e-02
1.211238956451416016e+01,2.650691802255966678e-02,2.273883670568466187e-02
1.217288017272949219e+01,-2.084771785273531464e-02,2.293438836932182312e-02
1.223336029052734375e+01,0.000000000000000000e+00,2.774146012961864471e-02
1.229384040832519531e+01,1.291386139205723538e-01,3.071523271501064301e-02
1.235433006286621094e+01,3.155057012866455679e-01,1.729400083422660828e-02
1.241481018066406250e+01,4.724254246338297492e-01,1.093584671616554260e-02
1.247529029846191406e+01,6.342429281805239683e-01,0.000000000000000000e+00
1.253577995300292969e+01,9.294848177956280821e-01,0.000000000000000000e+00
1.259626007080078125e+01,1.278259332232519974e+00,9.797595441341400146e-03
1.265674972534179688e+01,1.529278179549146799e+00,0.000000000000000000e+00
1.271722984313964844e+01,1.610751660478120684e+00,2.326845750212669373e-02
1.277770996093750000e+01,1.507479167059715408e+00,2.086948975920677185e-02
1.283819961547851562e+01,1.090709260791447477e+00,0.000000000000000000e+00
1.289867973327636719e+01,5.220833562149422846e-01,1.899619027972221375e-02
1.295915985107421875e+01,1.491107017787056677e-01,1.903915219008922577e-02
1.301965045928955078e+01,-8.881784197001252323e-16,7.815903984010219574e-03
1.308012962341308594e+01,-5.509306184091489200e-02,1.201508566737174988e-02
1.314060974121093750e+01,-7.658847313523242661e-02,2.717011235654354095e-02
1.320110034942626953e+01,-7.801058321128540030e-02,2.591384015977382660e-02
1.326158046722412109e+01,-7.290433991353761911e-02,3.140484914183616638e-02
1.332205963134765625e+01,-7.029227784915548227e-02,4.039974510669708252e-02
1.338255023956298828e+01,-3.845013811879738341e-02,3.129028156399726868e-02
1.344303035736083984e+01,-8.881784197001252323e-16,3.279939293861389160e-02
1.350352001190185547e+01,8.794117392907363495e-02,2.852267958223819733e-02
1.356400012969970703e+01,1.354535717358924529e-01,2.818293310701847076e-02
1.362448024749755859e+01,8.436338949602273374e-02,3.352258726954460144e-02
1.368496990203857422e+01,1.119507350848980565e-02,9.115139022469520569e-03
1.374545001983642578e+01,-4.665545586676334011e-02,1.049758307635784149e-02
1.380593013763427734e+01,0.000000000000000000e+00,1.254742126911878586e-02
1.386641979217529297e+01,5.231118931338407663e-02,8.367251604795455933e-03
