# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.903109999999999857e+00,2.066324904216685354e+01,4.756099999999999772e-01

4.908019999999999605e+00,1.986615760173840073e+01,9.868069999999999897e-01
4.912930000000000241e+00,1.774908839218403145e+01,1.898609999999999909e+00
4.917839999999999989e+00,1.755621088474114089e+01,2.431869999999999976e+00
4.922760000000000247e+00,1.755616951809262360e+01,1.332840000000000025e+00
4.927690000000000126e+00,1.887541336734062725e+01,1.228329999999999922e+00
4.932620000000000005e+00,1.887737649208001045e+01,1.145389999999999908e+00
4.937549999999999883e+00,2.055336798896609452e+01,1.176649999999999974e+00
4.942490000000000272e+00,1.828577111739905092e+01,1.635780000000000012e+00
4.947440000000000282e+00,1.552767394373859133e+01,1.052910000000000013e+00
4.952390000000000292e+00,1.522591074376877884e+01,6.989579999999999682e-01
4.957340000000000302e+00,1.725410023651150127e+01,1.069600000000000106e+00
4.962299999999999933e+00,1.627559364787902751e+01,9.486109999999999820e-01
4.967270000000000074e+00,1.393106802325752014e+01,8.942639999999999478e-01
4.972240000000000215e+00,1.334582869965212559e+01,1.416390000000000038e+00
4.977210000000000356e+00,1.531538401538734817e+01,1.800240000000000062e+00
4.982190000000000119e+00,1.224791229640808510e+01,1.481950000000000101e+00
4.987180000000000391e+00,1.336643955484649915e+01,1.614489999999999981e+00
4.992169999999999774e+00,1.511042304619786236e+01,1.840060000000000029e+00
4.997160000000000046e+00,1.345260072501281812e+01,1.752760000000000096e+00
5.002159999999999940e+00,1.242389713846564980e+01,1.244990000000000041e+00
5.007159999999999833e+00,1.208945163853839588e+01,8.785960000000000436e-01
5.012170000000000236e+00,1.090763654069677813e+01,1.447470000000000034e+00
5.017190000000000261e+00,1.089459628425156801e+01,1.557879999999999932e+00
5.022210000000000285e+00,1.095275264567499107e+01,1.579039999999999999e+00
5.027230000000000310e+00,1.063484299806196631e+01,1.661650000000000071e+00
5.032259999999999955e+00,1.289580453694610718e+01,1.939149999999999929e+00
5.037300000000000111e+00,1.258543063746681945e+01,1.529679999999999929e+00
5.042340000000000266e+00,1.080151719136303079e+01,8.904290000000000260e-01
5.047380000000000422e+00,1.049983118021098605e+01,9.543490000000000029e-01
5.052430000000000199e+00,1.021795376978348457e+01,9.399469999999999770e-01
5.057489999999999597e+00,9.492077258594889599e+00,7.724370000000000402e-01
5.062549999999999883e+00,9.202062554138892736e+00,7.172089999999999854e-01
5.067610000000000170e+00,8.219666243353435320e+00,1.430150000000000032e+00
5.072680000000000078e+00,7.665862539924718888e+00,1.306890000000000107e+00
5.077759999999999607e+00,7.635322653238611146e+00,6.503430000000000044e-01
5.082840000000000025e+00,8.186173419491989733e+00,9.262930000000000330e-01
5.087920000000000442e+00,1.026095102785236968e+01,1.503069999999999906e+00
5.093009999999999593e+00,9.987801805046874648e+00,1.564289999999999958e+00
5.098110000000000142e+00,7.743515858779905336e+00,1.581879999999999953e+00
5.103209999999999802e+00,7.849886879409470275e+00,1.612919999999999909e+00
5.108319999999999972e+00,8.179884572168063528e+00,9.434299999999999908e-01
5.113430000000000142e+00,7.154686397664653974e+00,1.016000000000000014e+00
5.118540000000000312e+00,5.482877942511438008e+00,9.114149999999999752e-01
5.123660000000000103e+00,7.554691930012594092e+00,1.319239999999999968e+00
5.128790000000000404e+00,7.857476791507474800e+00,1.867899999999999894e+00
5.133919999999999817e+00,5.278358253780006670e+00,1.192539999999999933e+00
5.139059999999999739e+00,7.031051334548902965e+00,8.409900000000000153e-01
5.144199999999999662e+00,6.559486244346720341e+00,5.706769999999999898e-01
5.149350000000000094e+00,4.679522623758517241e+00,1.095059999999999922e+00
5.154499999999999638e+00,5.962585408150749444e+00,1.020599999999999952e+00
5.159650000000000070e+00,6.848729369650923715e+00,1.186420000000000030e+00
5.164819999999999744e+00,6.580162147531068761e+00,1.359050000000000091e+00
5.169979999999999798e+00,6.955010571910285933e+00,1.383000000000000007e+00
5.175159999999999982e+00,6.872919744788927865e+00,1.363450000000000051e+00
5.180329999999999657e+00,6.576673284386354901e+00,8.641950000000000465e-01
5.185520000000000351e+00,4.882158346218193223e+00,6.391480000000000494e-01
5.190710000000000157e+00,4.285537585160349217e+00,4.781139999999999834e-01
5.195899999999999963e+00,3.628874946104751587e+00,1.089590000000000058e+00
