# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.901510000000000034e+00,-1.700184287349672729e+01,1.989120000000000055e-01
4.904270000000000351e+00,-1.639977129219017371e+01,3.041780000000000039e-01
4.907160000000000188e+00,-1.621954249562757866e+01,3.336830000000000074e-01
4.909180000000000099e+00,-1.612201902500372697e+01,3.420569999999999999e-01
4.911520000000000330e+00,-1.618706613462638089e+01,3.389849999999999808e-01
4.913549999999999862e+00,-1.630142491709678865e+01,3.126019999999999910e-01
4.916310000000000180e+00,-1.633811397855575365e+01,3.269509999999999916e-01
4.918330000000000091e+00,-1.657033400452981553e+01,3.942089999999999761e-01
4.921949999999999825e+00,-1.667331902078545980e+01,3.404420000000000224e-01
4.923969999999999736e+00,-1.676689841138372472e+01,2.733149999999999746e-01
4.926309999999999967e+00,-1.644256848285124661e+01,2.515979999999999883e-01
4.928329999999999878e+00,-1.626511215086476270e+01,2.260320000000000107e-01
4.931199999999999584e+00,-1.553955980785637969e+01,2.701080000000000148e-01
4.933110000000000106e+00,-1.513562926318296320e+01,2.979700000000000126e-01
4.936139999999999972e+00,-1.482606911946847639e+01,2.888339999999999796e-01
4.938170000000000393e+00,-1.464539246499690606e+01,2.273340000000000083e-01
4.941200000000000259e+00,-1.499119671294853262e+01,2.104900000000000104e-01
4.943529999999999980e+00,-1.496560811627400867e+01,2.284819999999999907e-01
4.945969999999999978e+00,-1.445725185634121424e+01,2.851580000000000226e-01
4.947989999999999888e+00,-1.418784641094964449e+01,2.845249999999999724e-01
4.951190000000000424e+00,-1.358070110864745317e+01,2.693090000000000206e-01
4.953199999999999825e+00,-1.327395268600099065e+01,1.746060000000000112e-01
4.955960000000000143e+00,-1.324593872711165332e+01,3.062900000000000067e-01
4.957980000000000054e+00,-1.303686457795647868e+01,3.334690000000000154e-01
4.961000000000000298e+00,-1.263505458299604101e+01,3.775209999999999955e-01
4.962749999999999773e+00,-1.257152665645571332e+01,4.386289999999999911e-01
4.965939999999999799e+00,-1.217119267963755824e+01,3.014709999999999890e-01
4.968379999999999797e+00,-1.192777973239459222e+01,3.128989999999999827e-01
4.970810000000000173e+00,-1.187324473707509220e+01,2.903149999999999897e-01
4.972719999999999807e+00,-1.135696710743724225e+01,1.852169999999999928e-01
4.975749999999999673e+00,-1.110874720757659340e+01,2.277280000000000137e-01
4.977759999999999962e+00,-1.132528653724419598e+01,2.988149999999999973e-01
4.980780000000000207e+00,-1.176966541091389296e+01,4.650520000000000209e-01
4.984119999999999884e+00,-1.178550908677729581e+01,3.939799999999999969e-01
4.986139999999999795e+00,-1.159411629100822516e+01,4.768780000000000241e-01
4.987560000000000215e+00,-1.093397354778236874e+01,4.524599999999999733e-01
4.990479999999999805e+00,-9.633872873752279631e+00,4.423650000000000082e-01
4.993500000000000050e+00,-8.324855249138526148e+00,6.293919999999999515e-01
4.995510000000000339e+00,-8.478242360822569879e+00,7.121159999999999712e-01
4.997840000000000060e+00,-8.619315453960227913e+00,7.708199999999999497e-01
5.000539999999999985e+00,-9.980972799786385963e+00,9.291629999999999612e-01
5.003459999999999575e+00,-1.094988180720185156e+01,7.399670000000000414e-01
5.005469999999999864e+00,-1.120654221714318588e+01,5.938510000000000177e-01
5.007900000000000240e+00,-1.133787481084393356e+01,4.746299999999999963e-01
5.010220000000000340e+00,-1.076522106048255445e+01,4.527019999999999933e-01
5.013239999999999696e+00,-1.079083144031633523e+01,2.362680000000000058e-01
5.015249999999999986e+00,-1.059741846836810275e+01,2.811960000000000015e-01
5.018270000000000231e+00,-1.071845758165184748e+01,2.316860000000000031e-01
5.020590000000000330e+00,-1.038485105218323667e+01,3.188650000000000095e-01
5.023019999999999818e+00,-1.023539433826397271e+01,3.139540000000000108e-01
5.025610000000000355e+00,-1.049086082371467299e+01,3.245029999999999859e-01
5.027940000000000076e+00,-1.027617795885575624e+01,3.787019999999999831e-01
5.030630000000000379e+00,-1.053017784650427302e+01,2.836710000000000065e-01
5.032960000000000100e+00,-1.040753799998538653e+01,3.719750000000000001e-01
5.035969999999999835e+00,-1.012124993965866970e+01,3.103239999999999887e-01
5.038289999999999935e+00,-9.762744016727006979e+00,3.419039999999999857e-01
5.040879999999999583e+00,-9.059056730069860564e+00,3.682739999999999903e-01
5.043309999999999960e+00,-8.921538725422589522e+00,2.794860000000000122e-01
5.045630000000000059e+00,-8.566152385004887293e+00,2.879789999999999850e-01
5.048320000000000363e+00,-8.666972727931689491e+00,2.862640000000000184e-01
5.050639999999999574e+00,-8.915620247438452495e+00,2.321620000000000072e-01
5.053650000000000198e+00,-8.780342909419214692e+00,2.319249999999999923e-01
5.055970000000000297e+00,-8.852618663658365250e+00,3.087929999999999842e-01
5.058659999999999712e+00,-8.323789026623749976e+00,4.019090000000000162e-01
5.060979999999999812e+00,-8.289581285294747914e+00,3.790919999999999845e-01
5.063299999999999912e+00,-8.224681745868172911e+00,4.038649999999999740e-01
5.065990000000000215e+00,-7.911206303551781893e+00,3.996100000000000207e-01
5.068310000000000315e+00,-8.186248838599553324e+00,3.246660000000000101e-01
5.071310000000000429e+00,-7.812813482390382980e+00,4.642180000000000195e-01
5.073629999999999640e+00,-7.712701401262225254e+00,4.442139999999999977e-01
5.076319999999999943e+00,-7.900303450826442919e+00,4.598490000000000077e-01
5.078219999999999956e+00,-7.883932386916814750e+00,4.488989999999999925e-01
5.081050000000000288e+00,-8.488673359091681192e+00,3.970319999999999960e-01
5.083639999999999937e+00,-8.372382445273652607e+00,4.423039999999999750e-01
5.085950000000000415e+00,-8.346168245221290860e+00,3.012699999999999823e-01
5.088949999999999640e+00,-7.701675146791666648e+00,3.002090000000000036e-01
5.090539999999999843e+00,-7.431815398423534447e+00,3.087710000000000177e-01
5.093950000000000422e+00,-7.222526325099242861e+00,1.959490000000000121e-01
5.096269999999999634e+00,-7.021415570026241504e+00,2.199659999999999949e-01
5.099269999999999747e+00,-6.788331669478145258e+00,2.569879999999999942e-01
5.101259999999999906e+00,-6.773771820688947898e+00,2.565810000000000035e-01
5.104160000000000252e+00,-6.502747837031768618e+00,3.339860000000000051e-01
5.106569999999999609e+00,-6.668438869658642076e+00,5.185210000000000097e-01
5.109569999999999723e+00,-4.210014059797829944e+00,1.361760000000000081e+00
5.111880000000000202e+00,-3.716462102970227388e+00,1.208509999999999973e+00
5.114559999999999995e+00,-3.523187676118700651e+00,1.078440000000000065e+00
5.116869999999999585e+00,-4.070409029262261669e+00,9.569729999999999626e-01
5.119180000000000064e+00,-5.196194307288585890e+00,6.093279999999999808e-01
5.121859999999999857e+00,-5.418400742753550325e+00,2.377589999999999981e-01
5.124170000000000336e+00,-5.719196078917097914e+00,3.571019999999999750e-01
5.127169999999999561e+00,-5.977129974142730617e+00,4.234229999999999938e-01
5.129579999999999806e+00,-5.766696069332686747e+00,5.338570000000000260e-01
5.132469999999999644e+00,-5.293970414433337268e+00,6.226239999999999553e-01
5.134459999999999802e+00,-4.963419826435524485e+00,5.506250000000000311e-01
5.137450000000000294e+00,-4.819575266832519134e+00,5.127859999999999641e-01
5.139759999999999884e+00,-5.274430904655600827e+00,5.345039999999999791e-01
5.142430000000000057e+00,-5.385208990913871396e+00,2.362140000000000073e-01
5.144319999999999560e+00,-5.281279837517959486e+00,3.154939999999999967e-01
5.147730000000000139e+00,-5.001417634374914378e+00,4.556250000000000022e-01
5.150129999999999875e+00,-4.934242462114453609e+00,4.479730000000000101e-01
5.153019999999999712e+00,-4.941679906558954727e+00,4.392010000000000081e-01
5.155009999999999870e+00,-4.998347171956605273e+00,4.024269999999999792e-01
5.157890000000000086e+00,-5.088491854599316966e+00,4.074340000000000184e-01
5.160720000000000418e+00,-4.841574693064124801e+00,3.567150000000000043e-01
5.163289999999999935e+00,-4.952525595122395430e+00,4.689309999999999867e-01
5.165849999999999831e+00,-4.469360293284600161e+00,4.330820000000000225e-01
5.168569999999999887e+00,-4.145849372694484281e+00,3.524889999999999968e-01
5.171140000000000292e+00,-3.757487740463907322e+00,3.837439999999999740e-01
5.173549999999999649e+00,-4.117080481590465801e+00,3.588379999999999903e-01
5.175849999999999618e+00,-4.144957669560081825e+00,3.870689999999999964e-01
5.178510000000000169e+00,-4.214049702923202467e+00,4.541680000000000161e-01
5.181230000000000224e+00,-3.961561079529897444e+00,5.292519999999999447e-01
5.184110000000000440e+00,-3.757345805359139757e+00,5.552599999999999758e-01
5.186359999999999637e+00,-3.973346060501719457e+00,5.014790000000000081e-01
5.189079999999999693e+00,-3.603617984870600033e+00,4.553090000000000193e-01
5.192050000000000054e+00,-3.985553434233887860e+00,3.845120000000000204e-01
5.194040000000000212e+00,-3.800304338681042893e+00,3.446190000000000087e-01
5.196340000000000181e+00,-3.369128179654430344e+00,2.898700000000000165e-01
5.199320000000000164e+00,-3.244907946494528073e+00,2.603570000000000051e-01
5.202289999999999637e+00,-3.376234449714321961e+00,1.868430000000000091e-01
5.204850000000000421e+00,-3.409512520547796743e+00,1.840380000000000071e-01
5.207569999999999588e+00,-3.856923438771617363e+00,2.729570000000000052e-01
5.210130000000000372e+00,-4.159435104962278196e+00,3.226879999999999749e-01
5.212259999999999671e+00,-4.722908712541550535e+00,3.977140000000000120e-01
5.214819999999999567e+00,-5.192042918199216928e+00,3.960089999999999999e-01
5.217789999999999928e+00,-4.909459943588253772e+00,4.001049999999999884e-01
5.220189999999999664e+00,-4.586146324857986123e+00,3.870700000000000252e-01
5.223469999999999835e+00,-3.899440832570500781e+00,2.860170000000000212e-01
5.225299999999999834e+00,-3.465273991328273517e+00,2.967790000000000150e-01
5.228010000000000268e+00,-3.084174052443240832e+00,2.751910000000000189e-01
5.230979999999999741e+00,-2.906495627278099292e+00,2.724090000000000122e-01
5.232960000000000278e+00,-2.586823715507597043e+00,2.513239999999999919e-01
5.235829999999999984e+00,-2.655658322567457041e+00,2.775560000000000249e-01
5.237610000000000099e+00,-2.674559831883642325e+00,1.117350000000000065e+00
5.237610000000000099e+00,-2.674559831883642325e+00,1.117350000000000065e+00
5.237610000000000099e+00,-2.674559831883642325e+00,1.117350000000000065e+00
5.238640000000000185e+00,-2.865127112983513857e+00,2.820199999999999929e-01
5.241109999999999935e+00,-1.253651616231066024e+00,9.889630000000000365e-01
5.241500000000000270e+00,-2.720721821445062361e+00,3.198480000000000212e-01
5.243739999999999846e+00,-2.620471435728347398e+00,2.922569999999999890e-01
5.244609999999999772e+00,-1.309688007866460779e+00,1.115450000000000053e+00
5.246450000000000280e+00,-2.076916848123230075e+00,3.148329999999999740e-01
5.246590000000000309e+00,-1.484478775269679529e+00,9.792790000000000106e-01
5.249100000000000321e+00,-1.697010801252123002e+00,9.202320000000000499e-01
5.249150000000000205e+00,-1.948721800370880386e+00,2.796179999999999777e-01
5.251079999999999970e+00,-2.391408184230769951e+00,6.979969999999999786e-01
5.251389999999999780e+00,-1.644433864874421225e+00,2.249019999999999908e-01
5.253589999999999982e+00,-2.615615538690497566e+00,6.795280000000000209e-01
5.254260000000000375e+00,-1.738651583964957448e+00,2.355450000000000044e-01
5.255569999999999631e+00,-2.739968776520047999e+00,6.862730000000000219e-01
5.257060000000000066e+00,-1.573412586136015756e+00,3.139319999999999888e-01
