# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,2.830938160879222648e-02,4.216011147946119308e-03
5.156760215759277344e+00,2.360446959394102082e-02,2.966257045045495033e-03
5.186999797821044922e+00,1.938467584544765684e-02,1.716523431241512299e-03
5.217249870300292969e+00,1.562392714712444383e-02,4.663575382437556982e-04
5.247489929199218750e+00,1.223913333326511962e-02,8.442632970400154591e-04
5.277729988098144531e+00,9.647073955773686690e-03,1.856333343312144279e-03
5.307970046997070312e+00,7.623843495837333804e-03,1.718653715215623379e-03
5.338210105895996094e+00,5.412032954387671971e-03,1.647551427595317364e-03
5.368460178375244141e+00,2.447632036781449347e-03,1.697298721410334110e-03
5.398700237274169922e+00,-2.602085213965210642e-18,9.280020458390936255e-05
5.428939819335937500e+00,1.734723475976807094e-18,1.374838175252079964e-03
5.459179878234863281e+00,-7.395012436659555155e-04,8.918264065869152546e-04
5.489419937133789062e+00,-1.443328465063436344e-03,4.323011380620300770e-04
5.519670009613037109e+00,-1.773742194638423461e-03,4.974366747774183750e-04
5.549910068511962891e+00,-1.849053733951555589e-03,9.288985747843980789e-04
5.580150127410888672e+00,-2.464525175719335312e-03,1.257236348465085030e-03
5.610390186309814453e+00,-2.410644837712380348e-03,1.032786094583570957e-03
5.640629768371582031e+00,-1.308306531197400702e-03,1.255035400390625000e-03
5.670879840850830078e+00,-1.776248122753208009e-03,1.999816624447703362e-03
5.701119899749755859e+00,-3.178056373157340381e-04,3.515520947985351086e-04
5.731359958648681641e+00,-4.756448591643203105e-04,1.202424289658665657e-03
5.761600017547607422e+00,1.046486745824547204e-04,1.416929997503757477e-03
5.791840076446533203e+00,5.376873419428267187e-04,3.506371285766363144e-05
5.822090148925781250e+00,6.666803552779071440e-04,1.162406522780656815e-03
5.852330207824707031e+00,-1.734723475976807094e-18,2.859549422282725573e-04
5.882569789886474609e+00,1.283296945596555660e-03,1.959250366780906916e-04
5.912809848785400391e+00,2.249913160909139398e-03,7.297707488760352135e-04
5.943049907684326172e+00,2.963861897538831378e-03,6.588599062524735928e-04
5.973299980163574219e+00,3.400431301716227289e-03,2.601421438157558441e-04
6.003540039062500000e+00,3.473044208389088755e-03,2.063084830297157168e-04
6.033780097961425781e+00,3.654786373625974055e-03,7.356889545917510986e-05
6.064020156860351562e+00,4.114932237828243175e-03,7.891018176451325417e-04
6.094260215759277344e+00,5.715516813234672658e-03,1.383160473778843880e-03
6.124509811401367188e+00,9.055050710024700744e-03,1.375308842398226261e-03
6.154749870300292969e+00,1.292941867236071726e-02,1.084590214304625988e-03
6.184989929199218750e+00,1.597948883381727220e-02,1.104917842894792557e-03
6.215229988098144531e+00,1.712065693704277469e-02,8.264050120487809181e-04
6.245470046997070312e+00,1.799492947464557263e-02,9.261146769858896732e-04
6.275720119476318359e+00,1.473659684443687570e-02,2.599551575258374214e-03
6.305960178375244141e+00,1.362945248487752725e-02,1.110301120206713676e-03
6.336200237274169922e+00,1.071011025857989199e-02,5.641336247208528221e-05
6.366439819335937500e+00,8.522500309996457885e-03,3.781997074838727713e-04
6.396679878234863281e+00,6.335602618352809134e-03,4.817196168005466461e-04
6.426929950714111328e+00,4.554084925598177874e-03,6.864609313197433949e-04
6.457170009613037109e+00,3.426859290922262824e-03,6.012767553329467773e-04
6.487410068511962891e+00,2.414597682963540853e-03,9.404020966030657291e-04
6.517650127410888672e+00,1.566631370383816252e-03,1.214863266795873642e-03
6.547890186309814453e+00,1.004558528344714347e-03,7.982432143762707710e-04
6.578139781951904297e+00,7.626483670292727446e-04,9.280379745177924633e-04
6.608379840850830078e+00,-8.459080556267005446e-04,1.823681523092091084e-03
6.638619899749755859e+00,-3.333195629441516872e-04,3.074356354773044586e-04
6.668859958648681641e+00,-3.203194547808860260e-04,6.819168338552117348e-04
6.699100017547607422e+00,-5.245111255324647059e-04,2.786032273434102535e-04
6.729350090026855469e+00,6.938893903907228378e-18,8.139426936395466328e-04
6.759590148925781250e+00,1.485609696220122067e-03,3.986220399383455515e-04
6.789830207824707031e+00,5.299633952036808537e-03,8.029722957871854305e-04
6.820069789886474609e+00,1.164726126264403055e-02,8.066167938522994518e-04
6.850309848785400391e+00,1.774770127622889160e-02,1.469336915761232376e-03
6.880559921264648438e+00,2.030539287244453872e-02,2.618280239403247833e-03
6.910799980163574219e+00,2.059944344787116577e-02,2.816273132339119911e-03
6.941040039062500000e+00,1.933903676924127180e-02,3.357531270012259483e-03
6.971280097961425781e+00,1.526607035895555242e-02,3.766139270737767220e-03
7.001520156860351562e+00,1.031285485682343489e-02,2.495547058060765266e-03
7.031770229339599609e+00,5.413924317245598361e-03,1.085177296772599220e-03
7.062009811401367188e+00,1.683398972903100976e-03,5.738681647926568985e-04
7.092249870300292969e+00,-1.968402584959505486e-04,7.342991302721202374e-04
7.122489929199218750e+00,0.000000000000000000e+00,1.013097702525556087e-03
7.152729988098144531e+00,-1.142209885955300375e-04,1.638999674469232559e-03
7.182980060577392578e+00,-6.918849082582292920e-04,1.398275955580174923e-03
7.213220119476318359e+00,-9.109619056628728839e-04,3.576753369998186827e-04
7.243460178375244141e+00,5.466339404502085220e-04,1.989398617297410965e-03
7.273700237274169922e+00,-2.549048143610233019e-05,4.149031825363636017e-03
7.303939819335937500e+00,4.059872113902428248e-03,1.433684956282377243e-03
7.334189891815185547e+00,2.725902818483366685e-03,4.587777075357735157e-04
7.364429950714111328e+00,8.033867914999034965e-04,8.525603334419429302e-04
7.394670009613037109e+00,2.104955899562846455e-03,3.469371702522039413e-03
7.424910068511962891e+00,2.653675273809927293e-03,5.109846591949462891e-03
7.455150127410888672e+00,3.611949760621215033e-03,3.096264088526368141e-03
7.485400199890136719e+00,5.925490140199121680e-03,3.027039929293096066e-04
7.515639781951904297e+00,7.914057051500840434e-03,6.762699340470135212e-04
7.576119899749755859e+00,1.145003134391854582e-02,1.204487518407404423e-03
7.636600017547607422e+00,1.364824178288794043e-02,2.938344143331050873e-03
7.697090148925781250e+00,1.404181617985666986e-02,1.454361830838024616e-03
7.757569789886474609e+00,1.500797493049409875e-02,9.797398233786225319e-04
7.818049907684326172e+00,1.555079829506550437e-02,3.159038897138088942e-04
7.878540039062500000e+00,1.557548318063176757e-02,5.312427529133856297e-04
7.939020156860351562e+00,1.533531429999940299e-02,3.602783835958689451e-04
7.999509811401367188e+00,1.462506620237503940e-02,4.834188439417630434e-04
8.059989929199218750e+00,1.390016931724550459e-02,1.459037302993237972e-04
8.120470046997070312e+00,1.271111738748846587e-02,4.569666634779423475e-04
8.180959701538085938e+00,1.138603392359593264e-02,8.876688661985099316e-04
8.241439819335937500e+00,9.494575525050168163e-03,1.413083082297816873e-04
8.301919937133789062e+00,9.132275500074012176e-03,5.939152324572205544e-04
8.362409591674804688e+00,6.531160657068241226e-03,1.553750829771161079e-03
8.422889709472656250e+00,6.998730816714329728e-03,2.811918966472148895e-04
8.483369827270507812e+00,7.345535713779091647e-03,2.332930016564205289e-04
8.543860435485839844e+00,6.657068504375029949e-03,6.145069492049515247e-04
8.604339599609375000e+00,6.629999562572527760e-03,6.625396199524402618e-04
8.664830207824707031e+00,6.609962684576781156e-03,9.016766562126576900e-04
8.725310325622558594e+00,5.400209361236377181e-03,1.869618077762424946e-03
8.785790443420410156e+00,3.811366377294123087e-03,1.696221414022147655e-03
8.846280097961425781e+00,2.379490141882795173e-03,8.923737914301455021e-04
8.906760215759277344e+00,1.477032233865055444e-03,1.494513271609321237e-04
8.967240333557128906e+00,1.096505715030560157e-03,2.050242765108123422e-04
9.027729988098144531e+00,4.525606951844424186e-04,1.436486199963837862e-04
9.088210105895996094e+00,0.000000000000000000e+00,2.931549970526248217e-04
9.148690223693847656e+00,2.000532410868366417e-04,8.644727058708667755e-04
9.209179878234863281e+00,2.804969980678556629e-04,5.283635109663009644e-04
9.269659996032714844e+00,-2.170026564663196655e-04,5.906217847950756550e-04
9.330149650573730469e+00,0.000000000000000000e+00,1.402635127305984497e-03
9.390629768371582031e+00,1.307496955369261138e-03,1.781450584530830383e-03
9.451109886169433594e+00,1.875827591117790183e-03,1.710438868030905724e-03
9.511599540710449219e+00,1.294309483658134807e-03,1.374448067508637905e-03
9.572079658508300781e+00,5.376864039567663678e-04,1.249275170266628265e-03
9.632559776306152344e+00,-1.274288276217339089e-04,1.211319584399461746e-03
9.693050384521484375e+00,-4.098260773117007316e-04,1.168357674032449722e-03
9.753529548645019531e+00,0.000000000000000000e+00,1.237549236975610256e-03
9.814009666442871094e+00,5.404444407523661953e-04,1.455685938708484173e-03
9.874500274658203125e+00,4.365526761675592171e-04,1.161214546300470829e-03
9.934980392456054688e+00,7.654511880743619656e-04,2.129458298441022635e-04
9.995470046997070312e+00,2.068469099030925684e-03,8.895730134099721909e-04
1.005595016479492188e+01,2.657793576268052682e-03,9.577265591360628605e-04
1.011643028259277344e+01,2.422434089486932840e-03,4.458701587282121181e-04
1.017691993713378906e+01,1.620066244814422074e-03,3.357085515744984150e-04
1.023740005493164062e+01,5.264466991568295118e-05,5.511055351234972477e-04
1.029788017272949219e+01,-1.387778780781445676e-17,4.906445392407476902e-04
1.035836982727050781e+01,1.567646290897756201e-03,2.815435582306236029e-04
1.041884994506835938e+01,2.074757056290246759e-03,5.540093989111483097e-04
1.047933006286621094e+01,1.545411998697565625e-03,5.590652581304311752e-04
1.053981971740722656e+01,7.581808561849257000e-04,4.208271857351064682e-04
1.060029983520507812e+01,-2.775557561562891351e-17,7.420701440423727036e-04
1.066079044342041016e+01,2.324299167461574278e-04,2.801665687002241611e-04
1.072126960754394531e+01,9.364455001237281806e-04,5.861268145963549614e-04
1.078174972534179688e+01,1.008759630282324293e-03,5.708484095521271229e-04
1.084224033355712891e+01,-5.551115123125782702e-17,2.985894097946584225e-04
1.090272045135498047e+01,-1.056726320571910183e-03,3.020197618752717972e-04
1.096319961547851562e+01,5.556192496807832448e-04,5.349038401618599892e-04
1.102369022369384766e+01,4.866758515612912284e-03,8.748745312914252281e-04
1.108417034149169922e+01,1.012703921391008843e-02,3.998709144070744514e-04
1.114465045928955078e+01,1.864670266459844683e-02,2.690354362130165100e-03
1.120514011383056641e+01,3.207487726513727488e-02,3.005454083904623985e-03
1.126562023162841797e+01,4.607278240044931916e-02,2.102197380736470222e-03
1.132610988616943359e+01,5.208427655364303299e-02,2.582650398835539818e-03
1.138659000396728516e+01,5.305081162024463670e-02,1.083910581655800343e-03
1.144707012176513672e+01,4.621084256858026817e-02,4.409571120049804449e-04
1.150755977630615234e+01,3.729624955093308047e-02,1.299990690313279629e-03
1.156803989410400391e+01,2.804384965619710623e-02,1.179938553832471371e-03
1.162852001190185547e+01,1.799167931093703654e-02,6.334272329695522785e-04
1.168900966644287109e+01,9.091888441016826583e-03,3.827077744062989950e-04
1.174948978424072266e+01,4.083931852088024117e-03,1.003771089017391205e-03
1.180996990203857422e+01,2.775557561562891351e-17,3.715119673870503902e-04
1.187045955657958984e+01,2.754949613885671056e-04,1.742550055496394634e-03
1.193093967437744141e+01,1.337563305037953176e-03,1.062748255208134651e-03
1.199143028259277344e+01,4.697147208001073437e-03,3.896065463777631521e-04
1.205191040039062500e+01,5.782480838193659878e-03,3.938595764338970184e-04
