# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.902879999999999683e+00,1.047795788488881286e+01,7.503539999999999655e-01
4.907779999999999809e+00,1.017416991251306513e+01,5.218620000000000481e-01
4.912689999999999557e+00,9.566197394863351633e+00,5.045509999999999717e-01
4.917609999999999815e+00,1.032933915359718569e+01,8.096299999999999608e-01
4.922530000000000072e+00,9.911114954851456105e+00,8.777540000000000342e-01
4.927450000000000330e+00,9.319514123103992631e+00,5.562070000000000070e-01
4.932380000000000209e+00,8.316111076681085734e+00,3.630490000000000106e-01
4.937319999999999709e+00,7.802904284563457082e+00,4.007839999999999736e-01
4.942260000000000097e+00,7.643600916615501006e+00,3.114049999999999874e-01
4.947199999999999598e+00,7.979790166595854828e+00,7.041779999999999706e-01
4.952149999999999608e+00,7.472958414203212385e+00,8.135689999999999866e-01
4.957110000000000127e+00,6.646903771498713809e+00,4.811750000000000194e-01
4.962069999999999759e+00,6.659921109250745985e+00,5.075250000000000039e-01
4.967030000000000278e+00,6.784499489435880548e+00,4.069690000000000252e-01
4.972000000000000419e+00,7.597136948509700005e+00,5.394330000000000513e-01
4.976980000000000182e+00,7.755031237354820917e+00,4.870269999999999877e-01
4.981959999999999944e+00,7.456465229063461209e+00,4.177239999999999842e-01
4.986939999999999706e+00,7.391027852763237149e+00,3.894130000000000091e-01
4.991929999999999978e+00,6.778228492776804615e+00,5.512320000000000553e-01
4.996920000000000250e+00,5.736341254943205570e+00,5.228040000000000465e-01
5.001920000000000144e+00,6.247981077553689033e+00,4.163700000000000179e-01
5.006929999999999659e+00,5.763645161765602154e+00,6.317230000000000345e-01
5.011940000000000062e+00,5.716798961460881401e+00,9.257649999999999491e-01
5.016949999999999577e+00,5.899731204483749991e+00,6.603689999999999838e-01
5.021969999999999601e+00,5.041367705694931090e+00,5.388359999999999816e-01
5.026989999999999625e+00,4.471265501504760209e+00,4.459949999999999748e-01
5.032020000000000159e+00,4.862455722804263303e+00,3.877860000000000196e-01
5.037060000000000315e+00,5.317135011344980455e+00,5.905949999999999811e-01
5.042099999999999582e+00,5.491552103774779425e+00,6.072699999999999765e-01
5.047139999999999738e+00,6.294295524228850525e+00,6.886860000000000204e-01
5.052190000000000403e+00,6.291306799156600960e+00,6.753639999999999644e-01
5.057249999999999801e+00,5.060782191920729645e+00,5.858830000000000426e-01
5.062310000000000088e+00,4.911559689784226634e+00,5.144910000000000316e-01
5.067370000000000374e+00,4.143527679721849211e+00,8.960449999999999804e-01
5.072440000000000282e+00,4.941237757581518508e+00,7.932630000000000514e-01
5.077519999999999811e+00,4.092385803991405169e+00,4.514810000000000212e-01
5.082600000000000229e+00,3.858499379730119472e+00,4.498989999999999934e-01
5.087679999999999758e+00,4.780966733523840162e+00,5.879609999999999559e-01
5.092769999999999797e+00,4.897049200098052779e+00,5.394830000000000458e-01
5.097870000000000346e+00,4.055642272983298824e+00,5.936879999999999935e-01
5.102970000000000006e+00,3.713363413722866824e+00,6.200360000000000316e-01
5.108069999999999666e+00,4.295700731701053598e+00,9.270009999999999639e-01
5.113179999999999836e+00,4.383724965622370462e+00,9.035090000000000066e-01
5.118299999999999628e+00,3.361931217540039540e+00,6.639230000000000409e-01
5.123420000000000307e+00,3.823027181374961003e+00,6.766659999999999897e-01
5.128549999999999720e+00,3.964790395629513853e+00,7.915569999999999551e-01
5.133680000000000021e+00,3.132223793868263328e+00,4.810880000000000156e-01
5.138810000000000322e+00,2.993615274404355375e+00,3.475719999999999921e-01
5.143959999999999866e+00,3.790945361780330813e+00,5.513770000000000060e-01
5.149099999999999788e+00,3.681719616706764953e+00,5.616889999999999938e-01
5.154250000000000220e+00,3.625720656667212438e+00,4.622009999999999730e-01
5.159410000000000274e+00,3.420642787412091934e+00,5.317110000000000447e-01
5.164570000000000327e+00,4.406175175742689021e+00,8.608860000000000401e-01
5.169740000000000002e+00,4.799712630930891066e+00,6.199029999999999818e-01
5.174909999999999677e+00,2.567539901197463337e+00,6.089210000000000456e-01
5.180089999999999861e+00,1.576455896106502053e+00,7.083720000000000017e-01
5.185270000000000046e+00,1.951441032147641863e+00,9.351220000000000088e-01
5.190459999999999852e+00,2.773698230659711328e+00,5.156349999999999545e-01
5.195649999999999658e+00,3.130903663805156611e+00,3.097340000000000093e-01
5.200849999999999973e+00,3.871064175621839354e+00,3.698870000000000213e-01
5.206050000000000288e+00,3.117951781905453856e+00,4.680920000000000081e-01
5.211260000000000225e+00,2.370977159757721608e+00,4.780070000000000152e-01
5.216479999999999784e+00,2.438933459974542473e+00,6.314670000000000005e-01
