# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.247489929199218750e+00,-9.526781589269586042e-03,2.985446481034159660e-03

5.277729988098144531e+00,-1.955940294505988802e-03,4.318072460591793060e-03
5.307970046997070312e+00,-7.515956414154735532e-04,4.101245198398828506e-03
5.338210105895996094e+00,2.965249676803616286e-03,4.217865876853466034e-03
5.368460178375244141e+00,3.248815001875536568e-04,3.806741442531347275e-03
5.398700237274169922e+00,0.000000000000000000e+00,1.210546121001243591e-02
5.428939819335937500e+00,1.491472193712237854e-03,3.044284414499998093e-03
5.459179878234863281e+00,1.893605079922158763e-03,9.772553108632564545e-03
5.489419937133789062e+00,0.000000000000000000e+00,1.863115001469850540e-03
5.519670009613037109e+00,4.278698751439755088e-03,9.443296119570732117e-03
5.549910068511962891e+00,2.111091750195956407e-03,2.276292303577065468e-03
5.580150127410888672e+00,1.589794790506103561e-03,3.604246769100427628e-03
5.610390186309814453e+00,1.085508167915621297e-03,1.934212632477283478e-03
5.640629768371582031e+00,6.020852094944011135e-03,2.375946147367358208e-03
5.670879840850830078e+00,5.342336367337188058e-03,2.189344726502895355e-03
5.701119899749755859e+00,4.860958077294443708e-03,1.716144732199609280e-03
5.731359958648681641e+00,6.404687667123716566e-03,2.473559696227312088e-03
5.761600017547607422e+00,4.804123039935367934e-03,2.531738951802253723e-03
5.791840076446533203e+00,4.487305143025411419e-03,2.320270519703626633e-03
5.822090148925781250e+00,2.130251206557718519e-03,1.809470239095389843e-03
5.852330207824707031e+00,0.000000000000000000e+00,2.923000836744904518e-03
5.882569789886474609e+00,4.183109471414998143e-03,2.622416708618402481e-03
5.912809848785400391e+00,3.036027808977485865e-03,1.845735241658985615e-03
5.943049907684326172e+00,2.852338625061272975e-03,3.389798570424318314e-03
5.973299980163574219e+00,3.878334478260955787e-03,3.836429212242364883e-03
6.003540039062500000e+00,4.164155129630288388e-03,4.332030657678842545e-03
6.033780097961425781e+00,2.716297341711328833e-03,2.200180198997259140e-03
6.064020156860351562e+00,3.846738256000570289e-03,3.332717344164848328e-03
6.094260215759277344e+00,4.970074438456824339e-03,4.434337373822927475e-03
6.124509811401367188e+00,1.076787712930250829e-02,5.047479644417762756e-03
6.154749870300292969e+00,1.434374432025553245e-02,5.573433358222246170e-03
6.184989929199218750e+00,2.190604980696287535e-02,3.559242701157927513e-03
6.215229988098144531e+00,3.129745208770871867e-02,2.346181077882647514e-03
6.245470046997070312e+00,3.508633806827940460e-02,2.387154381722211838e-03
6.275720119476318359e+00,2.880192528852006106e-02,3.090401180088520050e-03
6.305960178375244141e+00,1.908419211550860944e-02,6.983455270528793335e-03
6.336200237274169922e+00,1.594260781207306604e-02,5.281781312078237534e-03
6.366439819335937500e+00,1.314567444596568754e-02,2.665762556716799736e-03
6.396679878234863281e+00,1.179879982484458717e-02,1.088238134980201721e-02
6.426929950714111328e+00,8.860960038800148181e-03,3.496562363579869270e-03
6.457170009613037109e+00,5.803809315860920803e-03,2.304391469806432724e-03
6.487410068511962891e+00,8.415087001547728873e-03,2.626229310408234596e-03
6.517650127410888672e+00,8.651090591222720255e-03,5.819996353238821030e-03
6.547890186309814453e+00,7.421649784279952394e-03,3.803001716732978821e-03
6.578139781951904297e+00,7.927961521750771789e-03,3.107558935880661011e-03
6.608379840850830078e+00,6.623532587699224039e-03,3.480890532955527306e-03
6.638619899749755859e+00,8.344359038753294822e-03,2.394226845353841782e-03
6.668859958648681641e+00,3.936037479853254223e-03,3.214612137526273727e-03
6.699100017547607422e+00,1.925455842819803060e-03,3.480605315417051315e-03
6.729350090026855469e+00,2.358952520743418102e-03,2.878121798858046532e-03
6.759590148925781250e+00,2.976064732323736861e-03,2.765910001471638680e-03
6.789830207824707031e+00,4.579516273121066183e-03,2.904810942709445953e-03
6.820069789886474609e+00,3.607817396735553406e-03,2.795430598780512810e-03
6.850309848785400391e+00,3.469446951953614189e-18,2.980008721351623535e-03
6.880559921264648438e+00,8.475234792393315786e-04,4.548016004264354706e-03
