# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,8.185654926867172096e-03,4.413365386426448822e-03

5.156760215759277344e+00,7.900729866128060330e-03,4.029646515846252441e-03
5.186999797821044922e+00,7.720325558288127638e-03,3.645933698862791061e-03
5.217249870300292969e+00,7.638756410802587278e-03,3.262088866904377937e-03
5.247489929199218750e+00,7.955485256121396648e-03,3.183453576639294624e-03
5.277729988098144531e+00,7.186348604330042994e-03,2.004537498578429222e-03
5.307970046997070312e+00,5.368043481902015981e-03,1.128583608078770339e-04
5.338210105895996094e+00,2.417280902732802522e-03,1.682322355918586254e-03
5.368460178375244141e+00,9.135190723374032179e-04,1.688858144916594028e-03
5.398700237274169922e+00,1.734723475976807094e-18,1.215135329402983189e-03
5.428939819335937500e+00,2.015156179612441825e-03,1.386247109621763229e-03
5.459179878234863281e+00,1.734723475976807094e-18,2.885688794776797295e-03
5.489419937133789062e+00,2.596406575646352521e-03,5.514487624168395996e-03
5.519670009613037109e+00,2.003053577187031975e-05,2.068187342956662178e-03
5.549910068511962891e+00,1.237399790041605191e-03,9.174489969154819846e-05
5.580150127410888672e+00,2.344323671091648117e-03,1.665908494032919407e-03
5.610390186309814453e+00,1.594290283843790429e-03,9.012554655782878399e-04
5.640629768371582031e+00,2.374073554387519380e-03,1.954788749571889639e-04
5.670879840850830078e+00,1.955008391572782278e-03,6.754017085768282413e-04
5.701119899749755859e+00,1.932882302944353980e-03,3.503129119053483009e-04
5.731359958648681641e+00,1.640870036381632951e-03,5.126238684169948101e-04
5.761600017547607422e+00,1.856247947789182312e-03,1.242555677890777588e-03
5.791840076446533203e+00,5.361954830716865461e-04,2.014701254665851593e-03
5.822090148925781250e+00,9.310869479213813860e-04,5.306403909344226122e-05
5.852330207824707031e+00,3.469446951953614189e-18,1.440416206605732441e-03
5.882569789886474609e+00,1.234430170061820431e-04,1.184376655146479607e-03
5.912809848785400391e+00,6.333797229519412542e-04,4.885395755991339684e-04
5.943049907684326172e+00,2.190986476958395324e-03,2.222569193691015244e-03
5.973299980163574219e+00,1.667976058446624110e-03,1.330634579062461853e-03
6.003540039062500000e+00,2.936523954454390434e-03,1.464730303268879652e-04
6.033780097961425781e+00,3.046044261671047165e-03,1.439189421944320202e-03
6.064020156860351562e+00,4.544012772426744146e-03,2.752562286332249641e-03
6.094260215759277344e+00,4.350941827546944696e-03,1.778339501470327377e-03
6.124509811401367188e+00,8.603404300168201319e-03,2.009833231568336487e-03
6.154749870300292969e+00,1.600170985302902527e-02,1.961572794243693352e-03
6.184989929199218750e+00,2.538865419341186647e-02,1.396491075865924358e-03
6.215229988098144531e+00,3.341475365982568557e-02,5.291480338200926781e-04
6.245470046997070312e+00,3.638827099518887609e-02,2.804497024044394493e-03
6.275720119476318359e+00,2.994777011486786031e-02,5.251107737421989441e-03
6.305960178375244141e+00,2.616965610084232702e-02,3.227113280445337296e-03
6.336200237274169922e+00,1.930610178369801186e-02,2.418103627860546112e-03
6.366439819335937500e+00,1.584412135634895996e-02,2.211674116551876068e-03
6.396679878234863281e+00,1.327451666296331281e-02,2.362798666581511497e-03
6.426929950714111328e+00,9.483987701800391384e-03,1.277524628676474094e-03
6.457170009613037109e+00,5.779439630032943281e-03,1.233813090948387980e-04
6.487410068511962891e+00,4.020400888944286599e-03,1.060591312125325203e-04
6.517650127410888672e+00,3.844251072544178915e-03,4.694859962910413742e-04
6.547890186309814453e+00,3.557167089009424799e-03,3.427069168537855148e-04
6.578139781951904297e+00,2.511515564736402362e-03,1.779391081072390079e-03
6.608379840850830078e+00,2.430492728152489068e-03,1.988463802263140678e-03
6.638619899749755859e+00,-4.548709482035673268e-06,2.883792330976575613e-04
6.668859958648681641e+00,1.447268857670047648e-03,1.984522677958011627e-03
6.699100017547607422e+00,-8.324005389539618216e-04,2.700932323932647705e-03
6.729350090026855469e+00,8.342628590071593520e-04,1.335696782916784286e-03
6.759590148925781250e+00,0.000000000000000000e+00,3.837734111584722996e-04
6.789830207824707031e+00,3.253114562852751912e-04,4.889131523668766022e-04
6.820069789886474609e+00,4.135753582394791072e-04,1.511994749307632446e-03
6.850309848785400391e+00,1.134406668375040339e-03,1.389306737110018730e-03
6.880559921264648438e+00,1.818261037762357313e-03,4.119458608329296112e-04
6.910799980163574219e+00,1.145750304413460652e-03,3.886124177370220423e-04
6.941040039062500000e+00,2.039037597882792374e-04,2.341578801861032844e-04
6.971280097961425781e+00,-4.976450005441529489e-05,4.298062704037874937e-04
7.001520156860351562e+00,-2.324168629253414720e-04,1.903820229927077889e-04
7.031770229339599609e+00,-1.621067625719452288e-04,8.159009739756584167e-04
7.062009811401367188e+00,0.000000000000000000e+00,1.206019776873290539e-03
7.092249870300292969e+00,1.873719817985369795e-04,2.151885273633524776e-04
7.122489929199218750e+00,5.503052774336186781e-04,3.102268965449184179e-04
7.152729988098144531e+00,2.809238236480438022e-03,3.968837554566562176e-04
7.182980060577392578e+00,5.590647375901855454e-03,1.130262971855700016e-03
7.213220119476318359e+00,5.321442523285355164e-03,1.595435664057731628e-03
7.243460178375244141e+00,4.734624993171121510e-03,1.854707254096865654e-03
7.273700237274169922e+00,6.117529186302768374e-03,2.464414108544588089e-03
7.303939819335937500e+00,6.361267685792627857e-03,2.147460589185357094e-03
7.334189891815185547e+00,6.667834774517412966e-03,5.717853200621902943e-04
7.364429950714111328e+00,8.574922773948473465e-03,3.003457095474004745e-04
7.394670009613037109e+00,1.037678161754569672e-02,2.142385113984346390e-03
7.424910068511962891e+00,1.424487427660935113e-02,3.421037923544645309e-03
7.455150127410888672e+00,1.960150751559347482e-02,3.221719758585095406e-03
