# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,1.916994870293944539e-03,3.964131698012351990e-03

5.156760215759277344e+00,1.720985771860856009e-03,2.620398066937923431e-03
5.186999797821044922e+00,1.437674282795414586e-03,1.276685157790780067e-03
5.217249870300292969e+00,9.208461970880606196e-04,2.179801522288471460e-04
5.247489929199218750e+00,8.128749347886196630e-04,1.038045505993068218e-03
5.277729988098144531e+00,7.315471168016706924e-04,1.088601769879460335e-03
5.307970046997070312e+00,6.573601225039350099e-04,8.324441150762140751e-04
5.338210105895996094e+00,8.673617379884035472e-19,2.125710598193109035e-04
5.368460178375244141e+00,2.792086324070290615e-04,4.749748914036899805e-04
5.398700237274169922e+00,2.929596835859905185e-04,8.235871209762990475e-04
5.428939819335937500e+00,1.005313434671549488e-03,1.042013405822217464e-03
5.459179878234863281e+00,2.293083215452042072e-03,3.170654235873371363e-04
5.489419937133789062e+00,2.070960446234671772e-03,2.103274164255708456e-04
5.519670009613037109e+00,7.005974905809004075e-04,5.273456918075680733e-04
5.549910068511962891e+00,-8.673617379884035472e-19,1.053869491443037987e-03
5.580150127410888672e+00,5.732058763798474066e-04,8.882298716343939304e-04
5.610390186309814453e+00,8.014262818546837377e-04,6.500619347207248211e-04
5.640629768371582031e+00,4.853480450515319788e-04,6.158725009299814701e-04
5.670879840850830078e+00,5.337751282825176427e-04,7.659173570573329926e-04
5.701119899749755859e+00,7.336250597654060679e-04,9.522539912723004818e-04
5.731359958648681641e+00,5.541007855239237639e-04,8.893755730241537094e-04
5.761600017547607422e+00,3.505989307333798322e-04,3.679081855807453394e-04
5.791840076446533203e+00,3.097865470808418287e-04,2.500491973478347063e-04
5.822090148925781250e+00,-1.734723475976807094e-18,3.269980952609330416e-04
5.852330207824707031e+00,-1.802262344340055389e-04,4.266796531737782061e-05
5.882569789886474609e+00,4.807113074501764144e-04,2.716796007007360458e-04
5.912809848785400391e+00,1.850628139816370282e-04,1.237623160704970360e-03
5.943049907684326172e+00,-4.032082033386813480e-04,1.424168818630278111e-03
5.973299980163574219e+00,-3.947236271186153195e-04,6.983886851230636239e-05
6.003540039062500000e+00,8.479717851549335716e-05,9.049202199093997478e-04
6.033780097961425781e+00,1.747832884413207111e-05,3.559877222869545221e-04
6.064020156860351562e+00,2.712815609332390465e-04,2.555714454501867294e-04
6.094260215759277344e+00,1.161280385498161816e-04,4.753308603540062904e-04
6.124509811401367188e+00,6.257546725532327908e-04,4.381999315228313208e-04
6.154749870300292969e+00,1.959090820614932046e-03,4.934351309202611446e-04
6.184989929199218750e+00,3.031309695826062828e-03,4.443765210453420877e-04
6.215229988098144531e+00,3.665112456858625467e-03,1.780049788067117333e-04
6.245470046997070312e+00,3.840238012271134788e-03,2.456517831888049841e-04
6.275720119476318359e+00,2.966629392157468098e-03,4.442503850441426039e-04
6.305960178375244141e+00,2.161019936238810571e-03,7.490622228942811489e-04
6.336200237274169922e+00,1.481957226618044535e-03,5.053100176155567169e-04
6.366439819335937500e+00,1.137115708884965659e-03,2.401081437710672617e-04
6.396679878234863281e+00,8.403044576128157472e-04,4.003040376119315624e-04
6.426929950714111328e+00,5.651211374787089986e-04,1.222047139890491962e-04
6.457170009613037109e+00,1.293405685398544419e-04,4.281908622942864895e-04
6.487410068511962891e+00,-4.949312535026950677e-05,1.982935791602358222e-04
6.517650127410888672e+00,-3.346685602832553258e-04,1.293263776460662484e-04
6.547890186309814453e+00,-7.128111815957738351e-04,4.060560022480785847e-04
6.578139781951904297e+00,0.000000000000000000e+00,8.130167843773961067e-04
6.608379840850830078e+00,9.100195700930593240e-04,4.585795395541936159e-04
6.638619899749755859e+00,6.855830744645820957e-04,5.357360350899398327e-04
6.668859958648681641e+00,5.996224084106726443e-04,8.518330287188291550e-04
6.699100017547607422e+00,7.757373164105230839e-04,5.577591364271938801e-04
6.729350090026855469e+00,8.640182494163498039e-04,3.389727789908647537e-04
6.759590148925781250e+00,1.528174955016815828e-03,7.087017875164747238e-04
6.789830207824707031e+00,2.025553823042848534e-03,8.548043551854789257e-04
6.820069789886474609e+00,1.767850269173067146e-03,5.152023513801395893e-04
6.850309848785400391e+00,1.215530830003913945e-03,2.999108692165464163e-04
6.880559921264648438e+00,9.855699557662564447e-04,2.890080213546752930e-04
6.910799980163574219e+00,8.459481032941831152e-04,4.690531568485312164e-05
6.941040039062500000e+00,1.035413058875764292e-03,8.185807382687926292e-05
6.971280097961425781e+00,8.924000319445683088e-04,1.737923157634213567e-04
7.001520156860351562e+00,6.777866458006730210e-04,4.978704600944183767e-05
7.031770229339599609e+00,6.757834863282390775e-04,3.575743176043033600e-04
7.062009811401367188e+00,3.240012355926573384e-04,2.019906678469851613e-04
7.092249870300292969e+00,-5.797874926924406758e-05,6.056270794942975044e-04
7.122489929199218750e+00,-1.734723475976807094e-18,1.889508857857435942e-04
7.152729988098144531e+00,3.914470939547776140e-04,3.338973619975149632e-04
7.182980060577392578e+00,2.090104971528613381e-04,5.047031445428729057e-04
7.213220119476318359e+00,6.969555881952051862e-04,1.040014787577092648e-03
7.243460178375244141e+00,2.102812261611608155e-03,1.426037633791565895e-03
7.273700237274169922e+00,3.060239789460149351e-03,1.010183827020227909e-03
7.303939819335937500e+00,3.485331987244068980e-03,5.870942259207367897e-04
7.334189891815185547e+00,3.789303308170587081e-03,6.312211626209318638e-04
7.364429950714111328e+00,3.766018426453339105e-03,7.348247454501688480e-04
7.394670009613037109e+00,3.570025751772695419e-03,9.493010002188384533e-04
7.424910068511962891e+00,2.473720968115874358e-03,2.266891067847609520e-03
7.455150127410888672e+00,2.956609627996549527e-03,2.016911748796701431e-03
7.485400199890136719e+00,3.791817851212523488e-03,3.025356563739478588e-04
7.515639781951904297e+00,3.141233910342718094e-03,4.905290552414953709e-05
7.576119899749755859e+00,4.336582500167919518e-03,5.428076256066560745e-04
7.636600017547607422e+00,2.862896233242370053e-03,2.233718696516007185e-04
7.697090148925781250e+00,3.139987773630354556e-03,1.084268951672129333e-04
7.757569789886474609e+00,3.608021635954489909e-03,5.578612908720970154e-04
7.818049907684326172e+00,3.512737083624949130e-03,5.716113373637199402e-04
7.878540039062500000e+00,3.120955661311194951e-03,5.647102370858192444e-04
7.939020156860351562e+00,2.665262595783139676e-03,4.231985658407211304e-04
7.999509811401367188e+00,2.098007048487879334e-03,4.625288420356810093e-05
8.059989929199218750e+00,1.227634160953672282e-03,4.547405114863067865e-05
8.120470046997070312e+00,6.988939678608634132e-04,3.837244585156440735e-04
8.180959701538085938e+00,1.013303480816921120e-04,4.590693861246109009e-04
8.241439819335937500e+00,6.938893903907228378e-18,3.636116161942481995e-04
8.301919937133789062e+00,3.816153774326910830e-04,6.347429007291793823e-04
8.362409591674804688e+00,1.446714653618105806e-04,2.706721425056457520e-04
8.422889709472656250e+00,7.489384456853785677e-04,6.477107526734471321e-04
8.483369827270507812e+00,1.209125174826655019e-03,3.495060373097658157e-04
8.543860435485839844e+00,1.635667234012722765e-03,2.166437334381043911e-04
8.604339599609375000e+00,1.741579225196285274e-03,1.048676786012947559e-04
8.664830207824707031e+00,1.624009578291306377e-03,2.821712987497448921e-04
8.725310325622558594e+00,1.392847778707358153e-03,6.333562196232378483e-04
8.785790443420410156e+00,7.178418421252275028e-04,7.629166939295828342e-04
8.846280097961425781e+00,-3.469446951953614189e-18,5.527677712962031364e-04
8.906760215759277344e+00,-1.154551270275069874e-04,7.775329140713438392e-05
8.967240333557128906e+00,7.571981924364354355e-05,2.555656537879258394e-04
9.027729988098144531e+00,6.642479362198999704e-05,4.628475871868431568e-04
9.088210105895996094e+00,0.000000000000000000e+00,7.549048750661313534e-04
9.148690223693847656e+00,8.291372015851311561e-05,3.865887410938739777e-04
9.209179878234863281e+00,-1.050857195234247699e-04,3.237343917135149240e-04
9.269659996032714844e+00,-3.002680758733763944e-04,7.825210341252386570e-04
9.330149650573730469e+00,-6.938893903907228378e-18,1.261754077859222889e-03
9.390629768371582031e+00,1.979624780639940851e-04,1.195976277813315392e-03
9.451109886169433594e+00,-6.587964356812026079e-06,4.499528440646827221e-04
9.511599540710449219e+00,-9.930766072143576428e-05,1.883052755147218704e-04
9.572079658508300781e+00,-1.971530709758348432e-04,8.923252607928588986e-05
9.632559776306152344e+00,-4.681995959028711907e-04,6.988375680521130562e-04
9.693050384521484375e+00,-4.867273710860015035e-04,9.003599407151341438e-04
9.753529548645019531e+00,6.938893903907228378e-18,4.839256580453366041e-04
9.814009666442871094e+00,2.085955832307057056e-04,1.921727962326258421e-04
9.874500274658203125e+00,-2.466055107377546074e-04,4.991458845324814320e-04
9.934980392456054688e+00,-3.721099066269772937e-04,7.141886744648218155e-04
9.995470046997070312e+00,4.236991452869626196e-05,5.759848281741142273e-04
1.005595016479492188e+01,4.632205053921659155e-04,4.789474478457123041e-04
1.011643028259277344e+01,5.448104553556001872e-04,2.930182381533086300e-04
1.017691993713378906e+01,2.096805021182743256e-04,1.289039064431563020e-04
1.023740005493164062e+01,-1.631942237182992805e-04,1.102801761589944363e-04
1.029788017272949219e+01,-1.387778780781445676e-17,1.757288264343515038e-04
1.035836982727050781e+01,7.670585283461248127e-04,1.449849223718047142e-04
1.041884994506835938e+01,1.355308544443829810e-03,1.975476916413754225e-04
1.047933006286621094e+01,1.330328469605235320e-03,1.362006587442010641e-04
1.053981971740722656e+01,8.688442530706275146e-04,1.341742899967357516e-04
1.060029983520507812e+01,1.387778780781445676e-17,3.621875948738306761e-04
1.066079044342041016e+01,-8.565877279273076406e-04,1.389236713293939829e-04
1.072126960754394531e+01,-9.996625989258656197e-04,6.433116504922509193e-04
1.078174972534179688e+01,-4.075539392806165617e-04,8.254427229985594749e-04
1.084224033355712891e+01,-1.387778780781445676e-17,6.039025029167532921e-04
1.090272045135498047e+01,2.249218658498253198e-05,2.854676276911050081e-04
1.096319961547851562e+01,1.117917233308118874e-04,2.670303802005946636e-04
1.102369022369384766e+01,-1.573157860875196157e-04,6.136209121905267239e-04
1.108417034149169922e+01,-3.977158319826146204e-04,9.275933261960744858e-04
1.114465045928955078e+01,1.835722988782484411e-04,7.809165981598198414e-04
1.120514011383056641e+01,1.067344380421705874e-03,4.807681543752551079e-04
1.126562023162841797e+01,1.368396861950851862e-03,2.759197668638080359e-04
1.132610988616943359e+01,1.013769434533129399e-03,1.611711923032999039e-04
1.138659000396728516e+01,6.541803570343507346e-04,2.357772464165464044e-04
1.144707012176513672e+01,3.258067038415107808e-04,1.595975627424195409e-04
1.150755977630615234e+01,-1.314486987448182376e-04,3.828303306363523006e-04
1.156803989410400391e+01,-4.764727581881567087e-04,7.404760690405964851e-04
1.162852001190185547e+01,-6.938463171396319629e-04,7.087701815180480480e-04
1.168900966644287109e+01,-6.350064107815689418e-04,4.992014146409928799e-04
1.174948978424072266e+01,-4.562605414510922941e-04,7.914362358860671520e-04
1.180996990203857422e+01,-5.314359947996838418e-04,1.284259138628840446e-03
1.187045955657958984e+01,-1.387778780781445676e-17,1.278289244510233402e-03
1.193093967437744141e+01,1.081251076763448116e-03,7.903057266958057880e-04
1.199143028259277344e+01,1.783493947834641213e-03,2.369627909502014518e-04
1.205191040039062500e+01,1.459933851595346388e-03,1.391663681715726852e-04
