# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.900739999999999874e+00,-2.247833999105430536e+01,2.771640000000000215e-01

4.903190000000000381e+00,-2.241954830167889412e+01,2.771449999999999747e-01

4.905649999999999622e+00,-2.178888944946871220e+01,2.050079999999999958e-01

4.908100000000000129e+00,-2.174369831776580142e+01,3.202659999999999951e-01

4.910549999999999748e+00,-2.177964907730273225e+01,4.534500000000000197e-01

4.913009999999999877e+00,-2.159235831989141374e+01,3.989920000000000133e-01

4.915470000000000006e+00,-2.130258317452450001e+01,4.394310000000000160e-01

4.917919999999999625e+00,-2.097641842525048972e+01,4.236179999999999946e-01

4.920379999999999754e+00,-2.024337767555548240e+01,3.076059999999999905e-01

4.922850000000000392e+00,-2.021504382848930703e+01,3.636440000000000228e-01

4.925309999999999633e+00,-2.044578354909921458e+01,2.574100000000000277e-01

4.927769999999999762e+00,-1.994646009065303360e+01,2.258580000000000032e-01

4.930229999999999890e+00,-1.978371969493073834e+01,2.218479999999999897e-01

4.932699999999999640e+00,-1.947324317705834673e+01,2.195640000000000092e-01

4.935170000000000279e+00,-1.996187315170306675e+01,2.551109999999999767e-01

4.937640000000000029e+00,-1.997051581462644165e+01,2.753349999999999964e-01

4.940109999999999779e+00,-1.960753736158979876e+01,3.291760000000000241e-01

4.942580000000000418e+00,-1.911652398835447286e+01,2.864800000000000124e-01

4.945050000000000168e+00,-1.927752189068200650e+01,2.952839999999999909e-01

4.947519999999999918e+00,-1.794337726433371927e+01,4.647549999999999737e-01

4.950000000000000178e+00,-1.771973896619739008e+01,3.742309999999999803e-01

4.952469999999999928e+00,-1.837565324610973150e+01,4.104200000000000070e-01

4.954950000000000188e+00,-1.811672698928221337e+01,6.693419999999999925e-01

4.957429999999999559e+00,-1.787764368395730585e+01,6.839790000000000036e-01

4.959909999999999819e+00,-1.809619947950361052e+01,4.636469999999999758e-01

4.962390000000000079e+00,-1.714585052528997622e+01,4.025360000000000049e-01

4.964870000000000339e+00,-1.658396297068513192e+01,2.745580000000000243e-01

4.967349999999999710e+00,-1.663843296505792679e+01,2.348300000000000110e-01

4.969839999999999591e+00,-1.660195206866070095e+01,6.823769999999999836e-02

4.972319999999999851e+00,-1.646385088294415056e+01,2.172499999999999987e-01

4.974809999999999732e+00,-1.579508164301185147e+01,2.912009999999999876e-01

4.977299999999999613e+00,-1.547215504058052105e+01,2.847399999999999931e-01

4.979779999999999873e+00,-1.522905070199192856e+01,2.736709999999999976e-01

4.982280000000000264e+00,-1.556995415862258803e+01,2.340510000000000090e-01

4.984770000000000145e+00,-1.603517208429695984e+01,1.865509999999999946e-01

4.987260000000000026e+00,-1.603676705787417234e+01,2.469530000000000058e-01

4.989749999999999908e+00,-1.562628518195467642e+01,3.456319999999999948e-01

4.992250000000000298e+00,-1.487212506229402109e+01,2.934149999999999814e-01

4.994749999999999801e+00,-1.511542062743288817e+01,2.865240000000000009e-01

4.997239999999999682e+00,-1.542268509568589963e+01,2.681020000000000070e-01

4.999740000000000073e+00,-1.469074505346332415e+01,2.233469999999999900e-01

5.002239999999999576e+00,-1.479095887818347244e+01,2.290570000000000106e-01

5.004749999999999588e+00,-1.545215684508290366e+01,3.032429999999999848e-01

5.007249999999999979e+00,-1.460891566604409597e+01,4.175960000000000227e-01

5.009750000000000369e+00,-1.337813250453479519e+01,3.992109999999999825e-01

5.012260000000000382e+00,-1.453201089665549084e+01,4.473509999999999986e-01

5.014770000000000394e+00,-1.387463353456462833e+01,3.193699999999999872e-01

5.017269999999999897e+00,-1.347782282394070741e+01,2.975369999999999959e-01

5.019779999999999909e+00,-1.281031694027286783e+01,2.918399999999999883e-01

5.022289999999999921e+00,-1.276678334209075771e+01,2.920610000000000150e-01

5.024810000000000443e+00,-1.293571670270312168e+01,3.005419999999999758e-01

5.027319999999999567e+00,-1.265075068851767881e+01,3.095149999999999846e-01

5.029829999999999579e+00,-1.315672496770589284e+01,4.721480000000000121e-01

5.032350000000000101e+00,-1.229539915327899635e+01,5.181259999999999755e-01

5.034860000000000113e+00,-1.158325698446243912e+01,3.529280000000000195e-01

