# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,1.053960618188836573e+00,1.183824911713600159e-01
5.156760215759277344e+00,3.992925318325682982e-01,1.012074798345565796e-01
5.186999797821044922e+00,5.671507366810601969e-02,2.175007611513137817e-01
5.217249870300292969e+00,1.828184088564155374e-01,4.656139016151428223e-02
5.247489929199218750e+00,1.184174370917242813e-01,1.866405457258224487e-01
5.277729988098144531e+00,3.185197233488974988e-01,9.401053190231323242e-02
5.307970046997070312e+00,0.000000000000000000e+00,5.264353752136230469e-01
5.338210105895996094e+00,2.596684311769010822e-01,4.262064993381500244e-01
5.368460178375244141e+00,3.450911929424450575e-01,3.847574070096015930e-02
5.398700237274169922e+00,1.712589583569236185e-01,1.643190532922744751e-01
5.428939819335937500e+00,1.898374041252445799e-01,4.175414517521858215e-02
5.459179878234863281e+00,3.993800123117395573e-02,1.991124749183654785e-01
5.489419937133789062e+00,1.848767044096877310e-01,1.093242689967155457e-01
5.519670009613037109e+00,2.319104104458527549e-01,1.189987882971763611e-01
5.549910068511962891e+00,3.689282875772070813e-01,2.001893892884254456e-02
5.580150127410888672e+00,2.166891783494726276e-01,1.914484426379203796e-02
5.610390186309814453e+00,2.533117279917401765e-01,2.018438465893268585e-02
5.640629768371582031e+00,7.521556601643686335e-02,3.487309068441390991e-02
5.670879840850830078e+00,1.387778780781445676e-17,6.973198056221008301e-02
5.701119899749755859e+00,2.344153768155649575e-01,2.743198163807392120e-02
5.731359958648681641e+00,2.362438343061044888e-01,3.972307965159416199e-02
5.761600017547607422e+00,1.016073758338465471e-01,1.030070856213569641e-01
5.791840076446533203e+00,5.557193514106547466e-02,6.024209037423133850e-02
5.822090148925781250e+00,2.053693910133618239e-01,1.466833204030990601e-01
5.852330207824707031e+00,7.920312103626937772e-02,1.381988525390625000e-01
5.882569789886474609e+00,7.483028050796597386e-02,1.239903941750526428e-01
5.912809848785400391e+00,2.105758596726813869e-01,6.740750372409820557e-02
5.943049907684326172e+00,2.335958201528715306e-01,8.770741522312164307e-02
5.973299980163574219e+00,2.292173548098389579e-01,1.332633197307586670e-01
6.003540039062500000e+00,9.987701993389433430e-02,8.224875479936599731e-02
6.033780097961425781e+00,1.498489539308029972e-01,1.426522731781005859e-01
6.064020156860351562e+00,2.278890102529985418e-01,1.199026778340339661e-01
6.094260215759277344e+00,1.890108744032381882e-01,4.930435866117477417e-02
6.124509811401367188e+00,1.901035710949746660e-01,1.565033756196498871e-02
6.154749870300292969e+00,2.756769767724518982e-01,1.963675171136856079e-01
6.184989929199218750e+00,3.970425067105868289e-01,2.543234825134277344e-01
6.215229988098144531e+00,3.657597655920531432e-01,2.389358431100845337e-01
6.245470046997070312e+00,2.320501539540926750e-01,1.615980267524719238e-01
6.275720119476318359e+00,2.232349621181254351e-01,1.305983960628509521e-01
6.305960178375244141e+00,2.068389869211533783e-01,1.301187872886657715e-01
6.336200237274169922e+00,1.488761474020791897e-01,3.873109072446823120e-02
6.366439819335937500e+00,3.019091610042778373e-01,1.036190390586853027e-01
6.396679878234863281e+00,2.680908880807604810e-01,1.192746087908744812e-01
6.426929950714111328e+00,2.775557561562891351e-17,6.987425684928894043e-02
6.457170009613037109e+00,1.547763833337356676e-02,5.679174512624740601e-02
6.487410068511962891e+00,8.828695743975573107e-02,3.083348274230957031e-02
6.517650127410888672e+00,3.314128085776793520e-01,1.539520267397165298e-02
6.547890186309814453e+00,1.361746457192622162e-01,4.433642327785491943e-02
6.578139781951904297e+00,-5.880346829220024774e-02,2.954799532890319824e-01
6.608379840850830078e+00,-1.390559425966279572e-01,1.261250674724578857e-01
6.638619899749755859e+00,-2.293778386394434987e-02,1.975185573101043701e-01
6.668859958648681641e+00,2.258583303956055166e-01,2.080044299364089966e-01
6.699100017547607422e+00,5.089605545666786579e-02,1.300944089889526367e-01
6.729350090026855469e+00,3.208509119031320855e-01,2.763034701347351074e-01
6.759590148925781250e+00,9.517330194342508987e-02,5.212129652500152588e-02
6.789830207824707031e+00,4.919854180983038172e-02,3.011624217033386230e-01
6.820069789886474609e+00,2.773562440636898607e-01,7.001326233148574829e-02
6.850309848785400391e+00,1.405640126041145244e-01,2.890136539936065674e-01
6.880559921264648438e+00,1.387778780781445676e-17,2.121298760175704956e-01
6.910799980163574219e+00,1.426181228893256270e-01,7.978349179029464722e-02
6.941040039062500000e+00,2.628313480520093059e-01,1.709623634815216064e-01
6.971280097961425781e+00,1.683388310736803062e-01,4.557489603757858276e-02
7.001520156860351562e+00,3.648811889481062831e-01,2.698196768760681152e-01
7.031770229339599609e+00,1.520544057068961286e-01,1.245422959327697754e-01
7.062009811401367188e+00,-1.188234264111992233e-01,2.473232448101043701e-01
7.092249870300292969e+00,-8.764742789261145695e-02,2.137893289327621460e-01
7.122489929199218750e+00,1.207700257768695162e-01,1.667861826717853546e-02
7.152729988098144531e+00,2.790547651449167832e-01,2.555940449237823486e-01
7.182980060577392578e+00,1.344568999597027248e-01,1.847017705440521240e-01
7.213220119476318359e+00,2.364487153536180275e-01,1.591994911432266235e-01
7.243460178375244141e+00,4.945692296128681997e-01,4.172121286392211914e-01
7.273700237274169922e+00,2.563914441983456416e-01,2.997958362102508545e-01
7.303939819335937500e+00,1.431932954517115553e-01,1.302686333656311035e-01
7.334189891815185547e+00,3.869877277893606915e-01,1.283858865499496460e-01
7.364429950714111328e+00,3.400154406310152977e-01,5.078195407986640930e-02
7.394670009613037109e+00,1.341848657939273826e-01,1.341881603002548218e-01
7.424910068511962891e+00,2.402786600238709380e-01,3.523965775966644287e-01
7.455150127410888672e+00,3.412718962577212523e-01,2.528405487537384033e-01
7.485400199890136719e+00,4.348791070948293536e-01,2.284294068813323975e-01
7.515639781951904297e+00,4.965632840135430492e-01,1.390226781368255615e-01
7.545879840850830078e+00,4.679871015929157885e-01,1.585044898092746735e-03
7.576119899749755859e+00,4.571529751285464682e-01,1.658903658390045166e-01
7.636600017547607422e+00,3.798178106155208900e-01,1.299033910036087036e-01
7.697090148925781250e+00,3.540187107009557521e-01,8.808396011590957642e-02
7.757569789886474609e+00,3.637653019611272742e-01,3.208217024803161621e-02
7.818049907684326172e+00,4.343167074205778744e-01,9.708708524703979492e-02
7.878540039062500000e+00,4.340873052200599491e-01,5.343982577323913574e-02
7.939020156860351562e+00,3.894532792533307308e-01,1.016238331794738770e-02
7.999509811401367188e+00,2.714367626872651873e-01,1.400768756866455078e-02
8.059989929199218750e+00,1.062697680290115021e-01,6.517112255096435547e-03
8.120470046997070312e+00,-7.967215247372372300e-03,5.569973587989807129e-02
8.180959701538085938e+00,2.958078840781347418e-02,9.420169889926910400e-02
8.241439819335937500e+00,2.668062847769292478e-02,4.942110180854797363e-02
8.301919937133789062e+00,-2.241392120156060486e-02,3.081811964511871338e-02
8.362409591674804688e+00,-2.535534196372113414e-02,1.046627759933471680e-02
8.422889709472656250e+00,5.715478096344261960e-02,9.644615650177001953e-02
