# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.903369999999999784e+00,-1.101228331715735465e+01,6.762409999999999810e-01
4.908269999999999911e+00,-1.064766247739704852e+01,3.250040000000000151e-01
4.913179999999999659e+00,-9.984736832838748910e+00,3.248659999999999881e-01
4.918099999999999916e+00,-9.208709997749465970e+00,4.807060000000000222e-01
4.923020000000000174e+00,-9.472044576458756637e+00,5.704090000000000549e-01
4.927950000000000053e+00,-9.284673629085446578e+00,4.560600000000000209e-01
4.932879999999999932e+00,-8.308148409889469121e+00,4.058229999999999893e-01
4.937809999999999810e+00,-8.061955444060330933e+00,5.076730000000000409e-01
4.942750000000000199e+00,-8.046344306390437850e+00,3.826410000000000089e-01
4.947700000000000209e+00,-7.740517976507774733e+00,3.541420000000000123e-01
4.952650000000000219e+00,-7.414305277595545363e+00,3.424920000000000186e-01
4.957600000000000229e+00,-7.852792570183936505e+00,2.515229999999999966e-01
4.962559999999999860e+00,-7.385551093537713996e+00,2.559870000000000201e-01
4.967530000000000001e+00,-7.310483397585656462e+00,3.602670000000000039e-01
4.972500000000000142e+00,-7.077996222259301362e+00,5.253419999999999757e-01
4.977470000000000283e+00,-6.452575762092592981e+00,3.978720000000000034e-01
4.982450000000000045e+00,-5.896014563647128170e+00,4.393150000000000110e-01
4.987440000000000317e+00,-5.609314741797660986e+00,4.126380000000000048e-01
4.992429999999999701e+00,-5.922161306384026602e+00,5.013659999999999783e-01
4.997419999999999973e+00,-6.425340284602768293e+00,6.040440000000000254e-01
5.002419999999999867e+00,-6.475165167762369833e+00,3.021269999999999789e-01
5.007430000000000270e+00,-6.479137630307533868e+00,2.931880000000000042e-01
5.012439999999999785e+00,-6.106421310503520772e+00,2.700080000000000258e-01
5.017450000000000188e+00,-5.559702066863067671e+00,2.251499999999999890e-01
5.022470000000000212e+00,-5.718913967496533246e+00,2.268459999999999921e-01
5.027499999999999858e+00,-5.607858241020863943e+00,3.089439999999999964e-01
5.032530000000000392e+00,-5.166977518022846994e+00,4.055880000000000041e-01
5.037560000000000038e+00,-4.502657486979543933e+00,2.906980000000000119e-01
5.042600000000000193e+00,-4.720952419441331926e+00,2.806139999999999746e-01
5.047649999999999970e+00,-4.760763092777878569e+00,3.248860000000000081e-01
5.052699999999999747e+00,-3.529011499195050305e+00,5.539060000000000095e-01
5.057750000000000412e+00,-2.996083155776005924e+00,4.057129999999999903e-01
5.062809999999999810e+00,-3.946352158711661673e+00,3.769589999999999885e-01
5.067879999999999718e+00,-4.440618828683042807e+00,5.169749999999999623e-01
5.072949999999999626e+00,-3.840384894234148305e+00,6.226699999999999458e-01
5.078020000000000422e+00,-3.291635699691710215e+00,5.172809999999999908e-01
5.083099999999999952e+00,-3.506464781626988270e+00,4.948899999999999966e-01
5.088189999999999991e+00,-2.666871998569675384e+00,5.354069999999999663e-01
5.093280000000000030e+00,-2.319239195565188538e+00,2.818450000000000122e-01
5.098379999999999690e+00,-3.200074199723530910e+00,4.202069999999999972e-01
5.103480000000000238e+00,-2.769249053861258858e+00,4.305390000000000050e-01
5.108579999999999899e+00,-1.875148840602619771e+00,3.225500000000000034e-01
5.113690000000000069e+00,-1.634795529209583265e+00,4.618399999999999728e-01
5.118809999999999860e+00,-2.074688274609115979e+00,4.145220000000000016e-01
5.123929999999999652e+00,-2.301179816732371819e+00,2.376659999999999884e-01
5.129059999999999953e+00,-2.158305969005596125e+00,2.845869999999999789e-01
5.134190000000000254e+00,-1.666109962697433389e+00,2.897759999999999780e-01
