# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.901080000000000325e+00,-2.472880493148318592e+00,1.064149999999999929e+00

4.903539999999999566e+00,-3.449053570273474367e+00,5.063590000000000035e-01
4.905990000000000073e+00,-2.862190371159864632e+00,4.209899999999999753e-01
4.908439999999999692e+00,-2.578654061154807664e+00,6.440040000000000209e-01
4.910899999999999821e+00,-2.467669389082739251e+00,1.913320000000000021e-01
4.913350000000000328e+00,-2.531886816670253282e+00,1.707249999999999879e-01
4.915809999999999569e+00,-2.651846380844644635e+00,1.716139999999999888e-01
4.918269999999999698e+00,-2.349663041259757001e+00,5.194269999999999721e-01
4.920729999999999826e+00,-2.119356651264151736e+00,3.752329999999999832e-01
4.923189999999999955e+00,-1.978897064206395662e+00,2.968120000000000203e-01
4.925650000000000084e+00,-2.165814133435063127e+00,5.950539999999999718e-01
4.928110000000000213e+00,-2.531407712298688217e+00,7.285970000000000502e-01
4.930579999999999963e+00,-2.386655695893871609e+00,7.939009999999999678e-01
4.933049999999999713e+00,-1.633320679056688540e+00,7.038539999999999797e-01
4.935509999999999842e+00,-2.208653687369908525e+00,5.412439999999999474e-01
4.937979999999999592e+00,-2.210151833117009801e+00,4.608590000000000186e-01
4.940450000000000230e+00,-1.840416533691271894e+00,3.997629999999999795e-01
4.942919999999999980e+00,-1.684227640645570290e+00,2.925079999999999902e-01
4.945389999999999731e+00,-1.367015005532727479e+00,3.699760000000000271e-01
4.947869999999999990e+00,-8.573092559132335921e-01,6.091560000000000308e-01
4.950339999999999741e+00,-2.059829079529205131e+00,3.905310000000000170e-01
4.952820000000000000e+00,-2.249576268519253297e+00,3.437850000000000072e-01
4.955289999999999750e+00,-2.193717954668981562e+00,4.383870000000000267e-01
4.957770000000000010e+00,-2.476487483659786548e+00,5.220099999999999740e-01
4.960250000000000270e+00,-1.406993151850553403e+00,4.958000000000000185e-01
4.962729999999999642e+00,-1.484454808983813656e+00,4.120909999999999851e-01
4.965209999999999901e+00,-1.512602304802095787e+00,2.835159999999999902e-01
4.967699999999999783e+00,-1.721779364737430207e+00,4.018860000000000210e-01
4.970180000000000042e+00,-2.263848472083775043e+00,3.553040000000000087e-01
4.972669999999999924e+00,-1.761397613229758186e+00,2.515649999999999831e-01
4.975159999999999805e+00,-1.682612760403455532e+00,3.561520000000000241e-01
4.977640000000000065e+00,-1.725058345115908054e+00,2.811649999999999983e-01
4.980129999999999946e+00,-1.592294664057074982e+00,3.010140000000000038e-01
4.982619999999999827e+00,-1.900166533389434420e+00,4.107709999999999972e-01
4.985120000000000218e+00,-2.241380367726779177e+00,3.454860000000000153e-01
4.987610000000000099e+00,-1.770003263802579774e+00,2.635120000000000240e-01
4.990099999999999980e+00,-1.933741253411503713e+00,4.056250000000000133e-01
4.992600000000000371e+00,-2.477651897488923893e+00,3.925690000000000013e-01
4.995099999999999874e+00,-1.579338093208136229e+00,4.333290000000000197e-01
4.997589999999999755e+00,-1.547001210445015040e+00,4.446519999999999917e-01
5.000090000000000146e+00,-2.030407667012880779e+00,3.107610000000000094e-01
5.002589999999999648e+00,-1.978279214071879899e+00,1.865600000000000036e-01
5.005099999999999660e+00,-1.694955314060573315e+00,3.187169999999999725e-01
5.007600000000000051e+00,-2.236386959156986265e+00,3.435130000000000128e-01
5.010100000000000442e+00,-2.460893232362474592e+00,3.228050000000000086e-01
5.012609999999999566e+00,-2.137424732242209302e+00,3.913039999999999852e-01
5.015119999999999578e+00,-2.098031307837402437e+00,2.539359999999999951e-01
5.017619999999999969e+00,-2.226471294547555324e+00,1.593229999999999924e-01
5.020129999999999981e+00,-2.272957177006533769e+00,1.923439999999999872e-01
5.022639999999999993e+00,-2.128237668471863131e+00,3.116999999999999771e-01
5.025159999999999627e+00,-2.051325251841158881e+00,3.383249999999999869e-01
5.027669999999999639e+00,-1.586854869364933585e+00,3.041599999999999859e-01
5.030179999999999652e+00,-1.910258627944673826e+00,2.911449999999999871e-01
5.032700000000000173e+00,-1.940540136232018931e+00,2.618849999999999789e-01
5.035219999999999807e+00,-1.864706222531371083e+00,2.550109999999999877e-01
5.037729999999999819e+00,-1.487632215398138058e+00,2.884519999999999862e-01
5.040250000000000341e+00,-1.059366611036969275e+00,3.916020000000000056e-01
5.042779999999999596e+00,-3.813803730425826544e-01,4.361119999999999997e-01
5.045300000000000118e+00,-7.811731949311022660e-01,3.188170000000000170e-01
5.047819999999999752e+00,-1.430809806602214351e+00,3.722750000000000226e-01
5.050340000000000273e+00,-1.387170050410028388e+00,4.710349999999999815e-01
5.052870000000000417e+00,-1.638550517074337520e+00,3.907990000000000075e-01
5.055399999999999672e+00,-9.930350420323854621e-01,3.345790000000000153e-01
5.057929999999999815e+00,-8.051134657540846007e-01,3.559450000000000114e-01
5.060459999999999958e+00,-1.296215628709374457e+00,4.317670000000000119e-01
5.062990000000000101e+00,-1.865851371368164813e+00,3.719970000000000221e-01
5.065520000000000245e+00,-1.954300534200389627e+00,3.379429999999999934e-01
5.068050000000000388e+00,-2.046712957675972611e+00,3.205489999999999728e-01
5.070590000000000153e+00,-1.346677819046051994e+00,3.770160000000000178e-01
5.073120000000000296e+00,-1.865646652259631999e+00,3.179060000000000219e-01
5.075660000000000061e+00,-1.699318338576490284e+00,3.277970000000000050e-01
5.078199999999999825e+00,-1.310443379786189411e+00,4.116730000000000111e-01
5.080739999999999590e+00,-1.710221614459499939e+00,3.828559999999999741e-01
5.083280000000000243e+00,-1.321552881167208149e+00,3.404730000000000256e-01
5.085820000000000007e+00,-1.598847018480083371e+00,3.334880000000000067e-01
5.088370000000000282e+00,-1.254485767840737509e+00,3.435520000000000240e-01
5.090910000000000046e+00,-1.338075526118463365e+00,4.666440000000000032e-01
5.093460000000000321e+00,-1.372670301828270212e+00,4.065320000000000045e-01
5.096000000000000085e+00,-1.206735032809258534e+00,3.667540000000000244e-01
5.098550000000000360e+00,-1.229795184054419011e+00,5.273780000000000134e-01
5.101099999999999746e+00,-1.326387960470234439e+00,3.936459999999999959e-01
5.103650000000000020e+00,-1.417673198713327309e+00,2.806179999999999786e-01
5.106209999999999916e+00,-1.752875181762567180e+00,3.701539999999999830e-01
5.108760000000000190e+00,-1.533775214622781213e+00,2.934019999999999961e-01
5.111309999999999576e+00,-1.443827218639564869e+00,2.698110000000000230e-01
5.113870000000000360e+00,-1.866226559257682105e+00,2.929970000000000074e-01
5.116430000000000256e+00,-2.033498263889517155e+00,2.833800000000000208e-01
5.118990000000000151e+00,-1.878772167262462656e+00,4.317900000000000071e-01
5.121550000000000047e+00,-1.318598104103894997e+00,4.437389999999999946e-01
5.124109999999999943e+00,-1.507465909141196825e+00,5.278819999999999624e-01
5.126669999999999838e+00,-1.207025417101746712e+00,2.551800000000000179e-01
5.129240000000000244e+00,-7.726241460637464087e-01,2.629909999999999748e-01
5.131800000000000139e+00,-9.617069206522472768e-01,3.984320000000000084e-01
5.134369999999999656e+00,-9.688892989935338207e-01,4.774149999999999783e-01
5.136930000000000440e+00,-5.496246765346084473e-01,2.897089999999999943e-01
5.139499999999999957e+00,-5.468900379873282702e-01,3.220489999999999742e-01
5.142070000000000363e+00,-1.008916818841718133e+00,4.591740000000000266e-01
5.144650000000000389e+00,-9.168946720387944893e-01,3.088690000000000047e-01
5.147219999999999906e+00,-7.012441441352388338e-01,4.542519999999999891e-01
5.149790000000000312e+00,-6.090145333317691367e-01,4.569440000000000168e-01
5.152370000000000339e+00,-8.274065542577622168e-01,2.952270000000000172e-01
5.154950000000000365e+00,-9.846398634890762835e-01,2.646609999999999796e-01
5.157519999999999882e+00,-1.112692703650457915e+00,2.830190000000000206e-01
5.160099999999999909e+00,-1.095037729770208301e+00,3.005559999999999898e-01
5.162679999999999936e+00,-1.213703537321399573e+00,2.635330000000000172e-01
5.165269999999999584e+00,-1.058792599936879242e+00,2.369350000000000067e-01
5.167849999999999611e+00,-9.932698130467843001e-01,1.699569999999999970e-01
5.170429999999999637e+00,-9.178972994028038457e-01,2.601280000000000259e-01
5.173020000000000174e+00,-8.529785826980118557e-01,3.839679999999999760e-01
5.175609999999999822e+00,-8.465804987462712816e-01,2.957879999999999954e-01
