# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,-1.717555350846805551e-03,3.712543693836778402e-04
5.156760215759277344e+00,-8.114662178301187967e-04,2.643596380949020386e-04
5.186999797821044922e+00,-5.727834440030082908e-05,1.574676425661891699e-04
5.217249870300292969e+00,5.550125120601691331e-04,5.053885979577898979e-05
5.247489929199218750e+00,1.023743538619815985e-03,4.531119702733121812e-05
5.277729988098144531e+00,1.441325937915190203e-03,2.079735422739759088e-04
5.307970046997070312e+00,1.940143386205898934e-03,7.949688006192445755e-04
5.338210105895996094e+00,1.164098842807853584e-03,1.619331073015928268e-03
5.368460178375244141e+00,2.301982441087296188e-03,6.553827552124857903e-04
5.398700237274169922e+00,1.518526906710792462e-03,3.624758683145046234e-04
5.428939819335937500e+00,3.469446951953614189e-18,9.146920056082308292e-04
5.459179878234863281e+00,-6.920258173600778162e-04,1.424994901753962040e-03
5.489419937133789062e+00,0.000000000000000000e+00,1.129938173107802868e-03
5.519670009613037109e+00,8.952393634057281835e-04,6.414935924112796783e-04
5.549910068511962891e+00,7.253144578324814684e-04,3.997303720097988844e-04
5.580150127410888672e+00,4.672690020383861442e-04,2.146947517758235335e-04
5.610390186309814453e+00,2.984248491533780800e-04,4.598191881086677313e-04
5.640629768371582031e+00,3.130467354099664146e-04,1.081881928257644176e-04
5.670879840850830078e+00,-6.327819066217002519e-05,5.319645279087126255e-04
5.701119899749755859e+00,3.469446951953614189e-18,4.414626164361834526e-05
5.731359958648681641e+00,1.039152932982151389e-04,9.315361967310309410e-04
5.761600017547607422e+00,-9.765954784815844558e-04,2.323995111510157585e-03
5.791840076446533203e+00,-6.845636955371374455e-04,1.593561959452927113e-03
5.822090148925781250e+00,-7.889122856116759230e-04,4.284082388039678335e-04
5.852330207824707031e+00,-7.891382943637191560e-04,9.226598776876926422e-04
5.882569789886474609e+00,-9.854022918853698465e-04,8.534430526196956635e-04
5.912809848785400391e+00,-1.524446744838731105e-04,1.082748523913323879e-03
5.943049907684326172e+00,4.367867116135751293e-05,1.305440091527998447e-03
5.973299980163574219e+00,-2.202807610411812445e-04,1.176482881419360638e-03
6.003540039062500000e+00,-2.455150042724903170e-04,9.264139807783067226e-04
6.033780097961425781e+00,2.386023700065922903e-04,9.511242969892919064e-04
6.064020156860351562e+00,7.901160987562640126e-04,8.273727726191282272e-04
6.094260215759277344e+00,1.260206561942086440e-03,1.622751296963542700e-04
6.124509811401367188e+00,2.822122835898031173e-03,8.679463644511997700e-04
6.154749870300292969e+00,5.484086219572272686e-03,1.623306074179708958e-03
6.184989929199218750e+00,8.183099660518396157e-03,1.789149129763245583e-03
6.215229988098144531e+00,8.307839107096655351e-03,2.253808779641985893e-03
6.245470046997070312e+00,9.687705685193739868e-03,7.798218284733593464e-04
6.275720119476318359e+00,8.222351835211277882e-03,1.448842376703396440e-04
6.305960178375244141e+00,7.409225748623213953e-03,2.704237704165279865e-04
6.336200237274169922e+00,6.708486290026988152e-03,4.091200244147330523e-04
6.366439819335937500e+00,5.045354580132152544e-03,7.626185542903840542e-04
6.396679878234863281e+00,3.949169274199491875e-03,1.251754700206220150e-03
6.426929950714111328e+00,2.762271051760328833e-03,6.695412448607385159e-04
6.457170009613037109e+00,2.110036571478110523e-03,4.442582139745354652e-04
6.487410068511962891e+00,1.890727654654839052e-03,1.232989947311580181e-03
6.517650127410888672e+00,1.528295351312436434e-03,1.156162121333181858e-03
6.547890186309814453e+00,7.954933674080774675e-04,5.441331304609775543e-04
6.578139781951904297e+00,-6.938893903907228378e-18,2.154140238417312503e-04
6.608379840850830078e+00,1.696391251099008124e-04,3.500747552607208490e-04
6.638619899749755859e+00,1.351930989046123965e-04,9.936431888490915298e-04
6.668859958648681641e+00,1.704661405598772994e-04,1.856114715337753296e-03
6.699100017547607422e+00,3.421500845698921545e-05,2.075485419481992722e-03
6.729350090026855469e+00,2.864622432649996386e-04,1.048292615450918674e-03
6.759590148925781250e+00,7.900051519037498693e-04,2.877709630411118269e-04
6.789830207824707031e+00,1.333507649059879896e-03,7.621846743859350681e-04
6.820069789886474609e+00,1.585777423035950040e-03,6.915677804499864578e-04
6.850309848785400391e+00,1.867315204227615322e-03,3.483235777821391821e-04
6.880559921264648438e+00,3.165927576295447798e-03,4.407859232742339373e-04
6.910799980163574219e+00,4.689615641595860918e-03,2.925647422671318054e-04
6.941040039062500000e+00,5.167368141422289118e-03,1.147625967860221863e-03
6.971280097961425781e+00,2.542060254041668410e-03,2.585437381640076637e-03
7.001520156860351562e+00,2.481515385126489837e-03,1.656990963965654373e-03
7.031770229339599609e+00,8.165942379372501114e-04,1.351055572740733624e-03
7.062009811401367188e+00,1.387778780781445676e-17,1.020318595692515373e-03
7.092249870300292969e+00,-4.243784343439180318e-04,2.272512938361614943e-04
7.122489929199218750e+00,2.340052141668325092e-04,7.435041479766368866e-04
7.152729988098144531e+00,2.743982876758851996e-04,1.120532979257404804e-03
7.182980060577392578e+00,7.977563874347476380e-04,1.411656499840319157e-03
7.213220119476318359e+00,1.267653256137396545e-03,9.081683238036930561e-04
7.243460178375244141e+00,1.587044671962328790e-03,3.117441956419497728e-04
7.273700237274169922e+00,1.330296417442727863e-03,1.085700234398245811e-03
7.303939819335937500e+00,7.632426809909345633e-04,1.057653804309666157e-03
7.334189891815185547e+00,4.263943698633726465e-04,8.461239631287753582e-04
7.364429950714111328e+00,-6.938893903907228378e-18,2.760201459750533104e-04
7.394670009613037109e+00,5.333883194946834050e-04,4.076799377799034119e-04
7.424910068511962891e+00,1.521053580068175426e-03,4.336512938607484102e-04
7.455150127410888672e+00,1.853280468222646971e-03,2.724781807046383619e-04
7.485400199890136719e+00,2.155616192170591028e-03,4.299984721001237631e-04
7.515639781951904297e+00,2.652254011614244011e-03,1.365537871606647968e-03
7.576119899749755859e+00,4.892714134408664151e-03,3.129835939034819603e-03
7.636600017547607422e+00,4.357653100473313224e-03,2.234488260000944138e-03
7.697090148925781250e+00,5.374464326007612203e-03,2.024524379521608353e-03
7.757569789886474609e+00,6.615808491738935093e-03,1.900923525681719184e-04
7.818049907684326172e+00,7.462754056986826978e-03,1.809638051781803370e-04
7.878540039062500000e+00,8.348886397014275429e-03,1.347735058516263962e-03
7.939020156860351562e+00,8.777017999866965070e-03,1.403489150106906891e-04
7.999509811401367188e+00,8.313944693561212129e-03,1.412926067132502794e-04
8.059989929199218750e+00,7.629859872889416250e-03,1.351781073026359081e-03
8.120470046997070312e+00,7.422231813080978902e-03,3.693438775371760130e-04
8.180959701538085938e+00,7.322656303495447827e-03,6.567884702235460281e-04
8.241439819335937500e+00,7.197867117750139654e-03,4.299489664845168591e-04
8.301919937133789062e+00,6.846913506121876658e-03,1.480478822486475110e-04
8.362409591674804688e+00,5.988774810092134526e-03,1.814553979784250259e-03
8.422889709472656250e+00,5.460095438893572406e-03,1.060648006387054920e-03
8.483369827270507812e+00,5.650497717429231459e-03,9.398898691870272160e-04
8.543860435485839844e+00,5.739445025042630433e-03,1.039532129652798176e-03
8.604339599609375000e+00,5.298029309487570226e-03,5.695744766853749752e-04
8.664830207824707031e+00,4.475650986567866751e-03,1.554947521071881056e-04
8.725310325622558594e+00,4.014525258045659184e-03,2.069294278044253588e-04
8.785790443420410156e+00,3.713540915376692397e-03,7.745320326648652554e-04
8.846280097961425781e+00,2.857853283206923667e-03,9.443234885111451149e-04
8.906760215759277344e+00,1.351516623016968399e-03,7.524280808866024017e-04
8.967240333557128906e+00,1.387778780781445676e-17,6.000472349114716053e-04
9.027729988098144531e+00,-3.664948280354685117e-05,6.720873061567544937e-04
9.088210105895996094e+00,8.789425524716176774e-04,8.830541628412902355e-04
9.148690223693847656e+00,1.446686038067038216e-03,9.042510064318776131e-04
9.209179878234863281e+00,1.719101801630887327e-03,1.195452176034450531e-03
9.269659996032714844e+00,1.378468260395726563e-03,1.530814566649496555e-03
9.330149650573730469e+00,9.009321578556661603e-04,1.220942009240388870e-03
9.390629768371582031e+00,9.980833787821136172e-04,7.368999649770557880e-04
9.451109886169433594e+00,6.776592945008097502e-04,9.840764105319976807e-04
9.511599540710449219e+00,0.000000000000000000e+00,1.660887035541236401e-03
