# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,2.319556117448693527e-03,1.529099768958985806e-03
5.156760215759277344e+00,1.977444316024369944e-03,1.373307197354733944e-03
5.186999797821044922e+00,1.553979832660973628e-03,1.217516371980309486e-03
5.217249870300292969e+00,1.052583066026813521e-03,1.061673043295741081e-03
5.247489929199218750e+00,4.160829143286543658e-04,8.447569562122225761e-04
5.277729988098144531e+00,0.000000000000000000e+00,9.169066906906664371e-04
5.307970046997070312e+00,1.467155941307154987e-04,1.348029472865164280e-03
5.338210105895996094e+00,3.809833217816669532e-04,1.034964341670274734e-03
5.368460178375244141e+00,7.652507899370622479e-04,3.884584002662450075e-04
5.398700237274169922e+00,6.857333569519064032e-04,7.601676043123006821e-04
5.428939819335937500e+00,4.713436779138161642e-04,2.061774139292538166e-04
5.459179878234863281e+00,-1.734723475976807094e-18,2.252248959848657250e-04
5.489419937133789062e+00,8.754931785298573216e-04,3.060274466406553984e-04
5.519670009613037109e+00,1.905645525476628438e-03,3.017458366230130196e-04
5.549910068511962891e+00,1.376635827493880027e-03,5.800267681479454041e-04
5.580150127410888672e+00,1.081054326757133199e-03,2.354598691454157233e-04
5.610390186309814453e+00,1.800939192735578898e-03,7.776499842293560505e-04
5.640629768371582031e+00,1.581313461486776734e-03,1.511164882685989141e-04
5.670879840850830078e+00,1.440063360203306525e-03,1.850609405664727092e-04
5.701119899749755859e+00,1.665248784341419319e-03,2.753821609076112509e-04
5.731359958648681641e+00,2.360087417788713643e-03,3.530566464178264141e-04
5.761600017547607422e+00,2.160915410680547960e-03,8.316606399603188038e-04
5.791840076446533203e+00,8.661527326608194077e-04,2.148376544937491417e-03
5.822090148925781250e+00,-3.469446951953614189e-18,3.169834380969405174e-03
5.852330207824707031e+00,3.235578096805885595e-05,2.712037647143006325e-03
5.882569789886474609e+00,-3.124599150756482424e-04,1.239895704202353954e-03
5.912809848785400391e+00,-1.398838086097132366e-03,3.809834015555679798e-04
5.943049907684326172e+00,-2.019256370945517881e-03,7.330643129535019398e-04
5.973299980163574219e+00,-1.097695158281637023e-03,1.816347707062959671e-03
6.003540039062500000e+00,-8.919286982721798263e-04,1.720784232020378113e-03
6.033780097961425781e+00,9.886180594914743824e-04,6.559752509929239750e-04
6.064020156860351562e+00,4.759314291545684028e-04,9.952846448868513107e-04
6.094260215759277344e+00,-4.297757080053837830e-05,5.172255914658308029e-04
6.124509811401367188e+00,2.392406976748546327e-03,7.088751299306750298e-04
6.154749870300292969e+00,9.446539109850566468e-03,1.126393326558172703e-03
6.184989929199218750e+00,1.966776385587487228e-02,5.574733950197696686e-04
6.215229988098144531e+00,2.863143990075948941e-02,7.673036307096481323e-04
6.245470046997070312e+00,3.125760825139486943e-02,1.226416905410587788e-03
6.275720119476318359e+00,2.654205390916793139e-02,1.258578500710427761e-03
6.305960178375244141e+00,1.869988934876571848e-02,1.152439508587121964e-03
6.336200237274169922e+00,1.235059758753491790e-02,8.215950219891965389e-04
6.366439819335937500e+00,8.911077150188250612e-03,9.076549904420971870e-04
6.396679878234863281e+00,6.831130450092905149e-03,9.522807667963206768e-04
6.426929950714111328e+00,4.310151932032581235e-03,9.354068315587937832e-04
6.457170009613037109e+00,1.285306875439890667e-03,9.639903437346220016e-04
6.487410068511962891e+00,-6.256353016012468349e-04,8.935513906180858612e-04
6.517650127410888672e+00,-2.107400124979116190e-03,3.453737590461969376e-04
6.547890186309814453e+00,-1.199328600289727154e-03,2.898420789279043674e-04
6.578139781951904297e+00,-2.275136074196687508e-04,1.795911084627732635e-04
6.608379840850830078e+00,-4.523766627136660556e-04,5.093687796033918858e-04
6.638619899749755859e+00,-5.639235984385287948e-04,2.002233522944152355e-04
6.668859958648681641e+00,3.318009748801836745e-05,6.687999848509207368e-05
6.699100017547607422e+00,1.698495510973896394e-05,1.656959066167473793e-04
6.729350090026855469e+00,0.000000000000000000e+00,6.122293416410684586e-04
6.759590148925781250e+00,8.228472895589755698e-05,7.406311342492699623e-04
6.789830207824707031e+00,4.154119018880825243e-05,8.149900240823626518e-04
6.820069789886474609e+00,1.028078546282146233e-03,1.225435873493552208e-03
6.850309848785400391e+00,2.550258550629742882e-03,1.065360032953321934e-03
6.880559921264648438e+00,2.842579892384296258e-03,8.417724748142063618e-04
