# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.307970046997070312e+00,-2.365744750895697537e-03,2.349987626075744629e-04

5.338210105895996094e+00,-1.468655947653217317e-03,5.618999130092561245e-04
5.368460178375244141e+00,-2.142755850602336490e-04,2.390134468441829085e-04
5.398700237274169922e+00,-3.343989530131758273e-04,3.459749277681112289e-04
5.428939819335937500e+00,-8.673617379884035472e-19,5.865042912773787975e-04
5.459179878234863281e+00,0.000000000000000000e+00,7.037616451270878315e-04
5.489419937133789062e+00,1.952033960755317904e-03,6.652023294009268284e-04
5.519670009613037109e+00,1.954120269143403039e-03,3.856023249682039022e-04
5.549910068511962891e+00,8.258136120560567728e-04,1.955536426976323128e-04
5.580150127410888672e+00,5.647847668313983258e-04,4.385422216728329659e-04
5.610390186309814453e+00,7.597456086442400808e-04,5.092915962450206280e-04
5.640629768371582031e+00,1.695240099251500016e-03,2.291659475304186344e-04
5.670879840850830078e+00,9.081804977453958663e-04,1.672339712968096137e-04
5.701119899749755859e+00,1.283590533818424612e-03,2.492727944627404213e-04
5.731359958648681641e+00,1.696305359681440396e-03,3.087615768890827894e-04
5.761600017547607422e+00,1.325665630933848746e-03,2.408921718597412109e-04
5.791840076446533203e+00,8.995816526329901766e-04,1.696040126262232661e-04
5.822090148925781250e+00,1.734723475976807094e-18,2.276150626130402088e-04
5.852330207824707031e+00,2.709236253650194881e-05,4.052313452120870352e-04
5.882569789886474609e+00,1.331398484391045633e-04,3.510435344651341438e-04
5.912809848785400391e+00,-3.190788820008113452e-04,3.173812583554536104e-04
5.943049907684326172e+00,5.197809824569465942e-04,3.166962414979934692e-04
5.973299980163574219e+00,2.390267918676251130e-04,2.332789154024794698e-04
6.003540039062500000e+00,7.670828636604492407e-04,5.238307057879865170e-04
6.033780097961425781e+00,1.775049710547729059e-03,7.469246047548949718e-04
6.064020156860351562e+00,1.847640081618993901e-03,8.140652789734303951e-04
6.094260215759277344e+00,3.396080612415457861e-03,8.644799818284809589e-04
6.124509811401367188e+00,7.100957188823493055e-03,7.399861351586878300e-04
6.154749870300292969e+00,1.082809171867942823e-02,6.826752796769142151e-04
6.184989929199218750e+00,1.349489710418457292e-02,7.190192118287086487e-04
6.215229988098144531e+00,1.569070857619180026e-02,7.403651252388954163e-04
6.245470046997070312e+00,1.688663725137438953e-02,5.151477525942027569e-04
6.275720119476318359e+00,1.608068216605525874e-02,2.564749738667160273e-04
6.305960178375244141e+00,1.485564910152921067e-02,4.003416979685425758e-04
6.336200237274169922e+00,1.194790539644760910e-02,7.001088815741240978e-04
6.366439819335937500e+00,8.636741194150251294e-03,5.930296611040830612e-04
6.396679878234863281e+00,7.475229733813471694e-03,3.394266532268375158e-04
6.426929950714111328e+00,4.944011045888242750e-03,4.722927988041192293e-04
6.457170009613037109e+00,2.331655221997408489e-03,6.739064119756221771e-04
6.487410068511962891e+00,3.591908242255269224e-04,6.007864139974117279e-04
6.517650127410888672e+00,8.653968230780961779e-04,5.989889614284038544e-04
6.547890186309814453e+00,8.593568870007839422e-06,7.197970408014953136e-04
6.578139781951904297e+00,0.000000000000000000e+00,6.150355911813676357e-04
6.608379840850830078e+00,-9.444906354155457873e-04,5.173209938220679760e-04
6.638619899749755859e+00,-7.595256534542425830e-04,3.543347993399947882e-04
6.668859958648681641e+00,-3.892328913935594326e-04,4.415053117554634809e-04
6.699100017547607422e+00,-3.621137200274238133e-06,7.383148767985403538e-04
6.729350090026855469e+00,2.232432543834830807e-03,5.536512471735477448e-04
6.759590148925781250e+00,6.375252843879984643e-03,6.409456836991012096e-04
6.789830207824707031e+00,1.512536848864377143e-02,9.089733939617872238e-04
6.820069789886474609e+00,2.825916408062346258e-02,9.925988269969820976e-04
6.850309848785400391e+00,3.912629771356580799e-02,1.579742529429495335e-03
6.880559921264648438e+00,4.633294281007060283e-02,1.837086980231106281e-03
6.910799980163574219e+00,4.619157190200720575e-02,1.332514337264001369e-03
6.941040039062500000e+00,3.895325065523023295e-02,8.488001185469329357e-04
6.971280097961425781e+00,3.077469040029554015e-02,5.195495323278009892e-04
7.001520156860351562e+00,1.950342441342625688e-02,4.045205714646726847e-04
7.031770229339599609e+00,8.454247654349558716e-03,5.941219278611242771e-04
7.062009811401367188e+00,3.170546351402653285e-03,7.795733399689197540e-04
7.092249870300292969e+00,1.663345973342410244e-03,5.548995104618370533e-04
7.122489929199218750e+00,0.000000000000000000e+00,5.002471152693033218e-04
7.152729988098144531e+00,1.020445780966078297e-04,6.635226891376078129e-04
7.182980060577392578e+00,6.614341486185365548e-04,7.367345388047397137e-04
7.213220119476318359e+00,7.082039099938743087e-03,9.522943291813135147e-04
7.243460178375244141e+00,1.762137364240293907e-02,1.240885001607239246e-03
7.273700237274169922e+00,2.466082990925775459e-02,1.568601117469370365e-03
7.303939819335937500e+00,2.049006116301119174e-02,1.741804298944771290e-03
7.334189891815185547e+00,1.429353215725974457e-02,1.783029525540769100e-03
7.364429950714111328e+00,1.122614926147768449e-02,1.308470149524509907e-03
7.394670009613037109e+00,9.922641269996576585e-03,8.793196757324039936e-04
7.424910068511962891e+00,9.184275043788957260e-03,8.817943162284791470e-04
7.455150127410888672e+00,1.326906306836968252e-02,5.682332557626068592e-04
7.485400199890136719e+00,1.834816163051382343e-02,8.069164468906819820e-04
7.515639781951904297e+00,1.910137238401408977e-02,1.091457903385162354e-03
7.545879840850830078e+00,2.078258622895783059e-02,8.635781705379486084e-04
7.576119899749755859e+00,2.389631424888961908e-02,8.298791944980621338e-04
7.636600017547607422e+00,2.840308433056005361e-02,1.833390444517135620e-03
7.697090148925781250e+00,2.745357261218729639e-02,1.325772493146359921e-03
7.757569789886474609e+00,2.887171361615863824e-02,6.971649709157645702e-04
7.818049907684326172e+00,2.995886727616303008e-02,5.324083031155169010e-04
7.878540039062500000e+00,2.982236217615535923e-02,5.988742341287434101e-04
7.939020156860351562e+00,2.974986343705736391e-02,1.005924073979258537e-03
7.999509811401367188e+00,2.837386909599987767e-02,1.508447923697531223e-03
8.059989929199218750e+00,2.714257798252626974e-02,1.345425727777183056e-03
8.120470046997070312e+00,2.732081991942887644e-02,1.292547793127596378e-03
8.180959701538085938e+00,2.541695509682508070e-02,1.721463631838560104e-03
8.241439819335937500e+00,2.350735063697143717e-02,2.053019823506474495e-03
8.301919937133789062e+00,2.364445334992305858e-02,2.429584972560405731e-03
8.362409591674804688e+00,2.077506054304147087e-02,1.995205646380782127e-03
8.422889709472656250e+00,1.939153313581398752e-02,1.375116407871246338e-03
8.483369827270507812e+00,1.761999774254794510e-02,1.779372454620897770e-03
8.543860435485839844e+00,1.592146254501453084e-02,2.103739185258746147e-03
8.604339599609375000e+00,1.393316550235461360e-02,1.931343576870858669e-03
8.664830207824707031e+00,1.157601398681112198e-02,1.683561946265399456e-03
8.725310325622558594e+00,9.481468096523587574e-03,2.005267655476927757e-03
8.785790443420410156e+00,6.110901958180994797e-03,2.054397016763687134e-03
8.846280097961425781e+00,3.757261638687378613e-03,1.436542719602584839e-03
8.906760215759277344e+00,1.338074342047065879e-03,1.465500681661069393e-03
8.967240333557128906e+00,-1.387778780781445676e-17,1.975555438548326492e-03
9.027729988098144531e+00,-8.343661173281502474e-04,2.037517959251999855e-03
9.088210105895996094e+00,1.387778780781445676e-17,2.007183851674199104e-03
9.148690223693847656e+00,-7.525588468744182080e-04,1.773340278305113316e-03
9.209179878234863281e+00,-7.531924482579999136e-04,1.542183686979115009e-03
9.269659996032714844e+00,-5.267828308953143024e-04,1.642125076614320278e-03
9.330149650573730469e+00,-6.218071993703555567e-05,1.410928438417613506e-03
9.390629768371582031e+00,-1.109527949283095616e-03,1.774662756361067295e-03
9.451109886169433594e+00,0.000000000000000000e+00,2.212786814197897911e-03
9.511599540710449219e+00,-3.563350138323789773e-04,1.671108766458928585e-03
9.572079658508300781e+00,-1.013947196206316237e-03,1.132876728661358356e-03
9.632559776306152344e+00,-1.079355046949337371e-03,1.308178179897367954e-03
9.693050384521484375e+00,6.265446705567556673e-04,1.908316393382847309e-03
9.753529548645019531e+00,1.277676272363401089e-03,1.931254751980304718e-03
9.814009666442871094e+00,2.775557561562891351e-17,1.580201438628137112e-03
9.874500274658203125e+00,-8.814132006059460789e-04,1.301927026361227036e-03
9.934980392456054688e+00,-1.426763770910388640e-03,1.844153273850679398e-03
9.995470046997070312e+00,8.844477068475492532e-04,2.898068400099873543e-03
1.005595016479492188e+01,5.852248264570925063e-04,3.430592827498912811e-03
1.011643028259277344e+01,-7.089263363631442827e-04,3.387285629287362099e-03
1.017691993713378906e+01,-1.785237796766217522e-03,2.950644120573997498e-03
1.023740005493164062e+01,-1.187344185454408674e-03,2.709088847041130066e-03
1.029788017272949219e+01,-1.387778780781445676e-17,2.687546657398343086e-03
1.035836982727050781e+01,1.126758468898550469e-03,2.664656378328800201e-03
1.041884994506835938e+01,9.242231911070486472e-04,2.700004959478974342e-03
1.047933006286621094e+01,-4.271802333658536455e-04,2.537953434512019157e-03
1.053981971740722656e+01,2.604254620477974846e-04,2.376101678237318993e-03
1.060029983520507812e+01,0.000000000000000000e+00,2.640172839164733887e-03
1.066079044342041016e+01,-1.217528648490187604e-03,2.803120762109756470e-03
1.072126960754394531e+01,-7.435710135414164146e-04,2.819027751684188843e-03
1.078174972534179688e+01,-1.518438399995547528e-03,2.474226057529449463e-03
1.084224033355712891e+01,-1.387778780781445676e-17,2.412081928923726082e-03
1.090272045135498047e+01,1.037962731469499467e-03,2.710835775360465050e-03
1.096319961547851562e+01,5.957730808519898225e-03,2.522292779758572578e-03
1.102369022369384766e+01,1.056056686676382084e-02,2.295803045853972435e-03
1.108417034149169922e+01,1.821722430317301855e-02,2.520011039450764656e-03
1.114465045928955078e+01,2.987651707003594059e-02,2.759441966190934181e-03
1.120514011383056641e+01,4.720011163045834124e-02,2.872611163184046745e-03
1.126562023162841797e+01,6.275194670975162148e-02,3.755634883418679237e-03
1.132610988616943359e+01,7.063761143387237151e-02,5.303310230374336243e-03
1.138659000396728516e+01,7.016134105183277625e-02,6.452782079577445984e-03
1.144707012176513672e+01,6.388949010617694935e-02,6.664004642516374588e-03
1.150755977630615234e+01,5.511389069170358201e-02,6.813728716224431992e-03
1.156803989410400391e+01,4.238077146051863475e-02,6.551534403115510941e-03
1.162852001190185547e+01,2.898358819592830593e-02,6.336877588182687759e-03
1.168900966644287109e+01,1.902338470429981720e-02,5.953978281468153000e-03
1.174948978424072266e+01,8.613484912427360474e-03,5.352309439331293106e-03
1.180996990203857422e+01,4.115362468396499551e-03,5.259689409285783768e-03
1.187045955657958984e+01,0.000000000000000000e+00,5.279529839754104614e-03
1.193093967437744141e+01,1.658504254185039217e-03,5.038021598011255264e-03
1.199143028259277344e+01,3.512046138128499528e-03,4.879098851233720779e-03
1.205191040039062500e+01,3.346778074943407288e-03,5.530820693820714951e-03
