# col1: wavelength, col2: cont_sub flux, col3: Flux error

5.126520156860351562e+00,3.813311062206063435e-03,3.795479424297809601e-04

5.156760215759277344e+00,3.121490683307497158e-03,2.157796407118439674e-04
5.186999797821044922e+00,2.449134851223883861e-03,5.201440581004135311e-05
5.217249870300292969e+00,1.794554537899737626e-03,1.118079817388206720e-04
5.247489929199218750e+00,1.129517808006860660e-03,3.027964266948401928e-04
5.277729988098144531e+00,6.022365302910236834e-04,3.974699939135462046e-04
5.307970046997070312e+00,4.851784343617945340e-04,4.566062416415661573e-04
5.338210105895996094e+00,1.304484792713435544e-04,3.436653933022171259e-04
5.368460178375244141e+00,-4.336808689942017736e-19,1.483300093241268769e-05
5.398700237274169922e+00,-7.866047666985152148e-05,4.452044959180057049e-04
5.428939819335937500e+00,2.884477157303836498e-04,2.001263055717572570e-04
5.459179878234863281e+00,-1.734723475976807094e-18,1.004039040708448738e-05
5.489419937133789062e+00,-4.124231640859760128e-05,2.388195134699344635e-04
5.519670009613037109e+00,3.691836679314327435e-04,6.258186185732483864e-04
5.549910068511962891e+00,5.897975863333390634e-04,6.858857232145965099e-04
5.580150127410888672e+00,5.192537577867559900e-04,5.062067648395895958e-04
5.610390186309814453e+00,5.808713515858864376e-04,2.838539367076009512e-04
5.640629768371582031e+00,6.848227257152082748e-04,1.393898710375651717e-04
5.670879840850830078e+00,5.142955900286124565e-04,2.607677306514233351e-04
5.701119899749755859e+00,7.444957791232645686e-04,3.981144400313496590e-04
5.731359958648681641e+00,6.623175632387550554e-04,7.741501030977815390e-05
5.761600017547607422e+00,6.437288780081103223e-04,2.910996227001305670e-05
5.791840076446533203e+00,3.239460349569976694e-04,2.676004260138142854e-05
5.822090148925781250e+00,-1.205412714892772907e-05,2.892525517381727695e-04
5.852330207824707031e+00,0.000000000000000000e+00,4.767873324453830719e-04
5.882569789886474609e+00,2.236811684519545221e-04,5.927534075453877449e-04
5.912809848785400391e+00,3.387196484187131665e-04,6.107299122959375381e-04
5.943049907684326172e+00,4.550132023753471547e-04,2.899891696870326996e-04
5.973299980163574219e+00,6.367945859439482978e-04,6.965489592403173447e-05
