# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.247489929199218750e+00,8.856473455198265489e-04,3.927147481590509415e-04
5.277729988098144531e+00,8.447252511727190716e-04,3.937856527045369148e-04
5.307970046997070312e+00,9.030092809226343033e-04,4.523698007687926292e-04
5.338210105895996094e+00,2.941953895200426564e-04,6.300273817032575607e-04
5.368460178375244141e+00,0.000000000000000000e+00,5.441594403237104416e-04
5.398700237274169922e+00,-5.810988254499908565e-05,3.214854805264621973e-04
5.428939819335937500e+00,3.785688281422398133e-04,4.281151341274380684e-04
5.459179878234863281e+00,-8.300339713935081520e-05,3.622517106123268604e-04
5.489419937133789062e+00,0.000000000000000000e+00,3.592264256440103054e-04
5.519670009613037109e+00,4.569884199890936020e-04,4.296104016248136759e-04
5.549910068511962891e+00,1.955390347804569426e-04,4.314787511248141527e-04
5.580150127410888672e+00,2.061351024856155657e-04,5.579926073551177979e-04
5.610390186309814453e+00,2.901893570423641489e-04,4.937651101499795914e-04
5.640629768371582031e+00,6.866678223102127242e-04,4.281602159608155489e-04
5.670879840850830078e+00,5.031241256942009001e-04,7.545624976046383381e-04
5.701119899749755859e+00,5.415418072967350879e-04,1.834227005019783974e-03
5.731359958648681641e+00,5.813184204031449608e-04,4.784200282301753759e-04
5.761600017547607422e+00,5.663553275770923448e-04,6.165031227283179760e-04
5.791840076446533203e+00,2.406899713939662268e-04,4.163318953942507505e-04
5.822090148925781250e+00,0.000000000000000000e+00,4.675838572438806295e-04
5.852330207824707031e+00,1.691797955165035700e-04,5.064815049991011620e-04
5.882569789886474609e+00,2.109964486744246234e-04,4.713586240541189909e-04
5.912809848785400391e+00,3.094298934752546734e-04,8.902109693735837936e-04
5.943049907684326172e+00,3.726696663531193360e-05,5.306973471306264400e-04
5.973299980163574219e+00,6.045919123063604739e-05,4.418197495397180319e-04
6.003540039062500000e+00,3.091589605913047656e-04,4.491690779104828835e-04
6.033780097961425781e+00,7.295624530524093959e-04,6.577075691893696785e-04
6.064020156860351562e+00,5.363708806062203113e-04,6.354794022627174854e-04
6.094260215759277344e+00,8.592998041691635516e-04,5.805268301628530025e-04
6.124509811401367188e+00,8.114565083682905022e-04,4.556110652629286051e-04
6.154749870300292969e+00,2.386121899975435050e-03,1.278224517591297626e-03
6.184989929199218750e+00,5.284495572200039251e-03,5.212248652242124081e-04
6.215229988098144531e+00,7.715033589597515389e-03,8.259647875092923641e-04
6.245470046997070312e+00,8.267603535624860542e-03,1.113771577365696430e-03
