# col1: waveknot, col2: fluxknot
2.899999999999999911e+00,6.919463460500091756e+00
3.899999999999999911e+00,2.057385139460241419e+01
4.599999999999999645e+00,3.218316044693151667e+01
5.490000000000000213e+00,4.938504779930672584e+01
5.799999999999999822e+00,5.882344949469977280e+01
6.000000000000000000e+00,6.569925445425097621e+01
6.540000000000000036e+00,8.708261347157586840e+01
6.750000000000000000e+00,9.277065779101354792e+01
7.150000000000000355e+00,1.039148225737946376e+02
9.300000000000000711e+00,9.812388208137824108e+01
1.000000000000000000e+01,1.018780248490457296e+02
1.080000000000000071e+01,1.077037501466274847e+02
1.169999999999999929e+01,1.298817041052715524e+02
1.219999999999999929e+01,1.402627107131264665e+02
1.303999999999999915e+01,1.394084353541898622e+02
1.357000000000000028e+01,1.363430377620668139e+02
1.392999999999999972e+01,1.324531444411926202e+02
