# col1: wavelength, col2: cont_sub flux, col3: Flux error
2.360219999999999985e+00,-4.876322521361533546e-01,3.773250000000000215e-01
2.361400000000000166e+00,-6.665562473059543080e-01,3.126209999999999822e-01
2.362579999999999902e+00,-1.103200163628370589e-02,2.984080000000000066e-01
2.363760000000000083e+00,-4.109501216735367279e-03,3.427430000000000199e-01
2.364949999999999886e+00,-1.235027167468465414e-01,3.320299999999999918e-01
2.366130000000000067e+00,1.930361509171536483e-01,3.214910000000000267e-01
2.367309999999999803e+00,5.797233151801757245e-01,3.544169999999999821e-01
2.368500000000000050e+00,5.446442521799079728e-01,4.716069999999999984e-01
2.369679999999999787e+00,4.336678677403016380e-01,5.165760000000000352e-01
2.370870000000000033e+00,3.020549152754838929e-01,4.773379999999999845e-01
2.372050000000000214e+00,6.472950382474604858e-01,4.378380000000000050e-01
2.373240000000000016e+00,7.546082529078317336e-01,4.328779999999999850e-01
2.374429999999999819e+00,5.772094799970561851e-01,3.749100000000000210e-01
2.375609999999999999e+00,2.333143777809163488e-01,3.255640000000000200e-01
2.376799999999999802e+00,3.787418569993517004e-01,3.062699999999999867e-01
2.377990000000000048e+00,7.659773913279726010e-01,3.064529999999999754e-01
2.379179999999999851e+00,-2.041290049661368400e-01,3.136079999999999979e-01
2.380370000000000097e+00,-5.123673176159053710e-01,3.778340000000000032e-01
2.381559999999999899e+00,1.562424676457485617e-01,2.591640000000000055e-01
2.382750000000000146e+00,3.050003650858998938e-01,1.905499999999999972e-01
2.383939999999999948e+00,3.435663889716211727e-01,1.447970000000000090e-01
2.385130000000000194e+00,2.078005535699918305e-01,1.242719999999999936e-01
2.386330000000000062e+00,5.288855732329476034e-01,9.951959999999999973e-02
2.387519999999999865e+00,4.686858786665939469e-01,1.699509999999999910e-01
2.388720000000000176e+00,5.395266996166596662e-01,1.790559999999999929e-01
2.389909999999999979e+00,1.955432034344632974e-01,1.801490000000000036e-01
2.391099999999999781e+00,1.210679195400872210e-01,1.534200000000000008e-01
2.392300000000000093e+00,2.162326434549619592e-01,1.778820000000000123e-01
2.393499999999999961e+00,4.502552410767024504e-01,2.267770000000000064e-01
2.394690000000000207e+00,3.905343143094608394e-01,1.985939999999999928e-01
2.395890000000000075e+00,5.898228873157580487e-01,2.040820000000000134e-01
2.397089999999999943e+00,1.305193777963515878e-01,2.289519999999999889e-01
2.398289999999999811e+00,3.159038003810170636e-01,1.948890000000000067e-01
2.399490000000000123e+00,-3.303830300462440306e-03,2.417110000000000092e-01
2.400689999999999991e+00,1.148665003816962127e-01,2.279539999999999900e-01
2.401889999999999858e+00,4.762248070572749903e-01,2.305570000000000119e-01
2.403090000000000170e+00,6.148711043560610712e-01,2.897429999999999728e-01
2.404290000000000038e+00,7.193354069078328195e-01,1.883920000000000039e-01
2.405489999999999906e+00,8.796677293423691424e-01,1.400099999999999956e-01
2.406699999999999839e+00,4.675376636862687008e-01,2.053409999999999958e-01
2.407900000000000151e+00,3.273858869133343674e-01,1.680049999999999877e-01
2.409110000000000085e+00,2.402513843061431231e-01,1.660300000000000109e-01
2.410309999999999953e+00,4.341355673335467458e-01,1.552459999999999951e-01
2.411519999999999886e+00,6.087666872747941049e-01,1.337000000000000133e-01
2.412720000000000198e+00,6.147868891103360767e-01,1.033530000000000004e-01
2.413930000000000131e+00,5.697036910995620929e-01,1.478399999999999992e-01
2.415140000000000065e+00,7.476982646027074964e-01,2.285560000000000092e-01
2.416339999999999932e+00,9.672225142877870496e-01,2.459600000000000120e-01
2.417549999999999866e+00,1.138052859211656109e+00,3.153329999999999744e-01
2.418759999999999799e+00,2.074710205212508818e-01,3.223739999999999939e-01
2.419970000000000176e+00,5.529970132151440509e-01,2.204929999999999946e-01
2.421180000000000110e+00,6.398508522919272856e-01,2.742160000000000153e-01
2.422390000000000043e+00,2.403125527501814851e-01,2.945860000000000145e-01
