# col1: waveknot, col2: fluxknot
5.398700237274169922e+00,2.402124460786581039e-03
5.428939819335937500e+00,2.580491360276937485e-03
5.822090148925781250e+00,3.696329891681671143e-03
6.547890186309814453e+00,7.704087998718023300e-03
6.699100017547607422e+00,7.851039990782737732e-03
7.213220119476318359e+00,1.139122154563665390e-02
7.243460178375244141e+00,1.181640848517417908e-02
9.148690223693847656e+00,1.652845429629087176e-02
9.451109886169433594e+00,1.829991392046213111e-02
9.874500274658203125e+00,2.256303768791258213e-02
1.029788017272949219e+01,2.827488780394196363e-02
1.072126960754394531e+01,3.985064454004168255e-02
1.078174972534179688e+01,4.080245312303304450e-02
1.187045955657958984e+01,4.653791659697890243e-02
1.229384040832519531e+01,4.202993824332951905e-02
1.301965045928955078e+01,3.580469219759106064e-02
1.344303035736083984e+01,3.664006616175174286e-02
1.374545001983642578e+01,3.777866847813129286e-02
