# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,2.522033695180004621e-03,3.232089802622795105e-04
5.156760215759277344e+00,2.345700793089842105e-03,2.953654329758137465e-04
5.186999797821044922e+00,2.229169101990420478e-03,2.675223222468048334e-04
5.217249870300292969e+00,2.187768787741546130e-03,2.585972251836210489e-04
5.247489929199218750e+00,2.113551095401167406e-03,1.858166215242817998e-04
5.277729988098144531e+00,1.743573381442299619e-03,9.842465806286782026e-05
5.307970046997070312e+00,1.226453253143162860e-03,8.977925608633086085e-05
5.338210105895996094e+00,7.577784076794968991e-04,1.221970451297238469e-04
5.368460178375244141e+00,4.110357735897293002e-04,2.221382164862006903e-04
5.398700237274169922e+00,0.000000000000000000e+00,1.202264247694984078e-04
5.428939819335937500e+00,0.000000000000000000e+00,1.553471156512387097e-05
5.459179878234863281e+00,-1.433962001357509154e-04,2.399262302787974477e-05
5.489419937133789062e+00,-1.696672088211796138e-04,8.438973600277677178e-05
5.519670009613037109e+00,-2.138105260871543505e-04,9.624633094063028693e-05
5.549910068511962891e+00,-2.731806525004812011e-04,5.970309575786814094e-05
5.580150127410888672e+00,-1.336274807973471257e-04,1.059152691595954821e-05
5.610390186309814453e+00,2.612481991152663247e-04,4.276411709724925458e-05
5.640629768371582031e+00,5.267605134019483736e-04,7.109808211680501699e-05
5.670879840850830078e+00,5.102298171122412150e-04,2.241459005745127797e-04
5.701119899749755859e+00,5.672126126108506007e-04,1.818566233851015568e-04
5.731359958648681641e+00,5.366389838418047717e-04,9.406876779394224286e-05
5.761600017547607422e+00,3.120123720172767595e-04,2.944385632872581482e-04
5.791840076446533203e+00,1.096626578641979669e-04,3.351876512169837952e-04
5.822090148925781250e+00,0.000000000000000000e+00,2.786866098176687956e-04
5.852330207824707031e+00,4.363997865223286782e-05,2.532468060962855816e-04
5.882569789886474609e+00,1.474564131015276142e-04,3.063796029891818762e-04
5.912809848785400391e+00,1.582210925940305893e-04,3.515982825774699450e-04
5.943049907684326172e+00,4.254396630077976471e-05,3.501783648971468210e-04
5.973299980163574219e+00,-7.060122190891658656e-06,2.077515382552519441e-04
6.003540039062500000e+00,2.161560574225306064e-04,8.223740587709471583e-05
6.033780097961425781e+00,3.965311236572939199e-04,2.006963914027437568e-04
6.064020156860351562e+00,3.530502501553041753e-04,1.283842138946056366e-04
6.094260215759277344e+00,4.894830400788436481e-04,4.775020715896971524e-05
6.124509811401367188e+00,1.163485372867229840e-03,1.005796220852062106e-04
6.154749870300292969e+00,2.733260794529249194e-03,1.371224934700876474e-04
6.184989929199218750e+00,5.060942667182956149e-03,2.184140612371265888e-05
6.215229988098144531e+00,7.105810898858846460e-03,1.314433757215738297e-04
6.245470046997070312e+00,7.778815809561616217e-03,3.409444179851561785e-04
6.275720119476318359e+00,6.743549275674009386e-03,1.891331921797245741e-04
6.305960178375244141e+00,4.881778538457349700e-03,2.331468567717820406e-05
6.336200237274169922e+00,3.300222307826288122e-03,4.379712481750175357e-05
6.366439819335937500e+00,2.191350121142424112e-03,2.058011014014482498e-04
6.396679878234863281e+00,1.426791281685543984e-03,2.800298680085688829e-04
6.426929950714111328e+00,9.996733392631136639e-04,2.687114756554365158e-04
6.457170009613037109e+00,7.199003288881969387e-04,2.313344884896650910e-04
6.487410068511962891e+00,3.935711416562376330e-04,1.837329327827319503e-04
6.517650127410888672e+00,1.086108337260026022e-04,3.119399771094322205e-04
6.547890186309814453e+00,-1.734723475976807094e-18,5.529344780370593071e-04
6.578139781951904297e+00,8.344858687143498488e-06,4.448448889888823032e-04
6.608379840850830078e+00,5.736710308002802849e-05,1.840961194830015302e-04
6.638619899749755859e+00,1.098357379327201053e-04,1.271803484996780753e-04
6.668859958648681641e+00,7.306347734349800949e-05,9.830338240135461092e-05
6.699100017547607422e+00,0.000000000000000000e+00,1.570208041812293231e-05
6.729350090026855469e+00,1.320442573945826426e-04,1.958878565346822143e-04
6.759590148925781250e+00,1.328279519466086384e-04,2.728392137214541435e-04
6.789830207824707031e+00,3.767379519368663915e-04,2.474938810337334871e-04
6.820069789886474609e+00,5.178237048049684488e-04,1.311591768171638250e-04
6.850309848785400391e+00,5.989785794373921751e-04,1.186025911010801792e-04
6.880559921264648438e+00,1.080311935079871638e-03,5.411794991232454777e-04
6.910799980163574219e+00,7.974787863532731974e-04,1.558329560793936253e-03
6.941040039062500000e+00,1.279115080543612518e-03,9.644955862313508987e-04
6.971280097961425781e+00,1.373724869954139755e-03,2.285802329424768686e-04
7.001520156860351562e+00,1.238763733768362407e-03,4.449966072570532560e-04
7.031770229339599609e+00,1.151978250608330645e-03,4.950619186274707317e-04
7.062009811401367188e+00,9.029701654635242936e-04,6.324317655526101589e-04
7.092249870300292969e+00,1.018998049244115855e-03,3.583189973141998053e-04
7.122489929199218750e+00,1.339667664655389001e-03,9.048171341419219971e-05
7.152729988098144531e+00,1.088454952959999958e-03,1.958309294423088431e-04
7.182980060577392578e+00,6.766970488889020169e-04,3.565851075109094381e-04
7.213220119476318359e+00,-1.734723475976807094e-18,1.437849132344126701e-04
7.243460178375244141e+00,-1.734723475976807094e-18,2.262517373310402036e-04
7.273700237274169922e+00,-2.073151037517931977e-04,2.408860163995996118e-04
7.303939819335937500e+00,-1.756653250198358940e-05,3.184063825756311417e-04
7.334189891815185547e+00,-2.476070898409180737e-04,3.793077485170215368e-04
7.364429950714111328e+00,6.677252831564263469e-05,3.787418609135784209e-05
7.394670009613037109e+00,6.007525572197403713e-04,3.156040911562740803e-04
7.424910068511962891e+00,2.124995552602150853e-03,6.968915113247931004e-05
7.455150127410888672e+00,4.360875521664480878e-03,3.769812465179711580e-04
7.485400199890136719e+00,4.869840288987625776e-03,1.309355720877647400e-04
7.515639781951904297e+00,4.686881718632284269e-03,3.962825212511233985e-05
7.576119899749755859e+00,4.710876217345246961e-03,4.312830278649926186e-04
7.636600017547607422e+00,4.311883374056623211e-03,2.505623269826173782e-04
7.697090148925781250e+00,5.542305104215536349e-03,2.617102873045951128e-04
7.757569789886474609e+00,7.487372987577872729e-03,4.083923995494842529e-04
7.818049907684326172e+00,8.080992475103413591e-03,4.708563210442662239e-05
7.878540039062500000e+00,7.596785753517822787e-03,4.483293741941452026e-04
7.939020156860351562e+00,6.111296654890314289e-03,5.765035748481750488e-04
7.999509811401367188e+00,4.286416325046806669e-03,4.942780360579490662e-04
8.059989929199218750e+00,2.738342414772117206e-03,3.055091947317123413e-04
8.120470046997070312e+00,1.572059667773580138e-03,3.578793257474899292e-05
8.180959701538085938e+00,8.527122569908403282e-04,1.386171206831932068e-04
8.241439819335937500e+00,6.006997210196637904e-04,2.584429457783699036e-04
8.301919937133789062e+00,6.537905172711404311e-04,4.380028694868087769e-04
8.362409591674804688e+00,1.138849038176764639e-03,5.630608648061752319e-04
8.422889709472656250e+00,1.296228270758637696e-03,4.439530312083661556e-04
8.483369827270507812e+00,1.998424616523268582e-03,3.746936272364109755e-04
8.543860435485839844e+00,2.763900276330860661e-03,4.199463583063334227e-04
8.604339599609375000e+00,3.615313753012400905e-03,3.822928410954773426e-04
8.664830207824707031e+00,4.083803742895991684e-03,2.984932507388293743e-04
