# col1: wavelength, col2: cont_sub flux, col3: Flux error
5.126520156860351562e+00,-4.191850076265559721e-01,8.439685404300689697e-02
5.156760215759277344e+00,-5.356743713820790731e-01,9.113765321671962738e-03
5.186999797821044922e+00,-5.902547283244974352e-01,8.278590627014636993e-03
5.217249870300292969e+00,-2.791929926185527933e-01,4.929234459996223450e-02
5.247489929199218750e+00,4.777490804451023365e-02,5.381862446665763855e-02
5.277729988098144531e+00,2.601701841194525855e-02,4.398141428828239441e-02
5.307970046997070312e+00,-1.783573348548639359e-02,3.671130165457725525e-02
5.338210105895996094e+00,1.246609158293221498e-02,6.395462900400161743e-03
5.368460178375244141e+00,7.152623644913980172e-02,1.402684673666954041e-02
5.398700237274169922e+00,6.944210447650700502e-02,2.315799705684185028e-02
5.428939819335937500e+00,5.016446991408862743e-02,0.000000000000000000e+00
5.459179878234863281e+00,8.881784197001252323e-16,1.452393177896738052e-02
5.489419937133789062e+00,1.678304488319515286e-02,4.213269427418708801e-02
5.519670009613037109e+00,1.462562964675395705e-02,1.021984685212373734e-02
5.549910068511962891e+00,3.171196006400833767e-02,2.738946489989757538e-02
5.580150127410888672e+00,3.934852742670980064e-02,4.582814499735832214e-02
5.610390186309814453e+00,-8.881784197001252323e-16,2.006067894399166107e-02
5.640629768371582031e+00,2.119222014914701191e-02,2.026095986366271973e-02
5.670879840850830078e+00,1.106467419545253961e-02,1.192858722060918808e-02
5.701119899749755859e+00,2.161629737564396692e-02,6.941079162061214447e-03
5.731359958648681641e+00,2.970558385810573299e-02,5.385176278650760651e-03
5.761600017547607422e+00,5.722255591188396551e-02,5.705881863832473755e-03
5.791840076446533203e+00,2.777680596593690154e-02,1.285358145833015442e-02
5.822090148925781250e+00,-2.681323284520953365e-02,3.656045347452163696e-02
5.852330207824707031e+00,-1.573847007577011681e-02,1.804771088063716888e-02
5.882569789886474609e+00,2.160864319634203667e-02,3.547537699341773987e-02
5.912809848785400391e+00,2.836720959950955745e-02,4.700865224003791809e-02
5.943049907684326172e+00,-1.433215132357457122e-02,1.697259582579135895e-02
5.973299980163574219e+00,-2.586552360935634454e-02,5.240306258201599121e-03
6.003540039062500000e+00,8.881784197001252323e-16,0.000000000000000000e+00
6.033780097961425781e+00,-4.306263786366670843e-04,1.888342946767807007e-02
6.064020156860351562e+00,-6.624288058462823869e-03,8.521971292793750763e-03
6.094260215759277344e+00,2.353781905372631655e-02,0.000000000000000000e+00
6.124509811401367188e+00,5.593343206665579714e-02,9.040424600243568420e-03
6.154749870300292969e+00,1.047481759746462515e-01,3.351184725761413574e-02
6.184989929199218750e+00,1.934198288561033152e-01,8.012735843658447266e-02
6.215229988098144531e+00,2.371731976118462981e-01,3.239399567246437073e-02
6.245470046997070312e+00,3.359001995858159617e-01,2.848413772881031036e-02
6.275720119476318359e+00,4.152553320483560739e-01,3.226488083600997925e-02
6.305960178375244141e+00,3.801377143426662997e-01,1.775742694735527039e-02
6.336200237274169922e+00,2.941117595231741433e-01,1.127232704311609268e-02
6.366439819335937500e+00,2.035023762486334320e-01,8.053498342633247375e-03
6.396679878234863281e+00,1.401207501700207914e-01,7.963317446410655975e-03
6.426929950714111328e+00,1.112810310629930299e-01,7.867703214287757874e-03
6.457170009613037109e+00,9.318726607912708459e-02,1.055775582790374756e-02
6.487410068511962891e+00,1.100709231525387466e-01,0.000000000000000000e+00
6.517650127410888672e+00,1.084912093610572725e-01,1.508602686226367950e-02
6.547890186309814453e+00,1.239536742507652001e-01,1.212651561945676804e-02
6.578139781951904297e+00,7.376762574436268594e-02,1.526620890945196152e-02
6.608379840850830078e+00,5.204163327120436833e-02,1.078936643898487091e-02
6.638619899749755859e+00,1.553581665531522660e-02,7.660358212888240814e-03
6.668859958648681641e+00,1.607986086740176290e-04,1.108942832797765732e-02
6.699100017547607422e+00,4.440892098500626162e-16,0.000000000000000000e+00
6.729350090026855469e+00,4.440892098500626162e-16,7.939051836729049683e-03
6.759590148925781250e+00,2.393216933633546262e-02,1.745139062404632568e-02
6.789830207824707031e+00,-9.440796443498378210e-04,1.747927814722061157e-02
6.820069789886474609e+00,-1.919157903983892410e-02,0.000000000000000000e+00
6.850309848785400391e+00,-4.833899661130569569e-03,1.990095898509025574e-02
6.880559921264648438e+00,8.345914782057040071e-03,1.063381228595972061e-02
