# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.900990000000000180e+00,2.929395452101613273e+01,1.039700000000000069e+00

4.903439999999999799e+00,2.865476286351657365e+01,1.017439999999999900e+00
4.905899999999999928e+00,2.898104677648770178e+01,7.740529999999999911e-01
4.908350000000000435e+00,2.789040294921653640e+01,8.431009999999999893e-01
4.910800000000000054e+00,2.793127031587504661e+01,9.927479999999999638e-01
4.913260000000000183e+00,2.700091904564045464e+01,8.443739999999999579e-01
4.915720000000000312e+00,2.606588276161229700e+01,9.303059999999999663e-01
4.918180000000000440e+00,2.613835553115894328e+01,1.183089999999999975e+00
4.920639999999999681e+00,2.629973142164920574e+01,8.810510000000000286e-01
4.923099999999999810e+00,2.623380450045163315e+01,7.378959999999999964e-01
4.925559999999999938e+00,2.609206883493507689e+01,5.807539999999999925e-01
4.928020000000000067e+00,2.634561849246802367e+01,6.590989999999999904e-01
4.930489999999999817e+00,2.580217750209993710e+01,8.958829999999999849e-01
4.932949999999999946e+00,2.579738761141303627e+01,9.212029999999999941e-01
4.935419999999999696e+00,2.509631039724089163e+01,7.617450000000000054e-01
4.937890000000000335e+00,2.522570989262773367e+01,6.612249999999999517e-01
4.940360000000000085e+00,2.432778009229889804e+01,8.088739999999999819e-01
4.942829999999999835e+00,2.430271499097915466e+01,6.857379999999999587e-01
4.945299999999999585e+00,2.450050858339368531e+01,6.637180000000000302e-01
4.947770000000000223e+00,2.382905486426722064e+01,9.982290000000000330e-01
4.950249999999999595e+00,2.331603818472159517e+01,8.143120000000000358e-01
4.952720000000000233e+00,2.367937926662020942e+01,5.335180000000000478e-01
4.955199999999999605e+00,2.276776023876062638e+01,4.303130000000000011e-01
4.957679999999999865e+00,2.223078466623677940e+01,6.927780000000000049e-01
4.960160000000000124e+00,2.089814647053951546e+01,7.459230000000000027e-01
4.962640000000000384e+00,2.183943957315969087e+01,6.468570000000000153e-01
4.965119999999999756e+00,2.159605789558801803e+01,6.533769999999999856e-01
4.967600000000000016e+00,2.103909535931522257e+01,6.555569999999999453e-01
4.970089999999999897e+00,2.184289531597249479e+01,7.078719999999999457e-01
4.972570000000000157e+00,2.135126010069210167e+01,7.515039999999999498e-01
4.975060000000000038e+00,2.093558974932989969e+01,7.767309999999999492e-01
4.977549999999999919e+00,1.980052867940893435e+01,8.206470000000000153e-01
4.980039999999999800e+00,2.045767073859264329e+01,6.889659999999999673e-01
4.982529999999999681e+00,2.000690977454464559e+01,8.072960000000000136e-01
4.985019999999999563e+00,2.055493963492831000e+01,1.274690000000000101e+00
4.987510000000000332e+00,1.876145416740710203e+01,1.005169999999999897e+00
4.990009999999999835e+00,1.826615438358170707e+01,7.339149999999999840e-01
4.992510000000000225e+00,1.730284120674049575e+01,7.237360000000000460e-01
4.995000000000000107e+00,1.789678700304604320e+01,7.265789999999999749e-01
