# Source, 7.7 flux (W/m^2), 7.7 flux error (W/m^2)
IRAS00350_CWsub,2.157372752570622e-15,5.866241866760164e-17
IRAS05361_CWsub,4.8412132818879436e-15,7.037684377007462e-17
IRAS05537_CWsub,5.637252111219649e-16,2.677209099470174e-17
IRAS18379_CWsub,6.043946523012057e-15,8.598809184861703e-17
IRAS19306_CWsub,6.7514801586436805e-15,6.493890469889863e-16
IRAS20462_CWsub,1.3389958647758631e-15,6.389514130578644e-17
IRAS22023_CWsub,2.3100549908534675e-15,1.041595500105309e-16
J051228_CWsub,1.2068727172153363e-15,4.921256264573874e-18
MSXSMC29_CWsub,1.6171687466683166e-16,1.7631482854887654e-17
SMPLMC008_CWsub,6.183323001397894e-16,3.5541092636948004e-17
SMPLMC013_CWsub,2.133587947084983e-16,1.1099594261092199e-17
SMPLMC025_CWsub,1.1920857069924343e-16,2.805251756903184e-17
SMPLMC036_CWsub,3.460809006398431e-15,1.1332240390768252e-16
SMPLMC038_CWsub,1.5612639690639697e-15,1.0098682496408035e-16
SMPLMC051_CWsub,1.4667235263368205e-15,3.698035867677293e-18
SMPLMC058_CWsub,1.0739004591854475e-15,1.0399698654084734e-17
SMPLMC061_CWsub,8.519763685870721e-16,4.141066872141426e-17
SMPLMC078_CWsub,5.30765258901687e-16,7.68762225488104e-17
SMPLMC085_CWsub,4.557640065821327e-16,6.470471856590626e-17
SMPLMC099_CWsub,2.4299741983482226e-16,2.993893120200652e-17
SMPLMC75_LR_CWsub,2.1690975780764882e-15,1.5374039237006804e-16
SMPSMC001_CWsub,4.2560347569722576e-16,1.635966568180233e-17
SMPSMC003_CWsub,1.2466306228265502e-16,1.0516335690626645e-17
SMPSMC020_CWsub,0.0,3.0020600950626974e-17
bd+30_SWS_CWsub,4.304642491090572e-13,1.0264846249788046e-14
crl2688_SWS_CWsub,2.3318985091073313e-13,9.896157750236037e-14
hd139614b_convCWsub,3.723689728551372e-15,3.601653160070644e-16
hd141569b_convCWsub,4.2804676876097904e-15,5.274314890555923e-16
hd169142b_convCWsub,7.18386600634483e-15,3.5774805623658966e-16
hd179218_SWS_CWsub,1.332401395948598e-13,6.398716675150606e-14
hd34282a_CWsub,1.897889593211761e-14,3.553773153006164e-15
hd44179_SWS_CWsub,6.7867583292875925e-12,2.5735306323349454e-13
he2_113_SWS_CWsub,1.1111282123136139e-12,2.6415839914640177e-14
hr4049_SWS_CWsub,5.912654495351445e-13,1.0564158158123445e-14
iras07027_SWS_CWsub,3.552266877332825e-13,1.783038777494317e-14
iras13416_SWS_CWsub,1.2650846462967206e-13,7.671687307146589e-15
iras17311_SWS_CWsub,3.607830554245185e-14,2.0112822582485898e-14
iras17347_SWS_CWsub,1.7219765355004027e-13,1.2413158867077375e-14
mwc922_SWS_CWsub,1.3680923528631415e-12,5.718477140819673e-14
xxOph_SWS_CWsub,1.0878198861264713e-13,nan
